,date,type,price,amount,balance,sma,long_sma,slope,profit
0,2020-02-10T09:00:00.000,buy,11821000,0.08455291430505034,999500,9900475,,,
1,2020-02-27T09:00:00.000,sell,10742000,0,907813.2717621183,10966750,0,0,-9.127823365197528
2,2020-04-07T09:00:00.000,buy,8777000,0.10337921443844562,907359.3651262373,8586850,,,
3,2020-04-16T09:00:00.000,sell,8107000,0,837676.2438067524,8115950,0,0,-7.633587786259542
4,2020-04-17T09:00:00.000,buy,8557000,0.09784473596877984,837257.405684849,8063050,,,
5,2020-06-12T09:00:00.000,sell,11090000,0,1084555.5728328216,11359500,0,0,29.601495851349775
6,2020-06-17T09:00:00.000,buy,11453000,0.09464885139670001,1084013.2950464052,11380425,9937750,125,
7,2020-06-19T09:00:00.000,sell,11341000,0,1072875.91737813,11364100,0,0,-0.9779097179778224
8,2020-07-22T09:00:00.000,buy,11117000,0.09645942965003516,1072339.479419441,11104525,10384150,25633.333333333954,
9,2020-09-04T09:00:00.000,sell,12301000,0,1185954.17040302,13564975,0,0,10.650355311684807
10,2020-10-10T09:00:00.000,buy,12637000,0.0938008382778997,1185361.1933178185,12582175,12349191.666666666,12900,
11,2021-01-28T09:00:00.000,sell,34293000,0,3215103.7909904826,35496425,0,0,171.3697871330221
12,2021-01-29T09:00:00.000,buy,36631000,0.08772614012980774,3213496.2390949875,35757800,23452466.666666668,200550,
13,2021-02-01T09:00:00.000,sell,36408000,0,3192336.3431911175,36582175,0,0,-0.6087739892440829
14,2021-02-03T09:00:00.000,buy,37910000,0.08416618768186553,3190740.175019522,37123300,24480025,211450,
15,2021-04-20T09:00:00.000,sell,71448000,0,6010499.024605181,71603125,0,0,88.4674228435769
16,2021-05-09T09:00:00.000,buy,71728000,0.08375381685106065,6007493.775092878,71342600,58546125,204375,
17,2021-05-11T09:00:00.000,sell,70902000,0,5935343.965812716,71344950,0,0,-1.15157260762882
18,2021-09-15T09:00:00.000,buy,56564000,0.10487900950834117,5932376.29382981,55380200,46693300,20891.666666664183,
19,2021-09-21T09:00:00.000,sell,53801000,0,5639774.2927629845,56220725,0,0,-4.884732338589916
20,2021-10-02T09:00:00.000,buy,58348000,0.09660921377967717,5636954.405616604,55649150,47824083.333333336,107641.66666667163,
21,2021-11-17T09:00:00.000,sell,73897000,0,7135561.505141466,74624775,0,0,26.648728319736755
22,2022-10-18T09:00:00.000,buy,27993000,0.2547777560243238,7131993.724388896,27959175,28501800,11258.333333332092,
23,2022-10-19T09:00:00.000,sell,27824000,0,7085391.815478975,27982300,0,0,-0.6037223591612189
24,2022-10-24T09:00:00.000,buy,27981000,0.2530949258272126,7081849.119571236,27737575,28531000,1241.6666666679084,
25,2022-11-09T09:00:00.000,sell,26652000,0,6742113.220165297,28204025,0,0,-4.7496515492655735
