,,,,,,,,,,,,,,,,
,26.02.25(수),,260,주초,주말,TIGER 미국나스닥100 주종가,지수 추세,시장 평가,,Date,TIGER 미국나스닥100 ,Date,KODEX 미국나스닥100레버리지(합성 H),TIGER 미국나스닥100레버리지(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),TIMEFOLIO 미국나스닥100액티브
,,,,19.07.01(월),19.07.05(금),"₩41,480","₩39,490",-4.80%,,12.08.09(목),"₩13,570",23.11.09(목),"₩7,040","₩12,045","₩9,795","₩13,290"
,,,,19.07.08(월),19.07.12(금),"₩41,885","₩39,619",-5.41%,,12.08.10(금),"₩13,550",23.11.10(금),"₩6,925","₩11,990","₩9,740","₩13,330"
,,,,19.07.15(월),19.07.19(금),"₩41,725","₩39,749",-4.74%,,12.08.13(월),"₩13,570",23.11.13(월),"₩7,175","₩12,580","₩10,210","₩13,660"
,,,,19.07.22(월),19.07.26(금),"₩42,330","₩39,891",-5.76%,,12.08.14(화),"₩13,675",23.11.14(화),"₩7,230","₩12,765","₩10,435","₩13,815"
,,,,19.07.29(월),19.08.02(금),"₩41,560","₩40,015",-3.72%,,12.08.16(목),"₩13,720",23.11.15(수),"₩7,560","₩12,785","₩10,425","₩13,715"
,,,,19.08.05(월),19.08.09(금),"₩41,660","₩40,134",-3.66%,,12.08.17(금),"₩13,880",23.11.16(목),"₩7,500","₩12,575","₩10,180","₩13,630"
,,,,19.08.12(월),19.08.16(금),"₩41,065","₩40,248",-1.99%,,12.08.20(월),"₩13,980",23.11.17(금),"₩7,530","₩12,585","₩10,250","₩13,680"
,,,,19.08.19(월),19.08.23(금),"₩42,060","₩40,378",-4.00%,,12.08.21(화),"₩13,945",23.11.20(월),"₩7,480","₩12,410","₩10,070","₩13,640"
,,,,19.08.26(월),19.08.30(금),"₩41,680","₩40,501",-2.83%,,12.08.22(수),"₩13,865",23.11.21(화),"₩7,710","₩12,770","₩10,440","₩13,945"
,,,,19.09.02(월),19.09.06(금),"₩42,105","₩40,629",-3.51%,,12.08.23(목),"₩13,960",23.11.22(수),"₩7,590","₩12,735","₩10,445","₩13,860"
,,,,19.09.09(월),19.09.11(수),"₩41,815","₩40,723",-2.61%,,12.08.24(금),"₩13,890",23.11.23(목),"₩7,700","₩12,910","₩10,540","₩13,915"
,,,,19.09.16(월),19.09.20(금),"₩42,150","₩40,891",-2.99%,,12.08.27(월),"₩14,010",23.11.24(금),"₩7,680","₩13,070","₩10,620","₩14,000"
,,,,19.09.23(월),19.09.27(금),"₩41,725","₩41,009",-1.72%,,12.08.28(화),"₩14,005",23.11.27(월),"₩7,595","₩12,880","₩10,370","₩13,930"
,,,,19.09.30(월),19.10.04(금),"₩40,995","₩41,116",0.30%,,12.08.29(수),"₩13,995",23.11.28(화),"₩7,650","₩12,760","₩10,325","₩13,870"
,,,,19.10.07(월),19.10.11(금),"₩41,440","₩41,227",-0.51%,,12.08.30(목),"₩13,910",23.11.29(수),"₩7,705","₩12,725","₩10,400","₩13,960"
,,,,19.10.14(월),19.10.18(금),"₩42,005","₩41,328",-1.61%,,12.08.31(금),"₩13,840",23.11.30(목),"₩7,710","₩12,750","₩10,230","₩13,975"
,,,,19.10.21(월),19.10.25(금),"₩42,060","₩41,444",-1.46%,,12.09.03(월),"₩13,875",23.12.01(금),"₩7,605","₩12,875","₩10,210","₩13,935"
,,,,19.10.28(월),19.11.01(금),"₩42,520","₩41,571",-2.23%,,12.09.04(화),"₩13,950",23.12.04(월),"₩7,615","₩12,905","₩10,135","₩13,990"
,,,,19.11.04(월),19.11.08(금),"₩42,545","₩41,714",-1.95%,,12.09.05(수),"₩13,895",23.12.05(화),"₩7,440","₩12,745","₩9,925","₩13,985"
,,,,19.11.11(월),19.11.15(금),"₩43,375","₩41,870",-3.47%,,12.09.06(목),"₩13,895",23.12.06(수),"₩7,620","₩13,085","₩10,325","₩14,170"
,,,,19.11.18(월),19.11.22(금),"₩43,850","₩42,037",-4.13%,,12.09.07(금),"₩14,175",23.12.07(목),"₩7,455","₩13,075","₩10,215","₩14,030"
,,,,19.11.25(월),19.11.29(금),"₩44,640","₩42,218",-5.43%,,12.09.10(월),"₩14,080",23.12.08(금),"₩7,660","₩13,065","₩10,345","₩14,035"
,,,,19.12.02(월),19.12.06(금),"₩44,590","₩42,399",-4.91%,,12.09.11(화),"₩13,910",23.12.11(월),"₩7,720","₩13,335","₩10,595","₩14,385"
,,,,19.12.09(월),19.12.13(금),"₩44,810","₩42,573",-4.99%,,12.09.12(수),"₩13,905",23.12.12(화),"₩7,900","₩13,625","₩10,440","₩14,300"
,,,,19.12.16(월),19.12.20(금),"₩45,040","₩42,749",-5.09%,,12.09.13(목),"₩13,920",23.12.13(수),"₩8,015","₩13,940","₩10,680","₩14,470"
,,,,19.12.23(월),19.12.27(금),"₩45,900","₩42,937",-6.45%,,12.09.14(금),"₩14,050",23.12.14(목),"₩8,305","₩13,925","₩10,555","₩14,535"
,,,,19.12.30(월),20.01.03(금),"₩46,035","₩43,124",-6.32%,,12.09.17(월),"₩14,050",23.12.15(금),"₩8,215","₩13,705","₩10,425","₩14,445"
,,,,20.01.06(월),20.01.10(금),"₩47,035","₩43,316",-7.91%,,12.09.18(화),"₩14,125",23.12.18(월),"₩8,305","₩13,895","₩10,610","₩14,475"
,,,,20.01.13(월),20.01.17(금),"₩47,525","₩43,494",-8.48%,,12.09.19(수),"₩14,165",23.12.19(화),"₩8,365","₩14,220","₩11,045","₩14,685"
,,,,20.01.20(월),20.01.23(목),"₩48,125","₩43,679",-9.24%,,12.09.20(목),"₩14,210",23.12.20(수),"₩8,470","₩14,240","₩11,005","₩14,710"
,,,,20.01.28(화),20.01.31(금),"₩48,780","₩43,904",-10.00%,,12.09.21(금),"₩14,215",23.12.21(목),"₩8,295","₩14,050","₩10,930","₩14,640"
,,,,20.02.03(월),20.02.07(금),"₩50,340","₩44,133",-12.33%,,12.09.24(월),"₩14,185",23.12.22(금),"₩8,330","₩14,065","₩10,965","₩14,710"
,,,,20.02.10(월),20.02.14(금),"₩51,040","₩44,379",-13.05%,,12.09.25(화),"₩14,120",23.12.26(화),"₩8,455","₩14,070","₩10,930","₩14,775"
,,,,20.02.17(월),20.02.21(금),"₩51,935","₩44,640",-14.05%,,12.09.26(수),"₩13,945",23.12.27(수),"₩8,530","₩14,165","₩10,930","₩14,825"
,,,,20.02.24(월),20.02.28(금),"₩45,000","₩44,805",-0.43%,,12.09.27(목),"₩13,835",23.12.28(목),"₩8,585","₩14,170","₩10,920","₩14,920"
,,,,20.03.02(월),20.03.06(금),"₩45,910","₩44,981",-2.02%,,12.09.28(금),"₩13,905",24.01.02(화),"₩8,465","₩14,190","₩10,890","₩14,890"
,,,,20.03.09(월),20.03.13(금),"₩40,250","₩45,066",11.96%,,12.10.02(화),"₩13,775",24.01.03(수),"₩8,145","₩13,820","₩10,560","₩14,605"
,,,,20.03.17(화),20.03.20(금),"₩41,410","₩45,172",9.09%,,12.10.04(목),"₩13,910",24.01.04(목),"₩7,985","₩13,695","₩10,465","₩14,500"
,,,,20.03.23(월),20.03.27(금),"₩42,380","₩45,278",6.84%,,12.10.05(금),"₩13,940",24.01.05(금),"₩7,885","₩13,600","₩10,365","₩14,560"
,,,,20.03.30(월),20.04.03(금),"₩41,650","₩45,366",8.92%,,12.10.08(월),"₩13,810",24.01.08(월),"₩7,905","₩13,655","₩10,435","₩14,560"
,,,,20.04.06(월),20.04.10(금),"₩45,000","₩45,511",1.14%,,12.10.09(화),"₩13,740",24.01.09(화),"₩8,225","₩14,210","₩10,980","₩14,950"
,,,,20.04.13(월),20.04.17(금),"₩48,505","₩45,705",-5.77%,,12.10.10(수),"₩13,515",24.01.10(수),"₩8,285","₩14,405","₩11,195","₩15,030"
,,,,20.04.20(월),20.04.24(금),"₩47,620","₩45,887",-3.64%,,12.10.11(목),"₩13,480",24.01.11(목),"₩8,455","₩14,565","₩11,520","₩15,140"
,,,,20.04.27(월),20.04.29(수),"₩48,165","₩46,031",-4.43%,,12.10.12(금),"₩13,430",24.01.12(금),"₩8,410","₩14,490","₩11,425","₩15,075"
,,,,20.05.04(월),20.05.08(금),"₩50,250","₩46,283",-7.89%,,12.10.15(월),"₩13,420",24.01.15(월),"₩8,465","₩14,720","₩11,645","₩15,130"
,,,,20.05.11(월),20.05.15(금),"₩50,110","₩46,496",-7.21%,,12.10.16(화),"₩13,490",24.01.16(화),"₩8,330","₩14,760","₩11,645","₩15,115"
,,,,20.05.18(월),20.05.22(금),"₩51,580","₩46,733",-9.40%,,12.10.17(수),"₩13,615",24.01.17(수),"₩8,300","₩15,005","₩11,875","₩15,270"
,,,,20.05.25(월),20.05.29(금),"₩52,240","₩46,982",-10.07%,,12.10.18(목),"₩13,590",24.01.18(목),"₩8,360","₩15,005","₩11,820","₩15,285"
,,,,20.06.01(월),20.06.05(금),"₩52,530","₩47,229",-10.09%,,12.10.19(금),"₩13,470",24.01.19(금),"₩8,625","₩15,460","₩12,215","₩15,505"
,,,,20.06.08(월),20.06.12(금),"₩52,310","₩47,473",-9.25%,,12.10.22(월),"₩13,125",24.01.22(월),"₩9,010","₩16,175","₩12,765","₩15,915"
,,,,20.06.15(월),20.06.19(금),"₩54,550","₩47,745",-12.47%,,12.10.23(화),"₩13,145",24.01.23(화),"₩8,960","₩15,945","₩12,525","₩15,775"
,,,,20.06.22(월),20.06.26(금),"₩54,425","₩48,015",-11.78%,,12.10.24(수),"₩13,090",24.01.24(수),"₩9,100","₩16,275","₩12,850","₩15,915"
,,,,20.06.29(월),20.07.03(금),"₩55,805","₩48,298",-13.45%,,12.10.25(목),"₩13,010",24.01.25(목),"₩9,105","₩16,270","₩12,945","₩15,990"
,,,,20.07.06(월),20.07.10(금),"₩57,625","₩48,601",-15.66%,,12.10.26(금),"₩12,925",24.01.26(금),"₩8,965","₩16,025","₩12,650","₩15,835"
,,,,20.07.13(월),20.07.17(금),"₩57,500","₩48,924",-14.92%,,12.10.29(월),"₩12,910",24.01.29(월),"₩9,030","₩16,140","₩12,850","₩15,895"
,,,,20.07.20(월),20.07.24(금),"₩56,580","₩49,240",-12.97%,,12.10.30(화),"₩12,900",24.01.30(화),"₩9,210","₩16,285","₩13,070","₩16,010"
,,,,20.07.27(월),20.07.31(금),"₩58,030","₩49,573",-14.57%,,12.10.31(수),"₩12,900",24.01.31(수),"₩8,930","₩15,920","₩12,445","₩15,845"
,,,,20.08.03(월),20.08.07(금),"₩59,585","₩49,919",-16.22%,,12.11.01(목),"₩12,780",24.02.01(목),"₩8,790","₩15,575","₩12,220","₩15,745"
,,,,20.08.10(월),20.08.14(금),"₩59,600","₩50,266",-15.66%,,12.11.02(금),"₩13,020",24.02.02(금),"₩9,090","₩15,905","₩13,120","₩16,050"
,,,,20.08.17(월),20.08.21(금),"₩61,275","₩50,624",-17.38%,,12.11.05(월),"₩12,865",24.02.05(월),"₩9,200","₩16,265","₩13,665","₩16,255"
,,,,20.08.24(월),20.08.28(금),"₩63,730","₩51,000",-19.97%,,12.11.06(화),"₩12,920",24.02.06(화),"₩9,245","₩16,280","₩13,710","₩16,420"
,,,,20.08.31(월),20.09.04(금),"₩62,210","₩51,350",-17.46%,,12.11.07(수),"₩12,950",24.02.07(수),"₩9,150","₩16,100","₩13,565","₩16,435"
,,,,20.09.07(월),20.09.11(금),"₩60,065","₩51,679",-13.96%,,12.11.08(목),"₩12,660",24.02.08(목),"₩9,345","₩16,500","₩14,020","₩16,820"
,,,,20.09.14(월),20.09.18(금),"₩57,985","₩51,977",-10.36%,,12.11.09(금),"₩12,480",24.02.13(화),"₩9,470","₩16,695","₩14,245","₩17,185"
,,,,20.09.21(월),20.09.25(금),"₩57,310","₩52,263",-8.81%,,12.11.12(월),"₩12,505",24.02.14(수),"₩9,210","₩16,405","₩14,025","₩17,080"
,,,,20.09.28(월),20.09.29(화),"₩59,820","₩52,492",-12.25%,,12.11.13(화),"₩12,480",24.02.15(목),"₩9,395","₩16,720","₩14,345","₩17,525"
,,,,20.10.05(월),20.10.08(목),"₩59,695","₩52,849",-11.47%,,12.11.14(수),"₩12,440",24.02.16(금),"₩9,465","₩16,885","₩14,390","₩17,620"
,,,,20.10.12(월),20.10.16(금),"₩60,995","₩53,195",-12.79%,,12.11.15(목),"₩12,245",24.02.19(월),"₩9,305","₩16,600","₩14,140","₩17,460"
,,,,20.10.19(월),20.10.23(금),"₩59,115","₩53,494",-9.51%,,12.11.16(금),"₩12,200",24.02.20(화),"₩9,220","₩16,525","₩14,025","₩17,425"
,,,,20.10.26(월),20.10.30(금),"₩56,235","₩53,768",-4.39%,,12.11.19(월),"₩12,325",24.02.21(수),"₩9,075","₩16,160","₩13,580","₩17,015"
,,,,20.11.02(월),20.11.06(금),"₩60,035","₩54,094",-9.90%,,12.11.20(화),"₩12,530",24.02.22(목),"₩9,325","₩16,445","₩14,175","₩17,205"
,,,,20.11.09(월),20.11.13(금),"₩59,350","₩54,407",-8.33%,,12.11.21(수),"₩12,475",24.02.23(금),"₩9,535","₩16,940","₩14,830","₩17,800"
,,,,20.11.16(월),20.11.20(금),"₩59,890","₩54,730",-8.62%,,12.11.22(목),"₩12,555",24.02.26(월),"₩9,460","₩16,760","₩14,625","₩17,620"
,,,,20.11.23(월),20.11.27(금),"₩60,345","₩55,058",-8.76%,,12.11.23(금),"₩12,570",24.02.27(화),"₩9,455","₩16,755","₩14,460","₩17,835"
,,,,20.11.30(월),20.12.04(금),"₩60,715","₩55,384",-8.78%,,12.11.26(월),"₩12,680",24.02.28(수),"₩9,520","₩16,915","₩14,610","₩17,890"
,,,,20.12.07(월),20.12.11(금),"₩60,540","₩55,717",-7.97%,,12.11.27(화),"₩12,805",24.02.29(목),"₩9,445","₩16,710","₩14,415","₩17,755"
,,,,20.12.14(월),20.12.18(금),"₩62,740","₩56,074",-10.62%,,12.11.28(수),"₩12,710",24.03.04(월),"₩9,880","₩17,535","₩15,205","₩18,475"
,,,,20.12.21(월),20.12.24(목),"₩62,690","₩56,396",-10.04%,,12.11.29(목),"₩12,825",24.03.05(화),"₩9,740","₩17,290","₩14,920","₩18,700"
,,,,20.12.28(월),20.12.30(수),"₩62,815","₩56,726",-9.69%,,12.11.30(금),"₩12,860",24.03.06(수),"₩9,520","₩16,915","₩14,660","₩18,530"
,,,,21.01.04(월),21.01.08(금),"₩63,420","₩57,127",-9.92%,,12.12.03(월),"₩12,890",24.03.07(목),"₩9,515","₩16,850","₩14,505","₩18,725"
,,,,21.01.11(월),21.01.15(금),"₩63,370","₩57,459",-9.33%,,12.12.04(화),"₩12,835",24.03.08(금),"₩9,845","₩17,125","₩15,120","₩19,065"
,,,,21.01.18(월),21.01.22(금),"₩65,975","₩57,813",-12.37%,,12.12.05(수),"₩12,810",24.03.11(월),"₩9,565","₩16,350","₩14,285","₩18,490"
,,,,21.01.25(월),21.01.29(금),"₩65,160","₩58,154",-10.75%,,12.12.06(목),"₩12,680",24.03.12(화),"₩9,625","₩16,460","₩14,260","₩18,410"
,,,,21.02.01(월),21.02.05(금),"₩68,585","₩58,532",-14.66%,,12.12.07(금),"₩12,785",24.03.13(수),"₩9,770","₩16,805","₩14,965","₩18,830"
,,,,21.02.08(월),21.02.10(수),"₩68,205","₩58,822",-13.76%,,12.12.10(월),"₩12,630",24.03.14(목),"₩9,695","₩16,780","₩14,910","₩18,765"
,,,,21.02.15(월),21.02.19(금),"₩67,540","₩59,257",-12.26%,,12.12.11(화),"₩12,635",24.03.15(금),"₩9,515","₩16,765","₩14,875","₩18,510"
,,,,21.02.22(월),21.02.26(금),"₩64,240","₩59,590",-7.24%,,12.12.12(수),"₩12,750",24.03.18(월),"₩9,485","₩16,775","₩14,880","₩18,530"
,,,,21.03.02(화),21.03.05(금),"₩62,845","₩59,895",-4.69%,,12.12.13(목),"₩12,695",24.03.19(화),"₩9,480","₩16,985","₩15,155","₩18,540"
,,,,21.03.08(월),21.03.12(금),"₩66,030","₩60,238",-8.77%,,12.12.14(금),"₩12,625",24.03.20(수),"₩9,545","₩17,115","₩15,410","₩18,430"
,,,,21.03.15(월),21.03.19(금),"₩64,780","₩60,556",-6.52%,,12.12.17(월),"₩12,560",24.03.21(목),"₩9,950","₩17,365","₩15,705","₩18,775"
,,,,21.03.22(월),21.03.26(금),"₩65,300","₩60,881",-6.77%,,12.12.18(화),"₩12,660",24.03.22(금),"₩9,910","₩17,705","₩15,800","₩19,075"
,,,,21.03.29(월),21.04.02(금),"₩67,515","₩61,232",-9.31%,,12.12.20(목),"₩12,700",24.03.25(월),"₩9,860","₩17,735","₩16,055","₩19,060"
,,,,21.04.05(월),21.04.09(금),"₩69,130","₩61,604",-10.89%,,12.12.21(금),"₩12,660",24.03.26(화),"₩9,875","₩17,685","₩16,090","₩19,295"
,,,,21.04.12(월),21.04.16(금),"₩69,990","₩61,990",-11.43%,,12.12.24(월),"₩12,700",24.03.27(수),"₩9,855","₩17,840","₩16,115","₩19,290"
,,,,21.04.19(월),21.04.23(금),"₩68,970","₩62,351",-9.60%,,12.12.26(수),"₩12,690",24.03.28(목),"₩9,830","₩17,775","₩15,900","₩19,065"
,,,,21.04.26(월),21.04.30(금),"₩69,380","₩62,697",-9.63%,,12.12.27(목),"₩12,590",24.03.29(금),"₩9,825","₩17,795","₩15,810","₩19,095"
,,,,21.05.03(월),21.05.07(금),"₩68,490","₩63,029",-7.97%,,12.12.28(금),"₩12,545",24.04.01(월),"₩9,910","₩18,020","₩16,000","₩19,190"
,,,,21.05.10(월),21.05.14(금),"₩66,695","₩63,337",-5.03%,,12.12.31(월),"₩12,545",24.04.02(화),"₩9,815","₩17,930","₩16,055","₩19,085"
,,,,21.05.17(월),21.05.21(금),"₩68,250","₩63,672",-6.71%,,13.01.02(수),"₩12,690",24.04.03(수),"₩9,610","₩17,465","₩15,705","₩18,810"
,,,,21.05.24(월),21.05.28(금),"₩68,350","₩64,016",-6.34%,,13.01.03(목),"₩12,950",24.04.04(목),"₩9,735","₩17,665","₩15,975","₩19,105"
,,,,21.05.31(월),21.06.04(금),"₩67,590","₩64,353",-4.79%,,13.01.04(금),"₩12,885",24.04.05(금),"₩9,430","₩17,245","₩15,590","₩18,735"
,,,,21.06.07(월),21.06.11(금),"₩69,540","₩64,701",-6.96%,,13.01.07(월),"₩12,820",24.04.08(월),"₩9,585","₩17,600","₩16,100","₩19,080"
,,,,21.06.14(월),21.06.18(금),"₩72,015","₩65,075",-9.64%,,13.01.08(화),"₩12,770",24.04.09(화),"₩9,620","₩17,690","₩16,065","₩19,050"
,,,,21.06.21(월),21.06.25(금),"₩72,650","₩65,436",-9.93%,,13.01.09(수),"₩12,810",24.04.11(목),"₩9,525","₩17,705","₩16,295","₩19,165"
,,,,21.06.28(월),21.07.02(금),"₩73,970","₩65,814",-11.03%,,13.01.10(목),"₩12,785",24.04.12(금),"₩9,800","₩18,630","₩17,330","₩19,695"
,,,,21.07.05(월),21.07.09(금),"₩75,750","₩66,223",-12.58%,,13.01.11(금),"₩12,810",24.04.15(월),"₩9,595","₩18,415","₩17,100","₩19,395"
,,,,21.07.12(월),21.07.16(금),"₩75,685","₩66,631",-11.96%,,13.01.14(월),"₩12,770",24.04.16(화),"₩9,170","₩17,850","₩16,460","₩18,910"
,,,,21.07.19(월),21.07.23(금),"₩77,390","₩67,063",-13.34%,,13.01.15(화),"₩12,760",24.04.17(수),"₩9,120","₩17,640","₩16,160","₩18,900"
,,,,21.07.26(월),21.07.30(금),"₩76,570","₩67,480",-11.87%,,13.01.16(수),"₩12,775",24.04.18(목),"₩9,080","₩17,145","₩15,715","₩18,565"
,,,,21.08.02(월),21.08.06(금),"₩77,645","₩67,906",-12.54%,,13.01.17(목),"₩12,760",24.04.19(금),"₩8,700","₩16,615","₩15,130","₩18,225"
,,,,21.08.09(월),21.08.13(금),"₩79,050","₩68,349",-13.54%,,13.01.18(금),"₩12,775",24.04.22(월),"₩8,610","₩16,405","₩14,580","₩17,525"
,,,,21.08.17(화),21.08.20(금),"₩78,850","₩68,793",-12.75%,,13.01.21(월),"₩12,830",24.04.23(화),"₩8,635","₩16,410","₩14,675","₩17,725"
,,,,21.08.23(월),21.08.27(금),"₩80,350","₩69,248",-13.82%,,13.01.22(화),"₩12,900",24.04.24(수),"₩9,045","₩17,000","₩15,675","₩18,420"
,,,,21.08.30(월),21.09.03(금),"₩81,030","₩69,712",-13.97%,,13.01.23(수),"₩12,960",24.04.25(목),"₩8,725","₩16,510","₩13,540","₩17,805"
,,,,21.09.06(월),21.09.10(금),"₩81,700","₩70,172",-14.11%,,13.01.24(목),"₩12,865",24.04.26(금),"₩9,060","₩17,220","₩15,830","₩18,470"
,,,,21.09.13(월),21.09.17(금),"₩81,800","₩70,635",-13.65%,,13.01.25(금),"₩12,880",24.04.29(월),"₩9,210","₩17,525","₩16,105","₩18,810"
,,,,21.09.23(목),21.09.24(금),"₩80,600","₩71,084",-11.81%,,13.01.28(월),"₩13,120",24.04.30(화),"₩9,210","₩17,640","₩16,235","₩18,705"
,,,,21.09.27(월),21.10.01(금),"₩77,670","₩71,478",-7.97%,,13.01.29(화),"₩13,145",24.05.02(목),"₩8,865","₩16,840","₩15,500","₩18,015"
,,,,21.10.04(월),21.10.08(금),"₩79,680","₩71,905",-9.76%,,13.01.30(수),"₩13,115",24.05.03(금),"₩9,020","₩16,850","₩15,855","₩18,140"
,,,,21.10.11(월),21.10.15(금),"₩80,005","₩72,337",-9.58%,,13.01.31(목),"₩13,200",24.05.07(화),"₩9,465","₩17,575","₩16,630","₩18,755"
,,,,21.10.18(월),21.10.22(금),"₩81,360","₩72,784",-10.54%,,13.02.01(금),"₩13,270",24.05.08(수),"₩9,485","₩17,720","₩16,740","₩18,570"
,,,,21.10.25(월),21.10.29(금),"₩81,910","₩73,241",-10.58%,,13.02.04(월),"₩13,315",24.05.09(목),"₩9,440","₩17,770","₩16,805","₩18,590"
,,,,21.11.01(월),21.11.05(금),"₩86,795","₩73,740",-15.04%,,13.02.05(화),"₩13,095",24.05.10(금),"₩9,550","₩17,930","₩16,950","₩18,595"
,,,,21.11.08(월),21.11.12(금),"₩84,905","₩74,225",-12.58%,,13.02.06(수),"₩13,245",24.05.13(월),"₩9,610","₩18,075","₩17,020","₩18,580"
,,,,21.11.15(월),21.11.19(금),"₩87,970","₩74,765",-15.01%,,13.02.07(목),"₩13,260",24.05.14(화),"₩9,610","₩18,075","₩16,970","₩18,550"
,,,,21.11.22(월),21.11.26(금),"₩87,060","₩75,293",-13.52%,,13.02.08(금),"₩13,275",24.05.16(목),"₩10,045","₩18,270","₩17,360","₩19,230"
,,,,21.11.29(월),21.12.03(금),"₩84,705","₩75,765",-10.55%,,13.02.12(화),"₩13,435",24.05.17(금),"₩10,005","₩18,405","₩17,440","₩19,100"
,,,,21.12.06(월),21.12.10(금),"₩85,500","₩76,256",-10.81%,,13.02.13(수),"₩13,320",24.05.20(월),"₩10,010","₩18,460","₩17,465","₩19,205"
,,,,21.12.13(월),21.12.17(금),"₩83,925","₩76,739",-8.56%,,13.02.14(목),"₩13,330",24.05.21(화),"₩10,095","₩18,825","₩17,805","₩19,580"
,,,,21.12.20(월),21.12.24(금),"₩86,590","₩77,262",-10.77%,,13.02.15(금),"₩13,300",24.05.22(수),"₩10,145","₩18,940","₩17,940","₩19,650"
,,,,21.12.27(월),21.12.30(목),"₩87,800","₩77,749",-11.45%,,13.02.18(월),"₩13,250",24.05.23(목),"₩10,315","₩19,220","₩18,210","₩19,870"
,,,,22.01.03(월),22.01.07(금),"₩85,050","₩78,288",-7.95%,,13.02.19(화),"₩13,260",24.05.24(금),"₩10,060","₩18,950","₩18,135","₩19,730"
,,,,22.01.10(월),22.01.14(금),"₩82,605","₩78,741",-4.68%,,13.02.20(수),"₩13,265",24.05.27(월),"₩10,245","₩19,140","₩18,470","₩20,135"
,,,,22.01.17(월),22.01.21(금),"₩78,650","₩79,129",0.61%,,13.02.21(목),"₩13,160",24.05.28(화),"₩10,290","₩19,055","₩18,500","₩20,100"
,,,,22.01.24(월),22.01.28(금),"₩76,490","₩79,485",3.92%,,13.02.22(금),"₩13,090",24.05.29(수),"₩10,220","₩19,120","₩18,870","₩20,315"
,,,,22.02.03(목),22.02.04(금),"₩79,430","₩79,872",0.56%,,13.02.25(월),"₩13,150",24.05.30(목),"₩10,020","₩19,160","₩19,055","₩20,380"
,,,,22.02.07(월),22.02.11(금),"₩78,140","₩80,243",2.69%,,13.02.26(화),"₩13,060",24.05.31(금),"₩9,905","₩19,085","₩18,660","₩20,200"
,,,,22.02.14(월),22.02.18(금),"₩76,380","₩80,587",5.51%,,13.02.27(수),"₩13,085",24.06.03(월),"₩9,995","₩19,050","₩18,570","₩19,870"
,,,,22.02.21(월),22.02.25(금),"₩74,555","₩80,891",8.50%,,13.02.28(목),"₩13,165",24.06.04(화),"₩9,985","₩19,005","₩18,775","₩19,945"
,,,,22.02.28(월),22.03.04(금),"₩75,990","₩81,230",6.90%,,13.03.04(월),"₩13,195",24.06.05(수),"₩10,100","₩19,120","₩18,960","₩20,030"
,,,,22.03.07(월),22.03.11(금),"₩74,995","₩81,549",8.74%,,13.03.05(화),"₩13,295",24.06.07(금),"₩10,475","₩19,655","₩19,770","₩20,340"
,,,,22.03.14(월),22.03.18(금),"₩75,940","₩81,870",7.81%,,13.03.06(수),"₩13,415",24.06.10(월),"₩10,405","₩19,805","₩19,925","₩20,310"
,,,,22.03.21(월),22.03.25(금),"₩80,725","₩82,250",1.89%,,13.03.07(목),"₩13,400",24.06.11(화),"₩10,515","₩20,070","₩20,265","₩20,525"
,,,,22.03.28(월),22.04.01(금),"₩81,245","₩82,637",1.71%,,13.03.08(금),"₩13,445",24.06.12(수),"₩10,690","₩20,385","₩20,855","₩20,660"
,,,,22.04.04(월),22.04.08(금),"₩80,045","₩83,006",3.70%,,13.03.11(월),"₩13,590",24.06.13(목),"₩11,080","₩21,085","₩22,090","₩21,135"
,,,,22.04.11(월),22.04.15(금),"₩77,445","₩83,320",7.59%,,13.03.12(화),"₩13,675",24.06.14(금),"₩11,110","₩21,295","₩22,640","₩21,250"
,,,,22.04.18(월),22.04.22(금),"₩76,185","₩83,619",9.76%,,13.03.13(수),"₩13,625",24.06.17(월),"₩11,150","₩21,425","₩22,785","₩21,195"
,,,,22.04.25(월),22.04.29(금),"₩75,230","₩83,908",11.54%,,13.03.14(목),"₩13,675",24.06.18(화),"₩11,430","₩21,955","₩23,265","₩21,425"
,,,,22.05.02(월),22.05.06(금),"₩73,175","₩84,162",15.01%,,13.03.15(금),"₩13,780",24.06.19(수),"₩11,460","₩22,050","₩23,315","₩21,530"
,,,,22.05.09(월),22.05.13(금),"₩69,430","₩84,344",21.48%,,13.03.18(월),"₩13,640",24.06.20(목),"₩11,585","₩22,350","₩23,650","₩21,675"
,,,,22.05.16(월),22.05.20(금),"₩68,205","₩84,492",23.88%,,13.03.19(화),"₩13,715",24.06.21(금),"₩11,310","₩21,950","₩22,980","₩21,355"
,,,,22.05.23(월),22.05.27(금),"₩68,825","₩84,660",23.01%,,13.03.20(수),"₩13,780",24.06.24(월),"₩11,235","₩21,825","₩22,535","₩21,165"
,,,,22.05.30(월),22.06.03(금),"₩71,650","₩84,881",18.47%,,13.03.21(목),"₩13,900",24.06.25(화),"₩10,995","₩21,285","₩21,590","₩20,750"
,,,,22.06.07(화),22.06.10(금),"₩70,005","₩85,072",21.52%,,13.03.22(금),"₩13,750",24.06.26(수),"₩11,250","₩21,835","₩22,610","₩21,230"
,,,,22.06.13(월),22.06.17(금),"₩64,585","₩85,137",31.82%,,13.03.25(월),"₩13,870",24.06.27(목),"₩11,180","₩21,635","₩22,700","₩21,035"
