,,,,,,,,,,,,,,,,
,26.02.25(수),,260,주초,주말,TIGER 미국나스닥100 주종가,지수 추세,시장 평가,,Date,TIGER 미국나스닥100 ,Date,KODEX 미국나스닥100레버리지(합성 H),TIGER 미국나스닥100레버리지(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),TIMEFOLIO 미국나스닥100액티브
,13.10.09(수),,,11.07.04(월),11.07.08(금),"₩11,145","₩11,202",0.51%,,10.12.09(목),"₩10,925",22.03.02(수),"₩7,230","₩10,245",,
,13.12.25(수),,,11.07.11(월),11.07.15(금),"₩10,765","₩11,168",3.75%,,10.12.10(금),"₩10,985",22.03.03(목),"₩7,420","₩10,500",,
,14.01.01(수),,,11.07.18(월),11.07.22(금),"₩11,080","₩11,168",0.79%,,10.12.13(월),"₩11,055",22.03.04(금),"₩7,150","₩10,270",,
,14.01.30(목),,,11.07.25(월),11.07.29(금),"₩10,910","₩11,151",2.21%,,10.12.14(화),"₩10,980",22.03.07(월),"₩6,765","₩9,955",,
,14.01.31(금),,,11.08.01(월),11.08.05(금),"₩10,360","₩11,084",6.99%,,10.12.15(수),"₩11,140",22.03.08(화),"₩6,325","₩9,455",,
,14.05.01(목),,,11.08.08(월),11.08.12(금),"₩10,145","₩11,002",8.45%,,10.12.16(목),"₩11,070",22.03.10(목),"₩6,830","₩10,135",,
,14.05.05(월),,,11.08.16(화),11.08.19(금),"₩9,820","₩10,896",10.96%,,10.12.17(금),"₩11,135",22.03.11(금),"₩6,745","₩10,075",,
,14.05.06(화),,,11.08.22(월),11.08.26(금),"₩10,080","₩10,823",7.37%,,10.12.20(월),"₩11,200",22.03.14(월),"₩6,540","₩9,920",,
,14.06.06(금),,,11.08.29(월),11.09.02(금),"₩10,340","₩10,778",4.24%,,10.12.21(화),"₩11,190",22.03.15(화),"₩6,245","₩9,485",,
,14.08.15(금),,,11.09.05(월),11.09.09(금),"₩10,460","₩10,747",2.74%,,10.12.22(수),"₩11,250",22.03.16(수),"₩6,680","₩10,055",,
,14.09.08(월),,,11.09.15(목),11.09.16(금),"₩11,090","₩10,768",-2.90%,,10.12.23(목),"₩11,210",22.03.17(목),"₩7,095","₩10,310",,
,14.09.09(화),,,11.09.19(월),11.09.23(금),"₩11,525","₩10,820",-6.12%,,10.12.24(금),"₩11,200",22.03.18(금),"₩7,175","₩10,295",,
,14.09.10(수),,,11.09.26(월),11.09.30(금),"₩11,300","₩10,852",-3.97%,,10.12.27(월),"₩11,185",22.03.21(월),"₩7,445","₩10,855",,
,14.10.03(금),,,11.10.04(화),11.10.07(금),"₩11,470","₩10,894",-5.02%,,10.12.28(화),"₩11,175",22.03.22(화),"₩7,470","₩10,905",,
,14.10.09(목),,,11.10.10(월),11.10.14(금),"₩11,850","₩10,960",-7.51%,,10.12.29(수),"₩11,130",22.03.23(수),"₩7,810","₩11,305",,
