,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,KODEX나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,24.03.15(금),"₩ 9,515",-3.4%,-5.70%,,"₩ 240,360",25,25,"₩ 237,875",1117,"₩ 10,390,380","₩ 10,628,255","₩ 13,876,145","₩ 24,504,400",56.63%,1.45%
,,,,,,,,,,24.03.22(금),"₩ 9,910",4.2%,-7.92%,,"-₩ 264,729",-26,-26,"-₩ 257,660",1091,"₩ 11,069,470","₩ 10,811,810","₩ 14,133,805","₩ 24,945,615",56.66%,0.00%
,,,,,,,,,,24.03.29(금),"₩ 9,825",-0.9%,-8.15%,,"₩ 111,282",11,11,"₩ 108,075",1102,"₩ 10,719,075","₩ 10,827,150","₩ 14,025,730","₩ 24,852,880",56.44%,0.37%
,,,,,,,,,,24.04.05(금),"₩ 9,430",-4.0%,-6.11%,,"₩ 522,348",55,55,"₩ 518,650",1157,"₩ 10,391,860","₩ 10,910,510","₩ 13,507,080","₩ 24,417,590",55.32%,2.12%
,,,,,,,,,,24.04.12(금),"₩ 9,800",3.9%,-9.28%,,"-₩ 256,854",-26,-26,"-₩ 254,800",1131,"₩ 11,338,600","₩ 11,083,800","₩ 13,761,880","₩ 24,845,680",55.39%,0.40%
,,,,,,,,,,24.04.19(금),"₩ 8,700",-11.2%,-3.72%,,"₩ 829,815",95,95,"₩ 826,500",1226,"₩ 9,839,700","₩ 10,666,200","₩ 12,935,380","₩ 23,601,580",54.81%,5.39%
,,,,,,,,,,24.04.26(금),"₩ 9,060",4.1%,-5.10%,,"-₩ 294,387",-32,-32,"-₩ 289,920",1194,"₩ 11,107,560","₩ 10,817,640","₩ 13,225,300","₩ 24,042,940",55.01%,3.62%
,,,,,,,,,,24.05.03(금),"₩ 9,020",-0.4%,-3.81%,,"₩ 31,856",3,3,"₩ 27,060",1197,"₩ 10,769,880","₩ 10,796,940","₩ 13,198,240","₩ 23,995,180",55.00%,3.81%
,,,,,,,,,,24.05.10(금),"₩ 9,550",5.9%,-6.48%,,"-₩ 380,646",-39,-39,"-₩ 372,450",1158,"₩ 11,431,350","₩ 11,058,900","₩ 13,570,690","₩ 24,629,590",55.10%,1.27%
,,,,,,,,,,24.05.17(금),"₩ 10,005",4.8%,-7.52%,,"-₩ 316,134",-31,-31,"-₩ 310,155",1127,"₩ 11,585,790","₩ 11,275,635","₩ 13,880,845","₩ 25,156,480",55.18%,0.00%
,,,,,,,,,,24.05.24(금),"₩ 10,060",0.5%,-8.46%,,"-₩ 37,191",-3,-3,"-₩ 30,180",1124,"₩ 11,337,620","₩ 11,307,440","₩ 13,911,025","₩ 25,218,465",55.16%,0.00%
,,,,,,,,,,24.05.31(금),"₩ 9,905",-1.5%,-8.47%,,"₩ 209,064",21,21,"₩ 208,005",1145,"₩ 11,133,220","₩ 11,341,225","₩ 13,703,020","₩ 25,044,245",54.72%,0.69%
,,,,,,,,,,24.06.07(금),"₩ 10,475",5.8%,-9.68%,,"-₩ 391,590",-37,-37,"-₩ 387,575",1108,"₩ 11,993,875","₩ 11,606,300","₩ 14,090,595","₩ 25,696,895",54.83%,0.00%
,,,,,,,,,,24.06.14(금),"₩ 11,110",6.1%,-12.76%,,"-₩ 422,148",-37,-37,"-₩ 411,070",1071,"₩ 12,309,880","₩ 11,898,810","₩ 14,501,665","₩ 26,400,475",54.93%,0.00%
,,,,,,,,,,24.06.21(금),"₩ 11,310",1.8%,-13.66%,,"-₩ 128,520",-11,-11,"-₩ 124,410",1060,"₩ 12,113,010","₩ 11,988,600","₩ 14,626,075","₩ 26,614,675",54.95%,0.00%
,,,,,,,,,,24.06.28(금),"₩ 11,385",0.7%,-12.87%,,"-₩ 47,700",-4,-4,"-₩ 45,540",1056,"₩ 12,068,100","₩ 12,022,560","₩ 14,671,615","₩ 26,694,175",54.96%,0.00%
,,,,,,,,,,24.07.05(금),"₩ 11,785",3.5%,-14.16%,,"-₩ 253,440",-21,-21,"-₩ 247,485",1035,"₩ 12,444,960","₩ 12,197,475","₩ 14,919,100","₩ 27,116,575",55.02%,0.00%
,,,,,,,,,,24.07.12(금),"₩ 11,755",-0.3%,-13.68%,,"₩ 37,260",3,3,"₩ 35,265",1038,"₩ 12,166,425","₩ 12,201,690","₩ 14,883,835","₩ 27,085,525",54.95%,0.11%
,,,,,,,,,,24.07.19(금),"₩ 11,245",-4.3%,-11.89%,,"₩ 635,256",56,56,"₩ 629,720",1094,"₩ 11,672,310","₩ 12,302,030","₩ 14,254,115","₩ 26,556,145",53.68%,2.07%
,,,,,,,,,,24.07.26(금),"₩ 10,240",-8.9%,-7.45%,,"₩ 1,319,364",128,128,"₩ 1,310,720",1222,"₩ 11,202,560","₩ 12,513,280","₩ 12,943,395","₩ 25,456,675",50.84%,6.12%
,,,,,,,,,,24.08.02(금),"₩ 9,830",-4.0%,-4.28%,,"₩ 334,180",33,33,"₩ 324,390",1255,"₩ 12,012,260","₩ 12,336,650","₩ 12,619,005","₩ 24,955,655",50.57%,7.97%
,,,,,,,,,,24.08.09(금),"₩ 9,580",-2.5%,-2.73%,,"₩ 209,271",21,21,"₩ 201,180",1276,"₩ 12,022,900","₩ 12,224,080","₩ 12,417,825","₩ 24,641,905",50.39%,9.13%
,,,,,,,,,,24.08.16(금),"₩ 10,830",13.0%,-7.72%,,"-₩ 957,000",-88,-88,"-₩ 953,040",1188,"₩ 13,819,080","₩ 12,866,040","₩ 13,370,865","₩ 26,236,905",50.96%,3.24%
,,,,,,,,,,24.08.23(금),"₩ 10,870",0.4%,-6.21%,,"-₩ 28,512",-2,-2,"-₩ 21,740",1186,"₩ 12,913,560","₩ 12,891,820","₩ 13,392,605","₩ 26,284,425",50.95%,3.07%
,,,,,,,,,,24.08.30(금),"₩ 10,640",-2.1%,-4.85%,,"₩ 181,944",17,17,"₩ 180,880",1203,"₩ 12,619,040","₩ 12,799,920","₩ 13,211,725","₩ 26,011,645",50.79%,4.07%
,,,,,,,,,,24.09.06(금),"₩ 9,935",-6.6%,-0.91%,,"₩ 565,693",56,56,"₩ 556,360",1259,"₩ 11,951,805","₩ 12,508,165","₩ 12,655,365","₩ 25,163,530",50.29%,7.20%
,,,,,,,,,,24.09.13(금),"₩ 10,575",6.4%,-3.92%,,"-₩ 537,442",-50,-50,"-₩ 528,750",1209,"₩ 13,313,925","₩ 12,785,175","₩ 13,184,115","₩ 25,969,290",50.77%,4.23%
,,,,,,,,,,24.09.20(금),"₩ 10,965",3.7%,-5.50%,,"-₩ 314,497",-28,-28,"-₩ 307,020",1181,"₩ 13,256,685","₩ 12,949,665","₩ 13,491,135","₩ 26,440,800",51.02%,2.49%
,,,,,,,,,,24.09.27(금),"₩ 11,245",2.6%,-5.61%,,"-₩ 220,564",-19,-19,"-₩ 213,655",1162,"₩ 13,280,345","₩ 13,066,690","₩ 13,704,790","₩ 26,771,480",51.19%,1.27%
,,,,,,,,,,24.10.04(금),"₩ 10,970",-2.4%,-5.31%,,"₩ 213,140",19,19,"₩ 208,430",1181,"₩ 12,747,140","₩ 12,955,570","₩ 13,496,360","₩ 26,451,930",51.02%,2.45%
,,,,,,,,,,24.10.11(금),"₩ 11,410",4.0%,-8.05%,,"-₩ 311,784",-27,-27,"-₩ 308,070",1154,"₩ 13,475,210","₩ 13,167,140","₩ 13,804,430","₩ 26,971,570",51.18%,0.53%
,,,,,,,,,,24.10.18(금),"₩ 11,415",0.0%,-9.13%,,"-₩ 3,462",0,0,₩ 0,1154,"₩ 13,172,910","₩ 13,172,910","₩ 13,804,430","₩ 26,977,340",51.17%,0.51%
,,,,,,,,,,24.10.25(금),"₩ 11,395",-0.2%,-10.10%,,"₩ 27,696",2,2,"₩ 22,790",1156,"₩ 13,149,830","₩ 13,172,620","₩ 13,781,640","₩ 26,954,260",51.13%,0.60%
,,,,,,,,,,24.11.01(금),"₩ 11,095",-2.6%,-7.73%,,"₩ 416,160",37,37,"₩ 410,515",1193,"₩ 12,825,820","₩ 13,236,335","₩ 13,371,125","₩ 26,607,460",50.25%,1.88%
,,,,,,,,,,24.11.08(금),"₩ 12,355",11.4%,-12.80%,,"-₩ 901,908",-72,-72,"-₩ 889,560",1121,"₩ 14,739,515","₩ 13,849,955","₩ 14,260,685","₩ 28,110,640",50.73%,0.00%
,,,,,,,,,,24.11.15(금),"₩ 11,875",-3.9%,-11.61%,,"₩ 645,696",54,54,"₩ 641,250",1175,"₩ 13,311,875","₩ 13,953,125","₩ 13,619,435","₩ 27,572,560",49.39%,1.91%
,,,,,,,,,,24.11.22(금),"₩ 11,880",0.0%,-11.43%,,"-₩ 3,525",0,0,₩ 0,1175,"₩ 13,959,000","₩ 13,959,000","₩ 13,619,435","₩ 27,578,435",49.38%,1.89%
,,,,,,,,,,24.11.29(금),"₩ 11,980",0.8%,-11.13%,,"-₩ 70,500",-5,-5,"-₩ 59,900",1170,"₩ 14,076,500","₩ 14,016,600","₩ 13,679,335","₩ 27,695,935",49.39%,1.48%
,,,,,,,,,,24.12.06(금),"₩ 12,655",5.6%,-14.66%,,"-₩ 473,850",-37,-37,"-₩ 468,235",1133,"₩ 14,806,350","₩ 14,338,115","₩ 14,147,570","₩ 28,485,685",49.67%,0.00%
,,,,,,,,,,24.12.13(금),"₩ 12,995",2.7%,-16.15%,,"-₩ 231,132",-17,-17,"-₩ 220,915",1116,"₩ 14,723,335","₩ 14,502,420","₩ 14,368,485","₩ 28,870,905",49.77%,0.00%
,,,,,,,,,,24.12.20(금),"₩ 12,085",-7.0%,-14.05%,,"₩ 1,218,672",100,100,"₩ 1,208,500",1216,"₩ 13,486,860","₩ 14,695,360","₩ 13,159,985","₩ 27,855,345",47.24%,3.52%
,,,,,,,,,,24.12.27(금),"₩ 12,860",6.4%,-17.30%,,"-₩ 565,440",-43,-43,"-₩ 552,980",1173,"₩ 15,637,760","₩ 15,084,780","₩ 13,712,965","₩ 28,797,745",47.62%,0.25%
,,,,,,,,,,25.01.03(금),"₩ 12,110",-5.8%,-14.29%,,"₩ 1,055,700",87,87,"₩ 1,053,570",1260,"₩ 14,205,030","₩ 15,258,600","₩ 12,659,395","₩ 27,917,995",45.34%,3.30%
,,,,,,,,,,25.01.10(금),"₩ 12,160",0.4%,-13.88%,,"-₩ 37,800",-3,-3,"-₩ 36,480",1257,"₩ 15,321,600","₩ 15,285,120","₩ 12,695,875","₩ 27,980,995",45.37%,3.08%
,,,,,,,,,,25.01.17(금),"₩ 12,185",0.2%,-13.25%,,"-₩ 18,855",-1,-1,"-₩ 12,185",1256,"₩ 15,316,545","₩ 15,304,360","₩ 12,708,060","₩ 28,012,420",45.37%,2.97%
,,,,,,,,,,25.01.24(금),"₩ 13,030",6.9%,-14.06%,,"-₩ 636,792",-48,-48,"-₩ 625,440",1208,"₩ 16,365,680","₩ 15,740,240","₩ 13,333,500","₩ 29,073,740",45.86%,0.00%
,,,,,,,,,,25.01.31(금),"₩ 12,760",-2.1%,-13.97%,,"₩ 391,392",30,30,"₩ 382,800",1238,"₩ 15,414,080","₩ 15,796,880","₩ 12,950,700","₩ 28,747,580",45.05%,1.12%
,,,,,,,,,,25.02.07(금),"₩ 12,790",0.2%,-13.61%,,"-₩ 22,284",-1,-1,"-₩ 12,790",1237,"₩ 15,834,020","₩ 15,821,230","₩ 12,963,490","₩ 28,784,720",45.04%,0.99%
,,,,,,,,,,25.02.14(금),"₩ 13,160",2.9%,-14.07%,,"-₩ 274,614",-20,-20,"-₩ 263,200",1217,"₩ 16,278,920","₩ 16,015,720","₩ 13,226,690","₩ 29,242,410",45.23%,0.00%
,,,,,,,,,,25.02.21(금),"₩ 13,200",0.3%,-13.24%,,"-₩ 29,208",-2,-2,"-₩ 26,400",1215,"₩ 16,064,400","₩ 16,038,000","₩ 13,253,090","₩ 29,291,090",45.25%,0.00%
,,,,,,,,,,25.02.28(금),"₩ 11,470",-13.1%,-8.54%,,"₩ 2,522,340",219,219,"₩ 2,511,930",1434,"₩ 13,936,050","₩ 16,447,980","₩ 10,741,160","₩ 27,189,140",39.51%,7.18%
,,,,,,,,,,25.03.07(금),"₩ 10,925",-4.8%,-5.18%,,"₩ 521,281",47,47,"₩ 513,475",1481,"₩ 15,666,450","₩ 16,179,925","₩ 10,227,685","₩ 26,407,610",38.73%,9.84%
,,,,,,,,,,25.03.14(금),"₩ 10,115",-7.4%,-1.93%,,"₩ 800,140",79,79,"₩ 799,085",1560,"₩ 14,980,315","₩ 15,779,400","₩ 9,428,600","₩ 25,208,000",37.40%,13.94%
,,,,,,,,,,25.03.21(금),"₩ 10,390",2.7%,-3.76%,,"-₩ 286,143",-27,-27,"-₩ 280,530",1533,"₩ 16,208,400","₩ 15,927,870","₩ 9,709,130","₩ 25,637,000",37.87%,12.48%
,,,,,,,,,,25.03.28(금),"₩ 10,500",1.1%,-4.52%,,"-₩ 112,476",-10,-10,"-₩ 105,000",1523,"₩ 16,096,500","₩ 15,991,500","₩ 9,814,130","₩ 25,805,630",38.03%,11.90%
,,,,,,,,,,25.04.04(금),"₩ 9,125",-13.1%,4.67%,,"₩ 1,396,781",153,153,"₩ 1,396,125",1676,"₩ 13,897,375","₩ 15,293,500","₩ 8,418,005","₩ 23,711,505",35.50%,19.05%
,,,,,,,,,,25.04.11(금),"₩ 9,060",-0.7%,2.96%,,"₩ 72,663",8,8,"₩ 72,480",1684,"₩ 15,184,560","₩ 15,257,040","₩ 8,345,525","₩ 23,602,565",35.36%,19.42%
,,,,,,,,,,25.04.18(금),"₩ 8,755",-3.4%,6.59%,,"₩ 342,585",39,39,"₩ 341,445",1723,"₩ 14,743,420","₩ 15,084,865","₩ 8,004,080","₩ 23,088,945",34.67%,21.17%
,,,,,,,,,,25.04.25(금),"₩ 9,655",10.3%,0.54%,,"-₩ 1,034,317",-107,-107,"-₩ 1,033,085",1616,"₩ 16,635,565","₩ 15,602,480","₩ 9,037,165","₩ 24,639,645",36.68%,15.88%
,,,,,,,,,,25.05.02(금),"₩ 10,140",5.0%,0.63%,,"-₩ 522,768",-51,-51,"-₩ 517,140",1565,"₩ 16,386,240","₩ 15,869,100","₩ 9,554,305","₩ 25,423,405",37.58%,13.20%
,,,,,,,,,,25.05.09(금),"₩ 10,460",3.2%,-0.06%,,"-₩ 334,034",-31,-31,"-₩ 324,260",1534,"₩ 16,369,900","₩ 16,045,640","₩ 9,878,565","₩ 25,924,205",38.11%,11.49%
,,,,,,,,,,25.05.16(금),"₩ 11,695",11.8%,-4.72%,,"-₩ 1,263,625",-108,-108,"-₩ 1,263,060",1426,"₩ 17,940,130","₩ 16,677,070","₩ 11,141,625","₩ 27,818,695",40.05%,5.03%
,,,,,,,,,,25.05.23(금),"₩ 11,395",-2.6%,-2.28%,,"₩ 285,343",25,25,"₩ 284,875",1451,"₩ 16,249,270","₩ 16,534,145","₩ 10,856,750","₩ 27,390,895",39.64%,6.49%
,,,,,,,,,,25.05.30(금),"₩ 11,655",2.3%,-3.53%,,"-₩ 251,632",-21,-21,"-₩ 244,755",1430,"₩ 16,911,405","₩ 16,666,650","₩ 11,101,505","₩ 27,768,155",39.98%,5.20%
,,,,,,,,,,25.06.05(목),"₩ 12,090",3.7%,-3.48%,,"-₩ 414,907",-34,-34,"-₩ 411,060",1396,"₩ 17,288,700","₩ 16,877,640","₩ 11,512,565","₩ 28,390,205",40.55%,3.08%
,,,,,,,,,,25.06.13(금),"₩ 11,910",-1.5%,-3.17%,,"₩ 167,604",14,14,"₩ 166,740",1410,"₩ 16,626,360","₩ 16,793,100","₩ 11,345,825","₩ 28,138,925",40.32%,3.93%
,,,,,,,,,,25.06.20(금),"₩ 12,100",1.6%,-3.43%,,"-₩ 178,689",-14,-14,"-₩ 169,400",1396,"₩ 17,061,000","₩ 16,891,600","₩ 11,515,225","₩ 28,406,825",40.54%,3.02%
,,,,,,,,,,25.06.27(금),"₩ 12,975",7.2%,-5.85%,,"-₩ 814,741",-62,-62,"-₩ 804,450",1334,"₩ 18,113,100","₩ 17,308,650","₩ 12,319,675","₩ 29,628,325",41.58%,0.00%
,,,,,,,,,,25.07.04(금),"₩ 13,250",2.1%,-6.97%,,"-₩ 220,110",-16,-16,"-₩ 212,000",1318,"₩ 17,675,500","₩ 17,463,500","₩ 12,531,675","₩ 29,995,175",41.78%,0.00%
,,,,,,,,,,25.07.11(금),"₩ 13,240",-0.1%,-7.50%,,"₩ 15,816",1,1,"₩ 13,240",1319,"₩ 17,450,320","₩ 17,463,560","₩ 12,518,435","₩ 29,981,995",41.75%,0.04%
,,,,,,,,,,25.07.18(금),"₩ 13,655",3.1%,-9.59%,,"-₩ 328,431",-24,-24,"-₩ 327,720",1295,"₩ 18,010,945","₩ 17,683,225","₩ 12,846,155","₩ 30,529,380",42.08%,0.00%
,,,,,,,,,,25.07.25(금),"₩ 13,775",0.9%,-8.72%,,"-₩ 93,240",-6,-6,"-₩ 82,650",1289,"₩ 17,838,625","₩ 17,755,975","₩ 12,928,805","₩ 30,684,780",42.13%,0.00%
,,,,,,,,,,25.08.01(금),"₩ 13,630",-1.1%,-9.16%,,"₩ 224,286",16,16,"₩ 218,080",1305,"₩ 17,569,070","₩ 17,787,150","₩ 12,710,725","₩ 30,497,875",41.68%,0.61%
,,,,,,,,,,25.08.08(금),"₩ 13,935",2.2%,-9.13%,,"-₩ 238,815",-17,-17,"-₩ 236,895",1288,"₩ 18,185,175","₩ 17,948,280","₩ 12,947,620","₩ 30,895,900",41.91%,0.00%
,,,,,,,,,,25.08.14(목),"₩ 14,400",3.3%,-9.67%,,"-₩ 359,352",-24,-24,"-₩ 345,600",1264,"₩ 18,547,200","₩ 18,201,600","₩ 13,293,220","₩ 31,494,820",42.21%,0.00%
,,,,,,,,,,25.08.22(금),"₩ 13,525",-6.1%,-7.13%,,"₩ 1,327,200",98,98,"₩ 1,325,450",1362,"₩ 17,095,600","₩ 18,421,050","₩ 11,967,770","₩ 30,388,820",39.38%,3.51%
,,,,,,,,,,25.08.29(금),"₩ 14,145",4.6%,-8.74%,,"-₩ 506,664",-35,-35,"-₩ 495,075",1327,"₩ 19,265,490","₩ 18,770,415","₩ 12,462,845","₩ 31,233,260",39.90%,0.83%
,,,,,,,,,,25.09.05(금),"₩ 14,250",0.7%,-8.62%,,"-₩ 83,601",-5,-5,"-₩ 71,250",1322,"₩ 18,909,750","₩ 18,838,500","₩ 12,534,095","₩ 31,372,595",39.95%,0.39%
,,,,,,,,,,25.09.12(금),"₩ 14,535",2.0%,-9.04%,,"-₩ 226,062",-15,-15,"-₩ 218,025",1307,"₩ 19,215,270","₩ 18,997,245","₩ 12,752,120","₩ 31,749,365",40.16%,0.00%
,,,,,,,,,,25.09.19(금),"₩ 15,100",3.9%,-10.62%,,"-₩ 443,073",-29,-29,"-₩ 437,900",1278,"₩ 19,735,700","₩ 19,297,800","₩ 13,190,020","₩ 32,487,820",40.60%,0.00%
,,,,,,,,,,25.09.26(금),"₩ 15,060",-0.3%,-11.28%,,"₩ 61,344",4,4,"₩ 60,240",1282,"₩ 19,246,680","₩ 19,306,920","₩ 13,129,780","₩ 32,436,700",40.48%,0.16%
,,,,,,,,,,25.10.02(목),"₩ 15,570",3.4%,-11.62%,,"-₩ 392,292",-25,-25,"-₩ 389,250",1257,"₩ 19,960,740","₩ 19,571,490","₩ 13,519,030","₩ 33,090,520",40.85%,0.00%
,,,,,,,,,,25.10.10(금),"₩ 15,885",2.0%,-13.39%,,"-₩ 237,573",-14,-14,"-₩ 222,390",1243,"₩ 19,967,445","₩ 19,745,055","₩ 13,741,420","₩ 33,486,475",41.04%,0.00%
,,,,,,,,,,25.10.17(금),"₩ 15,020",-5.4%,-10.57%,,"₩ 1,290,234",85,85,"₩ 1,276,700",1328,"₩ 18,669,860","₩ 19,946,560","₩ 12,464,720","₩ 32,411,280",38.46%,3.21%
,,,,,,,,,,25.10.24(금),"₩ 15,940",6.1%,-13.73%,,"-₩ 733,056",-45,-45,"-₩ 717,300",1283,"₩ 21,168,320","₩ 20,451,020","₩ 13,182,020","₩ 33,633,040",39.19%,0.00%
,,,,,,,,,,25.10.31(금),"₩ 16,990",6.6%,-15.12%,,"-₩ 808,290",-47,-47,"-₩ 798,530",1236,"₩ 21,798,170","₩ 20,999,640","₩ 13,980,550","₩ 34,980,190",39.97%,0.00%
,,,,,,,,,,25.11.07(금),"₩ 15,890",-6.5%,-13.81%,,"₩ 1,631,520",102,102,"₩ 1,620,780",1338,"₩ 19,640,040","₩ 21,260,820","₩ 12,359,770","₩ 33,620,590",36.76%,3.89%
,,,,,,,,,,25.11.14(금),"₩ 15,525",-2.3%,-12.51%,,"₩ 586,044",37,37,"₩ 574,425",1375,"₩ 20,772,450","₩ 21,346,875","₩ 11,785,345","₩ 33,132,220",35.57%,5.28%
,,,,,,,,,,25.11.21(금),"₩ 14,400",-7.2%,-9.90%,,"₩ 1,856,250",128,128,"₩ 1,843,200",1503,"₩ 19,800,000","₩ 21,643,200","₩ 9,942,145","₩ 31,585,345",31.48%,9.71%
,,,,,,,,,,25.11.28(금),"₩ 15,940",10.7%,-13.54%,,"-₩ 1,388,772",-87,-87,"-₩ 1,386,780",1416,"₩ 23,957,820","₩ 22,571,040","₩ 11,328,925","₩ 33,899,965",33.42%,3.09%
,,,,,,,,,,25.12.05(금),"₩ 16,365",2.7%,-14.23%,,"-₩ 361,080",-22,-22,"-₩ 360,030",1394,"₩ 23,172,840","₩ 22,812,810","₩ 11,688,955","₩ 34,501,765",33.88%,1.37%
,,,,,,,,,,25.12.12(금),"₩ 16,360",0.0%,0.00%,,"₩ 4,649",0,0,₩ 0,1394,"₩ 22,805,840","₩ 22,805,840","₩ 11,688,955","₩ 34,494,795",33.89%,1.39%
,,,,,,,,,,25.12.19(금),"₩ 15,505",-5.2%,0.00%,,"₩ 794,977",51,51,"₩ 790,755",1445,"₩ 21,613,970","₩ 22,404,725","₩ 10,898,200","₩ 33,302,925",32.72%,4.79%
,,,,,,,,,,25.12.26(금),"₩ 16,235",4.7%,0.00%,,"-₩ 703,585",-43,-43,"-₩ 698,105",1402,"₩ 23,459,575","₩ 22,761,470","₩ 11,596,305","₩ 34,357,775",33.75%,1.78%
,,,,,,,,,,26.01.02(금),"₩ 15,860",-2.3%,0.00%,,"₩ 350,675",22,22,"₩ 348,920",1424,"₩ 22,235,720","₩ 22,584,640","₩ 11,247,385","₩ 33,832,025",33.24%,3.28%
,,,,,,,,,,26.01.09(금),"₩ 15,910",0.3%,0.00%,,"-₩ 47,490",-2,-2,"-₩ 31,820",1422,"₩ 22,655,840","₩ 22,624,020","₩ 11,279,205","₩ 33,903,225",33.27%,3.08%
,,,,,,,,,,26.01.16(금),"₩ 16,075",1.0%,0.00%,,"-₩ 156,498",-9,-9,"-₩ 144,675",1413,"₩ 22,858,650","₩ 22,713,975","₩ 11,423,880","₩ 34,137,855",33.46%,2.41%
,,,,,,,,,,26.01.23(금),"₩ 15,960",-0.7%,0.00%,,"₩ 108,384",6,6,"₩ 95,760",1419,"₩ 22,551,480","₩ 22,647,240","₩ 11,328,120","₩ 33,975,360",33.34%,2.87%
,,,,,,,,,,26.01.30(금),"₩ 16,085",0.8%,0.00%,,"-₩ 118,309",-7,-7,"-₩ 112,595",1412,"₩ 22,824,615","₩ 22,712,020","₩ 11,440,715","₩ 34,152,735",33.50%,2.37%
,,,,,,,,,,26.02.06(금),"₩ 14,565",-9.4%,0.00%,,"₩ 1,431,542",98,98,"₩ 1,427,370",1510,"₩ 20,565,780","₩ 21,993,150","₩ 10,013,345","₩ 32,006,495",31.29%,8.50%
,,,,,,,,,,26.02.13(금),"₩ 14,685",0.8%,0.00%,,"-₩ 120,860",-8,-8,"-₩ 117,480",1502,"₩ 22,174,350","₩ 22,056,870","₩ 10,130,825","₩ 32,187,695",31.47%,7.98%
,,,,,,,,,,26.02.20(금),"₩ 14,970",1.9%,0.00%,,"-₩ 285,523",-19,-19,"-₩ 284,430",1483,"₩ 22,484,940","₩ 22,200,510","₩ 10,415,255","₩ 32,615,765",31.93%,6.76%
,,,,,,,,,,26.02.27(금),,,,,,,,,,,,,,,
