,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,KODEX나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,시작일,22.03.08(화),,,,,,,22.08.12(금),"₩ 6,130",-0.2%,11.63%,,"₩ 14,407",2,2,"₩ 12,260",2162,"₩ 13,240,800","₩ 13,253,060","₩ 6,785,905","₩ 20,038,965",33.86%,17.48%
,,투자 종목,KODEX나스닥레버리지,,,,,,,22.08.19(금),"₩ 6,210",1.3%,9.12%,,"-₩ 172,960",-27,-27,"-₩ 167,670",2135,"₩ 13,426,020","₩ 13,258,350","₩ 6,953,575","₩ 20,211,925",34.40%,16.77%
,,장기추세선,TIGER미국나스닥100,,,,,,,22.08.26(금),"₩ 5,890",-5.2%,11.79%,,"₩ 455,694",77,77,"₩ 453,530",2212,"₩ 12,575,150","₩ 13,028,680","₩ 6,500,045","₩ 19,528,725",33.28%,19.59%
,,추세선기간(주),260,,,,,,,22.09.02(금),"₩ 5,145",-12.6%,16.88%,,"₩ 1,099,176",213,213,"₩ 1,095,885",2425,"₩ 11,380,740","₩ 12,476,625","₩ 5,404,160","₩ 17,880,785",30.22%,26.37%
,,,,,,,,,,22.09.08(목),"₩ 5,180",0.7%,15.29%,,"-₩ 84,875",-16,-16,"-₩ 82,880",2409,"₩ 12,561,500","₩ 12,478,620","₩ 5,487,040","₩ 17,965,660",30.54%,26.02%
,,,,,,,,,,22.09.16(금),"₩ 4,770",-7.9%,18.78%,,"₩ 658,789",138,138,"₩ 658,260",2547,"₩ 11,490,930","₩ 12,149,190","₩ 4,828,780","₩ 16,977,970",28.44%,30.09%
,,,,,,,,,,22.09.23(금),"₩ 4,485",-6.0%,21.61%,,"₩ 484,172",107,107,"₩ 479,895",2654,"₩ 11,423,295","₩ 11,903,190","₩ 4,348,885","₩ 16,252,075",26.76%,33.08%
,,,,,,,,,,22.09.30(금),"₩ 4,270",-4.8%,22.85%,,"₩ 380,597",89,89,"₩ 380,030",2743,"₩ 11,332,580","₩ 11,712,610","₩ 3,968,855","₩ 15,681,465",25.31%,35.43%
,,,,,,,,,,22.10.07(금),"₩ 4,415",3.4%,22.40%,,"-₩ 397,735",-90,-90,"-₩ 397,350",2653,"₩ 12,110,345","₩ 11,712,995","₩ 4,366,205","₩ 16,079,200",27.15%,33.79%
,,,,,,,,,,22.10.14(금),"₩ 4,155",-5.9%,24.70%,,"₩ 460,083",110,110,"₩ 457,050",2763,"₩ 11,023,215","₩ 11,480,265","₩ 3,909,155","₩ 15,389,420",25.40%,36.63%
,,,,,,,,,,22.10.21(금),"₩ 4,045",-2.6%,25.27%,,"₩ 202,721",50,50,"₩ 202,250",2813,"₩ 11,176,335","₩ 11,378,585","₩ 3,706,905","₩ 15,085,490",24.57%,37.88%
,,,,,,,,,,22.10.28(금),"₩ 4,120",1.9%,25.98%,,"-₩ 210,975",-51,-51,"-₩ 210,120",2762,"₩ 11,589,560","₩ 11,379,440","₩ 3,917,025","₩ 15,296,465",25.61%,37.01%
,,,,,,,,,,22.11.04(금),"₩ 3,880",-5.8%,29.51%,,"₩ 442,141",113,113,"₩ 438,440",2875,"₩ 10,716,560","₩ 11,155,000","₩ 3,478,585","₩ 14,633,585",23.77%,39.74%
,,,,,,,,,,22.11.11(금),"₩ 4,520",16.5%,28.70%,,"-₩ 1,840,000",-407,-407,"-₩ 1,839,640",2468,"₩ 12,995,000","₩ 11,155,360","₩ 5,318,225","₩ 16,473,585",32.28%,32.17%
,,,,,,,,,,22.11.18(금),"₩ 4,510",-0.2%,26.91%,,"₩ 16,462",3,3,"₩ 13,530",2471,"₩ 11,130,680","₩ 11,144,210","₩ 5,304,695","₩ 16,448,905",32.25%,32.27%
,,,,,,,,,,22.11.25(금),"₩ 4,660",3.3%,26.25%,,"-₩ 370,650",-79,-79,"-₩ 368,140",2392,"₩ 11,514,860","₩ 11,146,720","₩ 5,672,835","₩ 16,819,555",33.73%,30.74%
,,,,,,,,,,22.12.02(금),"₩ 4,735",1.6%,27.27%,,"-₩ 179,400",-37,-37,"-₩ 175,195",2355,"₩ 11,326,120","₩ 11,150,925","₩ 5,848,030","₩ 16,998,955",34.40%,30.00%
,,,,,,,,,,22.12.09(금),"₩ 4,475",-5.5%,30.91%,,"₩ 408,404",91,91,"₩ 407,225",2446,"₩ 10,538,625","₩ 10,945,850","₩ 5,440,805","₩ 16,386,655",33.20%,32.52%
,,,,,,,,,,22.12.16(금),"₩ 4,235",-5.4%,34.03%,,"₩ 391,556",92,92,"₩ 389,620",2538,"₩ 10,358,810","₩ 10,748,430","₩ 5,051,185","₩ 15,799,615",31.97%,34.94%
,,,,,,,,,,22.12.23(금),"₩ 3,945",-6.8%,41.43%,,"₩ 490,925",124,124,"₩ 489,180",2662,"₩ 10,012,410","₩ 10,501,590","₩ 4,562,005","₩ 15,063,595",30.28%,37.97%
,,,,,,,,,,22.12.29(목),"₩ 3,770",-4.4%,45.86%,,"₩ 310,722",82,82,"₩ 309,140",2744,"₩ 10,035,740","₩ 10,344,880","₩ 4,252,865","₩ 14,597,745",29.13%,39.89%
