,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TQQQ주종가,TQ 변동%,QQQ시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,21.08.27(금),36.2800,6.9%,15.54%,,"-$6,491.38",-178,-178,"-$6,457.84",2608,"$101,076.08","$94,618.24","$418,919.54","$513,537.78",81.58%,0.00%
,,,,,,,,,,21.09.03(금),37.8600,4.4%,16.48%,,"-$4,120.64",-108,-108,"-$4,088.88",2500,"$98,738.88","$94,650.00","$423,008.42","$517,658.42",81.72%,0.00%
,,,,,,,,,,21.09.10(금),36.3900,-3.9%,14.22%,,"$2,451.23",67,67,"$2,438.13",2567,"$90,975.00","$93,413.13","$420,570.29","$513,983.42",81.83%,0.71%
,,,,,,,,,,21.09.17(금),35.5600,-2.3%,12.68%,,"$1,421.12",39,39,"$1,386.84",2606,"$91,282.52","$92,669.36","$419,183.45","$511,852.81",81.90%,1.12%
,,,,,,,,,,21.09.24(금),35.4500,-0.3%,11.84%,,$191.20,5,5,$177.25,2611,"$92,382.70","$92,559.95","$419,006.20","$511,566.15",81.91%,1.18%
,,,,,,,,,,21.10.01(금),31.7100,-10.6%,7.30%,,"$6,513.35",205,205,"$6,500.55",2816,"$82,794.81","$89,295.36","$412,505.65","$501,801.01",82.21%,3.06%
,,,,,,,,,,21.10.08(금),31.8700,0.5%,7.02%,,-$450.56,-14,-14,-$446.18,2802,"$89,745.92","$89,299.74","$412,951.83","$502,251.57",82.22%,2.98%
,,,,,,,,,,21.10.15(금),33.9300,6.5%,8.71%,,"-$5,772.12",-170,-170,"-$5,768.10",2632,"$95,071.86","$89,303.76","$418,719.93","$508,023.69",82.42%,1.86%
,,,,,,,,,,21.10.22(금),35.3200,4.1%,9.60%,,"-$3,658.48",-103,-103,"-$3,637.96",2529,"$92,962.24","$89,324.28","$422,357.89","$511,682.17",82.54%,1.15%
,,,,,,,,,,21.10.29(금),38.7900,9.8%,12.46%,,"-$8,775.63",-226,-226,"-$8,766.54",2303,"$98,099.91","$89,333.37","$431,124.43","$520,457.80",82.84%,0.00%
,,,,,,,,,,21.11.05(금),42.6400,9.9%,15.36%,,"-$8,866.55",-207,-207,"-$8,826.48",2096,"$98,199.92","$89,373.44","$439,950.91","$529,324.35",83.12%,0.00%
,,,,,,,,,,21.11.12(금),41.3600,-3.0%,13.53%,,"$1,789.48",43,43,"$1,778.48",2139,"$86,690.56","$88,469.04","$438,172.43","$526,641.47",83.20%,0.51%
,,,,,,,,,,21.11.19(금),44.2900,7.1%,15.44%,,"-$6,267.27",-141,-141,"-$6,244.89",1998,"$94,736.31","$88,491.42","$444,417.32","$532,908.74",83.39%,0.00%
,,,,,,,,,,21.11.26(금),40.2100,-9.2%,11.15%,,"$5,437.28",135,135,"$5,428.35",2133,"$80,339.58","$85,767.93","$438,988.97","$524,756.90",83.66%,1.53%
,,,,,,,,,,21.12.03(금),37.5200,-6.7%,8.25%,,"$3,827.09",102,102,"$3,827.04",2235,"$80,030.16","$83,857.20","$435,161.93","$519,019.13",83.84%,2.61%
,,,,,,,,,,21.12.10(금),41.8700,11.6%,11.77%,,"-$9,722.25",-232,-232,"-$9,713.84",2003,"$93,579.45","$83,865.61","$444,875.77","$528,741.38",84.14%,0.78%
,,,,,,,,,,21.12.17(금),37.7000,-10.0%,7.50%,,"$5,571.12",147,147,"$5,541.90",2150,"$75,513.10","$81,055.00","$439,333.87","$520,388.87",84.42%,2.35%
,,,,,,,,,,21.12.23(목),41.3700,9.7%,10.29%,,"-$7,890.50",-190,-190,"-$7,860.30",1960,"$88,945.50","$81,085.20","$447,194.17","$528,279.37",84.65%,0.87%
,,,,,,,,,,21.12.31(금),41.5800,0.5%,9.83%,,-$411.60,-9,-9,-$374.22,1951,"$81,496.80","$81,122.58","$447,568.39","$528,690.97",84.66%,0.79%
,,,,,,,,,,22.01.07(금),36.0200,-13.4%,4.33%,,"$7,235.32",200,200,"$7,204.00",2151,"$70,275.02","$77,479.02","$440,364.39","$517,843.41",85.04%,2.83%
,,,,,,,,,,22.01.14(금),35.9400,-0.2%,3.84%,,$114.78,3,3,$107.82,2154,"$77,306.94","$77,414.76","$440,256.57","$517,671.33",85.05%,2.86%
,,,,,,,,,,22.01.21(금),28.3400,-21.1%,-4.28%,,"$10,919.06",385,385,"$10,910.90",2539,"$61,044.36","$71,955.26","$429,345.67","$501,300.93",85.65%,5.93%
,,,,,,,,,,22.01.28(금),28.1900,-0.5%,-4.61%,,$254.03,9,9,$253.71,2548,"$71,574.41","$71,828.12","$429,091.96","$500,920.08",85.66%,6.00%
,,,,,,,,,,22.02.04(금),29.3500,4.1%,-3.33%,,"-$1,971.44",-67,-67,"-$1,966.45",2481,"$74,783.80","$72,817.35","$431,058.41","$503,875.76",85.55%,5.45%
,,,,,,,,,,22.02.11(금),26.6400,-9.2%,-6.63%,,"$8,068.21",302,302,"$8,045.28",2783,"$66,093.84","$74,139.12","$423,013.13","$497,152.25",85.09%,6.71%
,,,,,,,,,,22.02.18(금),25.2200,-5.3%,-8.44%,,"$4,742.23",188,188,"$4,741.36",2971,"$70,187.26","$74,928.62","$418,271.77","$493,200.39",84.81%,7.45%
,,,,,,,,,,22.02.25(금),25.9600,2.9%,-7.62%,,"-$1,319.12",-50,-50,"-$1,298.00",2921,"$77,127.16","$75,829.16","$419,569.77","$495,398.93",84.69%,7.04%
,,,,,,,,,,22.03.04(금),24.0500,-7.4%,-10.16%,,"$6,694.93",278,278,"$6,685.90",3199,"$70,250.05","$76,935.95","$412,883.87","$489,819.82",84.29%,8.09%
,,,,,,,,,,22.03.11(금),21.1700,-12.0%,-13.81%,,"$11,055.74",522,522,"$11,050.74",3721,"$67,722.83","$78,773.57","$401,833.13","$480,606.70",83.61%,9.81%
,,,,,,,,,,22.03.18(금),26.5900,25.6%,-6.94%,,"-$12,100.69",-455,-455,"-$12,098.45",3266,"$98,941.39","$86,842.94","$413,931.58","$500,774.52",82.66%,6.03%
,,,,,,,,,,22.03.25(금),28.4700,7.1%,-5.23%,,"-$4,095.43",-143,-143,"-$4,071.21",3123,"$92,983.02","$88,911.81","$418,002.79","$506,914.60",82.46%,4.88%
,,,,,,,,,,22.04.01(금),28.9700,1.8%,-4.94%,,"-$1,041.52",-35,-35,"-$1,013.95",3088,"$90,473.31","$89,459.36","$419,016.74","$508,476.10",82.41%,4.58%
,,,,,,,,,,22.04.08(금),25.9200,-10.5%,-8.56%,,"$11,302.08",436,436,"$11,301.12",3524,"$80,040.96","$91,342.08","$407,715.62","$499,057.70",81.70%,6.35%
,,,,,,,,,,22.04.14(목),23.5000,-9.3%,-11.56%,,"$10,233.70",435,435,"$10,222.50",3959,"$82,814.00","$93,036.50","$397,493.12","$490,529.62",81.03%,7.95%
,,,,,,,,,,22.04.22(금),20.7600,-11.7%,-15.20%,,"$13,017.19",627,627,"$13,016.52",4586,"$82,188.84","$95,205.36","$384,476.60","$479,681.96",80.15%,9.99%
,,,,,,,,,,22.04.29(금),18.2700,-12.0%,-18.50%,,"$13,702.97",750,750,"$13,702.50",5336,"$83,786.22","$97,488.72","$370,774.10","$468,262.82",79.18%,12.13%
,,,,,,,,,,22.05.06(금),17.3100,-5.3%,-19.66%,,"$6,147.07",355,355,"$6,145.05",5691,"$92,366.16","$98,511.21","$364,629.05","$463,140.26",78.73%,13.09%
,,,,,,,,,,22.05.13(금),15.8200,-8.6%,-21.63%,,"$10,175.51",643,643,"$10,172.26",6334,"$90,031.62","$100,203.88","$354,456.79","$454,660.67",77.96%,14.68%
,,,,,,,,,,22.05.20(금),13.6700,-13.6%,-25.10%,,"$16,341.72",1195,1195,"$16,335.65",7529,"$86,585.78","$102,921.43","$338,121.14","$441,042.57",76.66%,17.24%
,,,,,,,,,,22.05.27(금),16.6500,21.8%,-19.92%,,"-$13,461.85",-808,-808,"-$13,453.20",6721,"$125,357.85","$111,904.65","$351,574.34","$463,478.99",75.86%,13.03%
,,,,,,,,,,22.06.03(금),16.0700,-3.5%,-20.76%,,"$4,677.82",291,291,"$4,676.37",7012,"$108,006.47","$112,682.84","$346,897.97","$459,580.81",75.48%,13.76%
,,,,,,,,,,22.06.10(금),13.4000,-16.6%,-25.26%,,"$22,466.45",1676,1676,"$22,458.40",8688,"$93,960.80","$116,419.20","$324,439.57","$440,858.77",73.59%,17.27%
,,,,,,,,,,22.06.17(금),11.3400,-15.4%,-28.87%,,"$21,476.74",1893,1893,"$21,466.62",10581,"$98,521.92","$119,988.54","$302,972.95","$422,961.49",71.63%,20.63%
,,,,,,,,,,22.06.24(금),13.9900,23.4%,-23.73%,,"-$16,823.79",-1202,-1202,"-$16,815.98",9379,"$148,028.19","$131,212.21","$319,788.93","$451,001.14",70.91%,15.37%
,,,,,,,,,,22.07.01(금),12.2000,-12.8%,-26.92%,,"$20,146.09",1651,1651,"$20,142.20",11030,"$114,423.80","$134,566.00","$299,646.73","$434,212.73",69.01%,18.52%
,,,,,,,,,,22.07.08(금),13.9500,14.3%,-23.52%,,"-$11,581.50",-830,-830,"-$11,578.50",10200,"$153,868.50","$142,290.00","$311,225.23","$453,515.23",68.63%,14.90%
,,,,,,,,,,22.07.15(금),13.4000,-3.9%,-24.43%,,"$6,732.00",502,502,"$6,726.80",10702,"$136,680.00","$143,406.80","$304,498.43","$447,905.23",67.98%,15.95%
,,,,,,,,,,22.07.22(금),14.7700,10.2%,-21.86%,,"-$8,797.04",-595,-595,"-$8,788.15",10107,"$158,068.54","$149,280.39","$313,286.58","$462,566.97",67.73%,13.20%
,,,,,,,,,,22.07.29(금),16.6800,12.9%,-18.48%,,"-$11,582.62",-694,-694,"-$11,575.92",9413,"$168,584.76","$157,008.84","$324,862.50","$481,871.34",67.42%,9.58%
,,,,,,,,,,22.08.05(금),17.6500,5.8%,-16.97%,,"-$5,478.37",-310,-310,"-$5,471.50",9103,"$166,139.45","$160,667.95","$330,334.00","$491,001.95",67.28%,7.86%
,,,,,,,,,,22.08.12(금),18.9900,7.6%,-14.88%,,"-$7,318.81",-385,-385,"-$7,311.15",8718,"$172,865.97","$165,554.82","$337,645.15","$503,199.97",67.10%,5.57%
,,,,,,,,,,22.08.19(금),17.6800,-6.9%,-16.92%,,"$13,704.70",775,775,"$13,702.00",9493,"$154,134.24","$167,836.24","$323,943.15","$491,779.39",65.87%,7.72%
,,,,,,,,,,22.08.26(금),15.1200,-14.5%,-20.95%,,"$29,162.50",1928,1928,"$29,151.36",11421,"$143,534.16","$172,685.52","$294,791.79","$467,477.31",63.06%,12.28%
,,,,,,,,,,22.09.02(금),13.3400,-11.8%,-24.09%,,"$24,395.26",1828,1828,"$24,385.52",13249,"$152,356.14","$176,741.66","$270,406.27","$447,147.93",60.47%,16.09%
,,,,,,,,,,22.09.09(금),14.9200,11.8%,-21.07%,,"-$12,560.05",-841,-841,"-$12,547.72",12408,"$197,675.08","$185,127.36","$282,953.99","$468,081.35",60.45%,12.16%
,,,,,,,,,,22.09.16(금),12.3000,-17.6%,-25.59%,,"$39,010.75",3171,3171,"$39,003.30",15579,"$152,618.40","$191,621.70","$243,950.69","$435,572.39",56.01%,18.27%
,,,,,,,,,,22.09.23(금),10.6600,-13.3%,-29.05%,,"$30,659.47",2876,2876,"$30,658.16",18455,"$166,072.14","$196,730.30","$213,292.53","$410,022.83",52.02%,23.06%
,,,,,,,,,,22.09.30(금),9.6600,-9.4%,-31.06%,,"$22,146.00",2292,2292,"$22,140.72",20747,"$178,275.30","$200,416.02","$191,151.81","$391,567.83",48.82%,26.52%
,,,,,,,,,,22.10.07(금),9.7500,0.9%,-30.48%,,"-$1,120.34",-114,-114,"-$1,111.50",20633,"$202,283.25","$201,171.75","$192,263.31","$393,435.06",48.87%,26.17%
,,,,,,,,,,22.10.14(금),8.7900,-9.8%,-32.49%,,"$23,769.22",2704,2704,"$23,768.16",23337,"$181,364.07","$205,132.23","$168,495.15","$373,627.38",45.10%,29.89%
,,,,,,,,,,22.10.21(금),10.2900,17.1%,-28.60%,,"-$21,003.30",-2041,-2041,"-$21,001.89",21296,"$240,137.73","$219,135.84","$189,497.04","$408,632.88",46.37%,23.32%
,,,,,,,,,,22.10.28(금),10.8500,5.4%,-27.04%,,"-$7,155.46",-659,-659,"-$7,150.15",20637,"$231,061.60","$223,911.45","$196,647.19","$420,558.64",46.76%,21.08%
,,,,,,,,,,22.11.04(금),8.9800,-17.2%,-31.21%,,"$46,309.43",5156,5156,"$46,300.88",25793,"$185,320.26","$231,621.14","$150,346.31","$381,967.45",39.36%,28.32%
,,,,,,,,,,22.11.11(금),11.3400,26.3%,-25.11%,,"-$36,522.89",-3220,-3220,"-$36,514.80",22573,"$292,492.62","$255,977.82","$186,861.11","$442,838.93",42.20%,16.90%
,,,,,,,,,,22.11.18(금),10.9200,-3.7%,-25.88%,,"$11,376.79",1041,1041,"$11,367.72",23614,"$246,497.16","$257,864.88","$175,493.39","$433,358.27",40.50%,18.68%
,,,,,,,,,,22.11.25(금),11.1300,1.9%,-25.29%,,"-$2,975.36",-267,-267,"-$2,971.71",23347,"$262,823.82","$259,852.11","$178,465.10","$438,317.21",40.72%,17.75%
,,,,,,,,,,22.12.02(금),11.7100,5.2%,-23.79%,,"-$8,124.76",-693,-693,"-$8,115.03",22654,"$273,393.37","$265,278.34","$186,580.13","$451,858.47",41.29%,15.21%
,,,,,,,,,,22.12.09(금),10.4500,-10.8%,-26.46%,,"$34,252.85",3277,3277,"$34,244.65",25931,"$236,734.30","$270,978.95","$152,335.48","$423,314.43",35.99%,20.57%
,,,,,,,,,,22.12.16(금),9.5300,-8.8%,-28.39%,,"$28,627.82",3003,3003,"$28,618.59",28934,"$247,122.43","$275,741.02","$123,716.89","$399,457.91",30.97%,25.04%
,,,,,,,,,,22.12.23(금),8.8000,-7.7%,-30.05%,,"$25,346.18",2880,2880,"$25,344.00",31814,"$254,619.20","$279,963.20","$98,372.89","$378,336.09",26.00%,29.01%
,,,,,,,,,,22.12.30(금),8.6500,-1.7%,-30.22%,,"$5,726.52",662,662,"$5,726.30",32476,"$275,191.10","$280,917.40","$92,646.59","$373,563.99",24.80%,29.90%
,,,,,,,,,,23.01.06(금),8.8200,2.0%,-29.45%,,"-$3,312.55",-375,-375,"-$3,307.50",32101,"$286,438.32","$283,130.82","$95,954.09","$379,084.91",25.31%,28.86%
,,,,,,,,,,23.01.13(금),10.0500,13.9%,-26.20%,,"-$23,690.54",-2357,-2357,"-$23,687.85",29744,"$322,615.05","$298,927.20","$119,641.94","$418,569.14",28.58%,21.46%
,,,,,,,,,,23.01.20(금),10.2000,1.5%,-25.71%,,"-$2,676.96",-262,-262,"-$2,672.40",29482,"$303,388.80","$300,716.40","$122,314.34","$423,030.74",28.91%,20.62%
,,,,,,,,,,23.01.27(금),11.6700,14.4%,-22.13%,,"-$26,003.12",-2228,-2228,"-$26,000.76",27254,"$344,054.94","$318,054.18","$148,315.10","$466,369.28",31.80%,12.49%
,,,,,,,,,,23.02.03(금),12.7600,9.3%,-19.51%,,"-$17,824.12",-1396,-1396,"-$17,812.96",25858,"$347,761.04","$329,948.08","$166,128.06","$496,076.14",33.49%,6.91%
,,,,,,,,,,23.02.10(금),11.9100,-6.7%,-21.21%,,"$26,375.16",2214,2214,"$26,368.74",28072,"$307,968.78","$334,337.52","$139,759.32","$474,096.84",29.48%,11.04%
,,,,,,,,,,23.02.17(금),12.0200,0.9%,-20.84%,,"-$1,852.75",-154,-154,"-$1,851.08",27918,"$337,425.44","$335,574.36","$141,610.40","$477,184.76",29.68%,10.46%
,,,,,,,,,,23.02.24(금),10.8900,-9.4%,-23.24%,,"$37,856.81",3476,3476,"$37,853.64",31394,"$304,027.02","$341,880.66","$103,756.76","$445,637.42",23.28%,16.38%
,,,,,,,,,,23.03.03(금),11.7300,7.7%,-21.20%,,"-$15,822.58",-1348,-1348,"-$15,812.04",30046,"$368,251.62","$352,439.58","$119,568.80","$472,008.38",25.33%,11.43%
,,,,,,,,,,23.03.10(금),10.4400,-11.0%,-24.08%,,"$46,511.21",4455,4455,"$46,510.20",34501,"$313,680.24","$360,190.44","$73,058.60","$433,249.04",16.86%,18.70%
,,,,,,,,,,23.03.17(금),12.2900,17.7%,-19.63%,,"-$38,296.11",-3116,-3116,"-$38,295.64",31385,"$424,017.29","$385,721.65","$111,354.24","$497,075.89",22.40%,6.72%
,,,,,,,,,,23.03.24(금),12.9100,5.0%,-18.17%,,"-$11,675.22",-904,-904,"-$11,670.64",30481,"$405,180.35","$393,509.71","$123,024.88","$516,534.59",23.82%,3.07%
,,,,,,,,,,23.03.31(금),14.1300,9.5%,-15.55%,,"-$22,312.09",-1579,-1579,"-$22,311.27",28902,"$430,696.53","$408,385.26","$145,336.15","$553,721.41",26.25%,0.00%
,,,,,,,,,,23.04.06(목),13.7200,-2.9%,-16.29%,,"$14,219.78",1036,1036,"$14,213.92",29938,"$396,535.44","$410,749.36","$131,122.23","$541,871.59",24.20%,2.14%
,,,,,,,,,,23.04.14(금),13.7400,0.1%,-16.21%,,-$359.26,-26,-26,-$357.24,29912,"$411,348.12","$410,990.88","$131,479.47","$542,470.35",24.24%,2.03%
,,,,,,,,,,23.04.21(금),13.4400,-2.2%,-16.74%,,"$10,768.32",801,801,"$10,765.44",30713,"$402,017.28","$412,782.72","$120,714.03","$533,496.75",22.63%,3.65%
,,,,,,,,,,23.04.28(금),14.1300,5.1%,-15.21%,,"-$12,715.18",-899,-899,"-$12,702.87",29814,"$433,974.69","$421,271.82","$133,416.90","$554,688.72",24.05%,0.00%
,,,,,,,,,,23.05.05(금),14.1100,-0.1%,-15.18%,,$715.54,50,50,$705.50,29864,"$420,675.54","$421,381.04","$132,711.40","$554,092.44",23.95%,0.11%
,,,,,,,,,,23.05.12(금),14.3700,1.8%,-14.66%,,"-$4,658.78",-324,-324,"-$4,655.88",29540,"$429,145.68","$424,489.80","$137,367.28","$561,857.08",24.45%,0.00%
,,,,,,,,,,23.05.19(금),15.8700,10.4%,-11.75%,,"-$26,586.00",-1675,-1675,"-$26,582.25",27865,"$468,799.80","$442,217.55","$163,949.53","$606,167.08",27.05%,0.00%
,,,,,,,,,,23.05.26(금),17.4900,10.2%,-8.79%,,"-$27,084.78",-1548,-1548,"-$27,074.52",26317,"$487,358.85","$460,284.33","$191,024.05","$651,308.38",29.33%,0.00%
,,,,,,,,,,23.06.02(금),18.4100,5.3%,-7.34%,,"-$14,526.98",-789,-789,"-$14,525.49",25528,"$484,495.97","$469,970.48","$205,549.54","$675,520.02",30.43%,0.00%
,,,,,,,,,,23.06.09(금),18.3100,-0.5%,-7.58%,,"$3,063.36",167,167,"$3,057.77",25695,"$467,417.68","$470,475.45","$202,491.77","$672,967.22",30.09%,0.38%
,,,,,,,,,,23.06.16(금),20.4000,11.4%,-4.31%,,"-$35,819.60",-1755,-1755,"-$35,802.00",23940,"$524,178.00","$488,376.00","$238,293.77","$726,669.77",32.79%,0.00%
,,,,,,,,,,23.06.23(금),19.4800,-4.5%,-5.91%,,"$14,690.54",754,754,"$14,687.92",24694,"$466,351.20","$481,039.12","$223,605.85","$704,644.97",31.73%,3.03%
,,,,,,,,,,23.06.30(금),20.5000,5.2%,-4.36%,,"-$16,800.32",-819,-819,"-$16,789.50",23875,"$506,227.00","$489,437.50","$240,395.35","$729,832.85",32.94%,0.00%
,,,,,,,,,,23.07.07(금),19.9300,-2.8%,-5.41%,,"$9,077.04",455,455,"$9,068.15",24330,"$475,828.75","$484,896.90","$231,327.20","$716,224.10",32.30%,1.86%
,,,,,,,,,,23.07.14(금),22.0100,10.4%,-2.38%,,"-$33,754.47",-1533,-1533,"-$33,741.33",22797,"$535,503.30","$501,761.97","$265,068.53","$766,830.50",34.57%,0.00%
,,,,,,,,,,23.07.21(금),21.3500,-3.0%,-3.52%,,"$10,035.70",470,470,"$10,034.50",23267,"$486,715.95","$496,750.45","$255,034.03","$751,784.48",33.92%,1.96%
,,,,,,,,,,23.07.28(금),22.6100,5.9%,-1.79%,,"-$19,554.05",-864,-864,"-$19,535.04",22403,"$526,066.87","$506,531.83","$274,569.07","$781,100.90",35.15%,0.00%
,,,,,,,,,,23.08.04(금),20.5700,-9.0%,-4.96%,,"$30,483.31",1481,1481,"$30,464.17",23884,"$460,829.71","$491,293.88","$244,104.90","$735,398.78",33.19%,5.85%
,,,,,,,,,,23.08.11(금),19.5500,-5.0%,-6.64%,,"$29,234.02",1495,1495,"$29,227.25",25379,"$466,932.20","$496,159.45","$214,877.65","$711,037.10",30.22%,8.97%
,,,,,,,,,,23.08.18(금),18.2000,-6.9%,-8.87%,,"$41,113.98",2259,2259,"$41,113.80",27638,"$461,897.80","$503,011.60","$173,763.85","$676,775.45",25.68%,13.36%
,,,,,,,,,,23.08.25(금),19.0200,4.5%,-7.57%,,"-$13,597.90",-714,-714,"-$13,580.28",26924,"$525,674.76","$512,094.48","$187,344.13","$699,438.61",26.78%,10.45%
,,,,,,,,,,23.09.01(금),21.1500,11.2%,-4.36%,,"-$38,251.20",-1808,-1808,"-$38,239.20",25116,"$569,442.60","$531,203.40","$225,583.33","$756,786.73",29.81%,3.11%
,,,,,,,,,,23.09.08(금),20.2500,-4.3%,-5.85%,,"$15,077.13",744,744,"$15,066.00",25860,"$508,599.00","$523,665.00","$210,517.33","$734,182.33",28.67%,6.01%
,,,,,,,,,,23.09.15(금),19.8800,-1.8%,-6.50%,,"$11,481.84",577,577,"$11,470.76",26437,"$514,096.80","$525,567.56","$199,046.57","$724,614.13",27.47%,7.23%
,,,,,,,,,,23.09.22(금),17.8100,-10.4%,-9.90%,,"$65,669.51",3687,3687,"$65,665.47",30124,"$470,842.97","$536,508.44","$133,381.10","$669,889.54",19.91%,14.24%
,,,,,,,,,,23.09.29(금),17.8100,0.0%,-9.93%,,$0.00,0,0,$0.00,30124,"$536,508.44","$536,508.44","$133,381.10","$669,889.54",19.91%,14.24%
,,,,,,,,,,23.10.06(금),18.6800,4.9%,-8.44%,,"-$15,724.73",-841,-841,"-$15,709.88",29283,"$562,716.32","$547,006.44","$149,090.98","$696,097.42",21.42%,10.88%
,,,,,,,,,,23.10.13(금),18.7000,0.1%,-8.40%,,-$351.40,-18,-18,-$336.60,29265,"$547,592.10","$547,255.50","$149,427.58","$696,683.08",21.45%,10.81%
,,,,,,,,,,23.10.20(금),17.0500,-8.8%,-11.12%,,"$57,944.70",3398,3398,"$57,935.90",32663,"$498,968.25","$556,904.15","$91,491.68","$648,395.83",14.11%,16.99%
,,,,,,,,,,23.10.27(금),15.6500,-8.2%,-13.45%,,"$54,873.84",3506,1995,"$31,221.75",34658,"$511,175.95","$542,397.70","$60,269.93","$602,667.63",10.00%,22.84%
,,,,,,,,,,23.11.03(금),18.7900,20.1%,-7.93%,,"-$65,295.67",-3475,-3475,"-$65,295.25",31183,"$651,223.82","$585,928.57","$125,565.18","$711,493.75",17.65%,8.91%
,,,,,,,,,,23.11.10(금),20.3900,8.5%,-5.38%,,"-$33,278.50",-1632,-1632,"-$33,276.48",29551,"$635,821.37","$602,544.89","$158,841.66","$761,386.55",20.86%,2.52%
,,,,,,,,,,23.11.17(금),21.5800,5.8%,-3.57%,,"-$23,455.52",-1086,-1086,"-$23,435.88",28465,"$637,710.58","$614,274.70","$182,277.54","$796,552.24",22.88%,0.00%
,,,,,,,,,,23.11.24(금),22.0900,2.4%,-2.86%,,"-$9,682.94",-438,-438,"-$9,675.42",28027,"$628,791.85","$619,116.43","$191,952.96","$811,069.39",23.67%,0.00%
,,,,,,,,,,23.12.01(금),22.1200,0.1%,-2.87%,,-$560.82,-25,-25,-$553.00,28002,"$619,957.24","$619,404.24","$192,505.96","$811,910.20",23.71%,0.00%
,,,,,,,,,,23.12.08(금),22.4200,1.4%,-2.43%,,"-$5,603.20",-249,-249,"-$5,582.58",27753,"$627,804.84","$622,222.26","$198,088.54","$820,310.80",24.15%,0.00%
,,,,,,,,,,23.12.15(금),24.6200,9.8%,0.75%,,"-$40,724.75",-1654,-1654,"-$40,721.48",26099,"$683,278.86","$642,557.38","$238,810.02","$881,367.40",27.10%,0.00%
,,,,,,,,,,23.12.22(금),25.1800,2.3%,1.38%,,"-$9,748.50",-387,-387,"-$9,744.66",25712,"$657,172.82","$647,428.16","$248,554.68","$895,982.84",27.74%,0.00%
,,,,,,,,,,23.12.29(금),25.3500,0.7%,1.52%,,"-$2,915.48",-115,-115,"-$2,915.25",25597,"$651,799.20","$648,883.95","$251,469.93","$900,353.88",27.93%,0.00%
,,,,,,,,,,24.01.05(금),22.9900,-9.3%,-1.74%,,"$40,292.75",1752,1752,"$40,278.48",27349,"$588,475.03","$628,753.51","$211,191.45","$839,944.96",25.14%,6.71%
,,,,,,,,,,24.01.12(금),25.1700,9.5%,1.26%,,"-$39,767.09",-1579,-1579,"-$39,743.43",25770,"$688,374.33","$648,630.90","$250,934.88","$899,565.78",27.90%,0.09%
,,,,,,,,,,24.01.19(금),27.2700,8.3%,3.93%,,"-$36,096.04",-1323,-1323,"-$36,078.21",24447,"$702,747.90","$666,669.69","$287,013.09","$953,682.78",30.10%,0.00%
,,,,,,,,,,24.01.26(금),27.7200,1.7%,4.36%,,"-$7,337.77",-264,-264,"-$7,318.08",24183,"$677,670.84","$670,352.76","$294,331.17","$964,683.93",30.51%,0.00%
,,,,,,,,,,24.02.02(금),28.6200,3.2%,5.40%,,"-$21,764.70",-760,-760,"-$21,751.20",23423,"$692,117.46","$670,366.26","$316,082.37","$986,448.63",32.04%,0.00%
,,,,,,,,,,24.02.09(금),30.1400,5.3%,7.10%,,"-$35,602.96",-1181,-1181,"-$35,595.34",22242,"$705,969.22","$670,373.88","$351,677.71","$1,022,051.59",34.41%,0.00%
,,,,,,,,,,24.02.16(금),28.7100,-4.7%,5.26%,,"$21,214.64",738,738,"$21,187.98",22980,"$638,567.82","$659,755.80","$330,489.73","$990,245.53",33.37%,3.11%
,,,,,,,,,,24.02.23(금),29.8100,3.8%,6.51%,,"-$25,278.00",-847,-847,"-$25,249.07",22133,"$685,033.80","$659,784.73","$355,738.80","$1,015,523.53",35.03%,0.64%
,,,,,,,,,,24.03.01(금),31.5700,5.9%,8.38%,,"-$38,954.08",-1233,-1233,"-$38,925.81",20900,"$698,738.81","$659,813.00","$394,664.61","$1,054,477.61",37.43%,0.00%
,,,,,,,,,,24.03.08(금),30.0300,-4.9%,6.50%,,"$21,468.06",714,714,"$21,441.42",21614,"$627,627.00","$649,068.42","$373,223.19","$1,022,291.61",36.51%,3.05%
,,,,,,,,,,24.03.15(금),28.8800,-3.8%,5.01%,,"$16,579.02",574,574,"$16,577.12",22188,"$624,212.32","$640,789.44","$356,646.07","$997,435.51",35.76%,5.41%
,,,,,,,,,,24.03.22(금),31.3200,8.4%,7.72%,,"-$54,138.72",-1728,-1728,"-$54,120.96",20460,"$694,928.16","$640,807.20","$410,767.03","$1,051,574.23",39.06%,0.28%
,,,,,,,,,,24.03.28(목),30.7800,-1.7%,6.89%,,"$7,369.28",239,239,"$7,356.42",20699,"$629,758.80","$637,115.22","$403,410.61","$1,040,525.83",38.77%,1.32%
,,,,,,,,,,24.04.05(금),29.9300,-2.8%,5.71%,,"$11,735.30",392,392,"$11,732.56",21091,"$619,521.07","$631,253.63","$391,678.05","$1,022,931.68",38.29%,2.99%
,,,,,,,,,,24.04.12(금),29.3600,-1.9%,4.91%,,"$8,018.59",273,273,"$8,015.28",21364,"$619,231.76","$627,247.04","$383,662.77","$1,010,909.81",37.95%,4.13%
,,,,,,,,,,24.04.19(금),24.7400,-15.7%,-0.92%,,"$65,834.02",2661,2661,"$65,833.14",24025,"$528,545.36","$594,378.50","$317,829.63","$912,208.13",34.84%,13.49%
