,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TQQQ주종가,TQ 변동%,QQQ시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,21.02.26(금),22.3100,-14.9%,12.69%,,"$10,909.85",489,489,"$10,909.59",4683,"$93,568.14","$104,477.73","$358,452.81","$462,930.54",77.43%,4.48%
,,,,,,,,,,21.03.05(금),20.9400,-6.1%,10.14%,,"$4,279.28",204,204,"$4,271.76",4887,"$98,062.02","$102,333.78","$354,181.05","$456,514.83",77.58%,5.80%
,,,,,,,,,,21.03.12(금),22.1300,5.7%,11.93%,,"-$5,815.53",-262,-262,"-$5,798.06",4625,"$108,149.31","$102,351.25","$359,979.11","$462,330.36",77.86%,4.60%
,,,,,,,,,,21.03.19(금),21.6200,-2.3%,10.50%,,"$1,573.29",72,72,"$1,556.64",4697,"$99,992.50","$101,549.14","$358,422.47","$459,971.61",77.92%,5.09%
,,,,,,,,,,21.03.26(금),22.1600,2.5%,10.88%,,"-$2,536.38",-114,-114,"-$2,526.24",4583,"$104,085.52","$101,559.28","$360,948.71","$462,507.99",78.04%,4.57%
,,,,,,,,,,21.04.01(목),23.9800,8.2%,13.27%,,"-$8,341.06",-347,-347,"-$8,321.06",4236,"$109,900.34","$101,579.28","$369,269.77","$470,849.05",78.43%,2.85%
,,,,,,,,,,21.04.09(금),26.8200,11.8%,16.82%,,"-$12,030.24",-448,-448,"-$12,015.36",3788,"$113,609.52","$101,594.16","$381,285.13","$482,879.29",78.96%,0.36%
,,,,,,,,,,21.04.16(금),27.9500,4.2%,17.75%,,"-$4,280.44",-153,-153,"-$4,276.35",3635,"$105,874.60","$101,598.25","$385,561.48","$487,159.73",79.14%,0.00%
,,,,,,,,,,21.04.23(금),27.2700,-2.4%,16.15%,,"$1,648.69",60,60,"$1,636.20",3695,"$99,126.45","$100,762.65","$383,925.28","$484,687.93",79.21%,0.51%
,,,,,,,,,,21.04.30(금),26.9200,-1.3%,14.98%,,$862.60,32,32,$861.44,3727,"$99,469.40","$100,330.84","$383,063.84","$483,394.68",79.24%,0.77%
,,,,,,,,,,21.05.07(금),25.9500,-3.6%,13.06%,,"$2,411.33",92,92,"$2,387.40",3819,"$96,715.65","$99,103.05","$380,676.44","$479,779.49",79.34%,1.51%
,,,,,,,,,,21.05.14(금),23.9900,-7.6%,9.84%,,"$4,992.66",208,208,"$4,989.92",4027,"$91,617.81","$96,607.73","$375,686.52","$472,294.25",79.55%,3.05%
,,,,,,,,,,21.05.21(금),24.1100,0.5%,9.46%,,-$483.24,-20,-20,-$482.20,4007,"$97,090.97","$96,608.77","$376,168.72","$472,777.49",79.57%,2.95%
,,,,,,,,,,21.05.28(금),25.6500,6.4%,11.15%,,"-$6,170.78",-240,-240,"-$6,156.00",3767,"$102,779.55","$96,623.55","$382,324.72","$478,948.27",79.83%,1.69%
,,,,,,,,,,21.06.04(금),26.0000,1.4%,11.09%,,"-$1,318.45",-50,-50,"-$1,300.00",3717,"$97,942.00","$96,642.00","$383,624.72","$480,266.72",79.88%,1.41%
