,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIGER나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,24.04.05(금),"₩ 17,245",-3.1%,-6.11%,,"₩ 462,660",26,26,"₩ 448,370",727,"₩ 12,088,745","₩ 12,537,115","₩ 14,960,950","₩ 27,498,065",54.41%,1.38%
,,,,,,,,,,24.04.12(금),"₩ 18,630",8.0%,-9.28%,,"-₩ 604,137",-32,-32,"-₩ 596,160",695,"₩ 13,544,010","₩ 12,947,850","₩ 15,557,110","₩ 28,504,960",54.58%,0.00%
,,,,,,,,,,24.04.19(금),"₩ 16,615",-10.8%,-3.72%,,"₩ 934,083",56,56,"₩ 930,440",751,"₩ 11,547,425","₩ 12,477,865","₩ 14,626,670","₩ 27,104,535",53.96%,4.91%
,,,,,,,,,,24.04.26(금),"₩ 17,220",3.6%,-5.10%,,"-₩ 303,055",-17,-17,"-₩ 292,740",734,"₩ 12,932,220","₩ 12,639,480","₩ 14,919,410","₩ 27,558,890",54.14%,3.32%
,,,,,,,,,,24.05.03(금),"₩ 16,850",-2.1%,-3.81%,,"₩ 181,144",10,10,"₩ 168,500",744,"₩ 12,367,900","₩ 12,536,400","₩ 14,750,910","₩ 27,287,310",54.06%,4.27%
,,,,,,,,,,24.05.10(금),"₩ 17,930",6.4%,-6.48%,,"-₩ 482,112",-26,-26,"-₩ 466,180",718,"₩ 13,339,920","₩ 12,873,740","₩ 15,217,090","₩ 28,090,830",54.17%,1.45%
,,,,,,,,,,24.05.17(금),"₩ 18,405",2.6%,-7.52%,,"-₩ 204,630",-11,-11,"-₩ 202,455",707,"₩ 13,214,790","₩ 13,012,335","₩ 15,419,545","₩ 28,431,880",54.23%,0.26%
,,,,,,,,,,24.05.24(금),"₩ 18,950",3.0%,-8.46%,,"-₩ 231,189",-12,-12,"-₩ 227,400",695,"₩ 13,397,650","₩ 13,170,250","₩ 15,646,945","₩ 28,817,195",54.30%,0.00%
,,,,,,,,,,24.05.31(금),"₩ 19,085",0.7%,-8.47%,,"-₩ 56,295",-2,-2,"-₩ 38,170",693,"₩ 13,264,075","₩ 13,225,905","₩ 15,685,115","₩ 28,911,020",54.25%,0.00%
,,,,,,,,,,24.06.07(금),"₩ 19,655",3.0%,-9.68%,,"-₩ 237,006",-12,-12,"-₩ 235,860",681,"₩ 13,620,915","₩ 13,385,055","₩ 15,920,975","₩ 29,306,030",54.33%,0.00%
,,,,,,,,,,24.06.14(금),"₩ 21,295",8.3%,-12.76%,,"-₩ 670,104",-31,-31,"-₩ 660,145",650,"₩ 14,501,895","₩ 13,841,750","₩ 16,581,120","₩ 30,422,870",54.50%,0.00%
,,,,,,,,,,24.06.21(금),"₩ 21,950",3.1%,-13.66%,,"-₩ 255,450",-11,-11,"-₩ 241,450",639,"₩ 14,267,500","₩ 14,026,050","₩ 16,822,570","₩ 30,848,620",54.53%,0.00%
,,,,,,,,,,24.06.28(금),"₩ 21,725",-1.0%,-12.87%,,"₩ 172,530",7,7,"₩ 152,075",646,"₩ 13,882,275","₩ 14,034,350","₩ 16,670,495","₩ 30,704,845",54.29%,0.47%
,,,,,,,,,,24.07.05(금),"₩ 22,595",4.0%,-14.16%,,"-₩ 337,212",-14,-14,"-₩ 316,330",632,"₩ 14,596,370","₩ 14,280,040","₩ 16,986,825","₩ 31,266,865",54.33%,0.00%
,,,,,,,,,,24.07.12(금),"₩ 22,560",-0.2%,-13.68%,,"₩ 26,544",1,1,"₩ 22,560",633,"₩ 14,257,920","₩ 14,280,480","₩ 16,964,265","₩ 31,244,745",54.29%,0.07%
,,,,,,,,,,24.07.19(금),"₩ 21,745",-3.6%,-11.89%,,"₩ 619,074",28,28,"₩ 608,860",661,"₩ 13,764,585","₩ 14,373,445","₩ 16,355,405","₩ 30,728,850",53.22%,1.72%
,,,,,,,,,,24.07.26(금),"₩ 19,780",-9.0%,-7.45%,,"₩ 1,558,638",78,78,"₩ 1,542,840",739,"₩ 13,074,580","₩ 14,617,420","₩ 14,812,565","₩ 29,429,985",50.33%,5.87%
,,,,,,,,,,24.08.02(금),"₩ 18,600",-6.0%,-4.28%,,"₩ 581,637",31,31,"₩ 576,600",770,"₩ 13,745,400","₩ 14,322,000","₩ 14,235,965","₩ 28,557,965",49.85%,8.66%
,,,,,,,,,,24.08.09(금),"₩ 17,960",-3.4%,-2.73%,,"₩ 328,698",18,18,"₩ 323,280",788,"₩ 13,829,200","₩ 14,152,480","₩ 13,912,685","₩ 28,065,165",49.57%,10.24%
,,,,,,,,,,24.08.16(금),"₩ 20,150",12.2%,-7.72%,,"-₩ 1,035,432",-51,-51,"-₩ 1,027,650",737,"₩ 15,878,200","₩ 14,850,550","₩ 14,940,335","₩ 29,790,885",50.15%,4.72%
,,,,,,,,,,24.08.23(금),"₩ 19,595",-2.8%,-6.21%,,"₩ 490,842",25,25,"₩ 489,875",762,"₩ 14,441,515","₩ 14,931,390","₩ 14,450,460","₩ 29,381,850",49.18%,6.03%
,,,,,,,,,,24.08.30(금),"₩ 19,055",-2.8%,-4.85%,,"₩ 274,457",14,14,"₩ 266,770",776,"₩ 14,519,910","₩ 14,786,680","₩ 14,183,690","₩ 28,970,370",48.96%,7.34%
,,,,,,,,,,24.09.06(금),"₩ 17,580",-7.7%,-0.91%,,"₩ 763,448",43,43,"₩ 755,940",819,"₩ 13,642,080","₩ 14,398,020","₩ 13,427,750","₩ 27,825,770",48.26%,11.01%
,,,,,,,,,,24.09.13(금),"₩ 18,785",6.9%,-3.92%,,"-₩ 658,259",-35,-35,"-₩ 657,475",784,"₩ 15,384,915","₩ 14,727,440","₩ 14,085,225","₩ 28,812,665",48.89%,7.85%
,,,,,,,,,,24.09.20(금),"₩ 19,495",3.8%,-5.50%,,"-₩ 371,279",-19,-19,"-₩ 370,405",765,"₩ 15,284,080","₩ 14,913,675","₩ 14,455,630","₩ 29,369,305",49.22%,6.07%
,,,,,,,,,,24.09.27(금),"₩ 19,690",1.0%,-5.61%,,"-₩ 99,500",-5,-5,"-₩ 98,450",760,"₩ 15,062,850","₩ 14,964,400","₩ 14,554,080","₩ 29,518,480",49.30%,5.59%
,,,,,,,,,,24.10.04(금),"₩ 19,585",-0.5%,-5.31%,,"₩ 53,227",2,2,"₩ 39,170",762,"₩ 14,884,600","₩ 14,923,770","₩ 14,514,910","₩ 29,438,680",49.31%,5.85%
,,,,,,,,,,24.10.11(금),"₩ 20,985",7.1%,-8.05%,,"-₩ 640,080",-30,-30,"-₩ 629,550",732,"₩ 15,990,570","₩ 15,361,020","₩ 15,144,460","₩ 30,505,480",49.65%,2.44%
,,,,,,,,,,24.10.18(금),"₩ 21,630",3.1%,-9.13%,,"-₩ 283,284",-13,-13,"-₩ 281,190",719,"₩ 15,833,160","₩ 15,551,970","₩ 15,425,650","₩ 30,977,620",49.80%,0.93%
,,,,,,,,,,24.10.25(금),"₩ 22,235",2.8%,-10.10%,,"-₩ 260,997",-11,-11,"-₩ 244,585",708,"₩ 15,986,965","₩ 15,742,380","₩ 15,670,235","₩ 31,412,615",49.89%,0.00%
,,,,,,,,,,24.11.01(금),"₩ 21,300",-4.2%,-7.73%,,"₩ 794,376",37,37,"₩ 788,100",745,"₩ 15,080,400","₩ 15,868,500","₩ 14,882,135","₩ 30,750,635",48.40%,2.11%
,,,,,,,,,,24.11.08(금),"₩ 24,085",13.1%,-12.80%,,"-₩ 1,244,895",-51,-51,"-₩ 1,228,335",694,"₩ 17,943,325","₩ 16,714,990","₩ 16,110,470","₩ 32,825,460",49.08%,0.00%
,,,,,,,,,,24.11.15(금),"₩ 23,595",-2.0%,-11.61%,,"₩ 408,072",17,17,"₩ 401,115",711,"₩ 16,374,930","₩ 16,776,045","₩ 15,709,355","₩ 32,485,400",48.36%,1.04%
,,,,,,,,,,24.11.22(금),"₩ 23,660",0.3%,-11.43%,,"-₩ 27,729",-1,-1,"-₩ 23,660",710,"₩ 16,822,260","₩ 16,798,600","₩ 15,733,015","₩ 32,531,615",48.36%,0.90%
,,,,,,,,,,24.11.29(금),"₩ 23,620",-0.2%,-11.13%,,"₩ 34,080",1,1,"₩ 23,620",711,"₩ 16,770,200","₩ 16,793,820","₩ 15,709,395","₩ 32,503,215",48.33%,0.98%
,,,,,,,,,,24.12.06(금),"₩ 25,960",9.9%,-14.66%,,"-₩ 998,244",-38,-38,"-₩ 986,480",673,"₩ 18,457,560","₩ 17,471,080","₩ 16,695,875","₩ 34,166,955",48.87%,0.00%
,,,,,,,,,,24.12.13(금),"₩ 27,105",4.4%,-16.15%,,"-₩ 462,351",-17,-17,"-₩ 460,785",656,"₩ 18,241,665","₩ 17,780,880","₩ 17,156,660","₩ 34,937,540",49.11%,0.00%
,,,,,,,,,,24.12.20(금),"₩ 25,990",-4.1%,-14.05%,,"₩ 877,728",33,33,"₩ 857,670",689,"₩ 17,049,440","₩ 17,907,110","₩ 16,298,990","₩ 34,206,100",47.65%,2.09%
,,,,,,,,,,24.12.27(금),"₩ 28,320",9.0%,-17.30%,,"-₩ 963,222",-34,-34,"-₩ 962,880",655,"₩ 19,512,480","₩ 18,549,600","₩ 17,261,870","₩ 35,811,470",48.20%,0.00%
,,,,,,,,,,25.01.03(금),"₩ 26,600",-6.1%,-14.29%,,"₩ 1,351,920",50,50,"₩ 1,330,000",705,"₩ 17,423,000","₩ 18,753,000","₩ 15,931,870","₩ 34,684,870",45.93%,3.15%
,,,,,,,,,,25.01.10(금),"₩ 26,560",-0.2%,-13.88%,,"₩ 33,840",1,1,"₩ 26,560",706,"₩ 18,724,800","₩ 18,751,360","₩ 15,905,310","₩ 34,656,670",45.89%,3.22%
,,,,,,,,,,25.01.17(금),"₩ 26,405",-0.6%,-13.25%,,"₩ 131,316",4,4,"₩ 105,620",710,"₩ 18,641,930","₩ 18,747,550","₩ 15,799,690","₩ 34,547,240",45.73%,3.53%
,,,,,,,,,,25.01.24(금),"₩ 27,240",3.2%,-14.06%,,"-₩ 355,710",-13,-13,"-₩ 354,120",697,"₩ 19,340,400","₩ 18,986,280","₩ 16,153,810","₩ 35,140,090",45.97%,1.87%
,,,,,,,,,,25.01.31(금),"₩ 27,450",0.8%,-13.97%,,"-₩ 87,822",-3,-3,"-₩ 82,350",694,"₩ 19,132,650","₩ 19,050,300","₩ 16,236,160","₩ 35,286,460",46.01%,1.47%
,,,,,,,,,,25.02.07(금),"₩ 27,430",-0.1%,-13.61%,,"₩ 16,656",0,0,₩ 0,694,"₩ 19,036,420","₩ 19,036,420","₩ 16,236,160","₩ 35,272,580",46.03%,1.50%
,,,,,,,,,,25.02.14(금),"₩ 28,025",2.2%,-14.07%,,"-₩ 247,758",-8,-8,"-₩ 224,200",686,"₩ 19,449,350","₩ 19,225,150","₩ 16,460,360","₩ 35,685,510",46.13%,0.35%
,,,,,,,,,,25.02.21(금),"₩ 27,760",-0.9%,-13.24%,,"₩ 218,148",7,7,"₩ 194,320",693,"₩ 19,043,360","₩ 19,237,680","₩ 16,266,040","₩ 35,503,720",45.82%,0.86%
,,,,,,,,,,25.02.28(금),"₩ 24,935",-10.2%,-8.54%,,"₩ 2,349,270",94,94,"₩ 2,343,890",787,"₩ 17,279,955","₩ 19,623,845","₩ 13,922,150","₩ 33,545,995",41.50%,6.33%
,,,,,,,,,,25.03.07(금),"₩ 23,295",-6.6%,-5.18%,,"₩ 860,884",36,36,"₩ 838,620",823,"₩ 18,333,165","₩ 19,171,785","₩ 13,083,530","₩ 32,255,315",40.56%,9.93%
,,,,,,,,,,25.03.14(금),"₩ 21,750",-6.6%,-1.93%,,"₩ 848,114",38,38,"₩ 826,500",861,"₩ 17,900,250","₩ 18,726,750","₩ 12,257,030","₩ 30,983,780",39.56%,13.48%
,,,,,,,,,,25.03.21(금),"₩ 22,690",4.3%,-3.76%,,"-₩ 539,830",-23,-23,"-₩ 521,870",838,"₩ 19,536,090","₩ 19,014,220","₩ 12,778,900","₩ 31,793,120",40.19%,11.22%
,,,,,,,,,,25.03.28(금),"₩ 22,980",1.3%,-4.52%,,"-₩ 162,094",-7,-7,"-₩ 160,860",831,"₩ 19,257,240","₩ 19,096,380","₩ 12,939,760","₩ 32,036,140",40.39%,10.54%
,,,,,,,,,,25.04.04(금),"₩ 19,080",-17.0%,4.67%,,"₩ 2,161,680",113,113,"₩ 2,156,040",944,"₩ 15,855,480","₩ 18,011,520","₩ 10,783,720","₩ 28,795,240",37.45%,19.59%
,,,,,,,,,,25.04.11(금),"₩ 19,440",1.9%,2.96%,,"-₩ 226,673",-11,-11,"-₩ 213,840",933,"₩ 18,351,360","₩ 18,137,520","₩ 10,997,560","₩ 29,135,080",37.75%,18.64%
,,,,,,,,,,25.04.18(금),"₩ 18,220",-6.3%,6.59%,,"₩ 759,219",41,41,"₩ 747,020",974,"₩ 16,999,260","₩ 17,746,280","₩ 10,250,540","₩ 27,996,820",36.61%,21.82%
,,,,,,,,,,25.04.25(금),"₩ 20,505",12.5%,0.54%,,"-₩ 1,484,469",-72,-72,"-₩ 1,476,360",902,"₩ 19,971,870","₩ 18,495,510","₩ 11,726,900","₩ 30,222,410",38.80%,15.61%
,,,,,,,,,,25.05.02(금),"₩ 20,705",1.0%,0.63%,,"-₩ 120,327",-5,-5,"-₩ 103,525",897,"₩ 18,675,910","₩ 18,572,385","₩ 11,830,425","₩ 30,402,810",38.91%,15.10%
,,,,,,,,,,25.05.09(금),"₩ 21,225",2.5%,-0.06%,,"-₩ 311,115",-14,-14,"-₩ 297,150",883,"₩ 19,038,825","₩ 18,741,675","₩ 12,127,575","₩ 30,869,250",39.29%,13.80%
,,,,,,,,,,25.05.16(금),"₩ 23,415",10.3%,-4.72%,,"-₩ 1,289,825",-55,-55,"-₩ 1,287,825",828,"₩ 20,675,445","₩ 19,387,620","₩ 13,415,400","₩ 32,803,020",40.90%,8.40%
,,,,,,,,,,25.05.23(금),"₩ 22,445",-4.1%,-2.28%,,"₩ 535,708",23,23,"₩ 516,235",851,"₩ 18,584,460","₩ 19,100,695","₩ 12,899,165","₩ 31,999,860",40.31%,10.64%
,,,,,,,,,,25.05.30(금),"₩ 23,135",3.1%,-3.53%,,"-₩ 391,656",-16,-16,"-₩ 370,160",835,"₩ 19,687,885","₩ 19,317,725","₩ 13,269,325","₩ 32,587,050",40.72%,9.00%
,,,,,,,,,,25.06.05(목),"₩ 23,225",0.4%,-3.48%,,"-₩ 50,125",-2,-2,"-₩ 46,450",833,"₩ 19,392,875","₩ 19,346,425","₩ 13,315,775","₩ 32,662,200",40.77%,8.79%
,,,,,,,,,,25.06.13(금),"₩ 23,265",0.2%,-3.17%,,"-₩ 22,224",0,0,₩ 0,833,"₩ 19,379,745","₩ 19,379,745","₩ 13,315,775","₩ 32,695,520",40.73%,8.70%
,,,,,,,,,,25.06.20(금),"₩ 23,430",0.7%,-3.43%,,"-₩ 91,676",-3,-3,"-₩ 70,290",830,"₩ 19,517,190","₩ 19,446,900","₩ 13,386,065","₩ 32,832,965",40.77%,8.32%
,,,,,,,,,,25.06.27(금),"₩ 24,810",5.9%,-5.85%,,"-₩ 763,982",-30,-30,"-₩ 744,300",800,"₩ 20,592,300","₩ 19,848,000","₩ 14,130,365","₩ 33,978,365",41.59%,5.12%
,,,,,,,,,,25.07.04(금),"₩ 25,605",3.2%,-6.97%,,"-₩ 381,600",-14,-14,"-₩ 358,470",786,"₩ 20,484,000","₩ 20,125,530","₩ 14,488,835","₩ 34,614,365",41.86%,3.34%
,,,,,,,,,,25.07.11(금),"₩ 26,070",1.8%,-7.50%,,"-₩ 219,294",-8,-8,"-₩ 208,560",778,"₩ 20,491,020","₩ 20,282,460","₩ 14,697,395","₩ 34,979,855",42.02%,2.32%
,,,,,,,,,,25.07.18(금),"₩ 27,485",5.4%,-9.59%,,"-₩ 660,522",-24,-24,"-₩ 659,640",754,"₩ 21,383,330","₩ 20,723,690","₩ 15,357,035","₩ 36,080,725",42.56%,0.00%
,,,,,,,,,,25.07.25(금),"₩ 27,160",-1.2%,-8.72%,,"₩ 294,060",10,10,"₩ 271,600",764,"₩ 20,478,640","₩ 20,750,240","₩ 15,085,435","₩ 35,835,675",42.10%,0.68%
,,,,,,,,,,25.08.01(금),"₩ 27,785",2.3%,-9.16%,,"-₩ 286,500",-10,-10,"-₩ 277,850",754,"₩ 21,227,740","₩ 20,949,890","₩ 15,363,285","₩ 36,313,175",42.31%,0.00%
,,,,,,,,,,25.08.08(금),"₩ 27,970",0.7%,-9.13%,,"-₩ 83,694",-2,-2,"-₩ 55,940",752,"₩ 21,089,380","₩ 21,033,440","₩ 15,419,225","₩ 36,452,665",42.30%,0.00%
,,,,,,,,,,25.08.14(목),"₩ 28,600",2.3%,-9.67%,,"-₩ 284,256",-9,-9,"-₩ 257,400",743,"₩ 21,507,200","₩ 21,249,800","₩ 15,676,625","₩ 36,926,425",42.45%,0.00%
,,,,,,,,,,25.08.22(금),"₩ 27,250",-4.7%,-7.13%,,"₩ 1,203,660",44,44,"₩ 1,199,000",787,"₩ 20,246,750","₩ 21,445,750","₩ 14,477,625","₩ 35,923,375",40.30%,2.72%
,,,,,,,,,,25.08.29(금),"₩ 28,485",4.5%,-8.74%,,"-₩ 583,167",-20,-20,"-₩ 569,700",767,"₩ 22,417,695","₩ 21,847,995","₩ 15,047,325","₩ 36,895,320",40.78%,0.08%
,,,,,,,,,,25.09.05(금),"₩ 28,645",0.6%,-8.62%,,"-₩ 73,632",-2,-2,"-₩ 57,290",765,"₩ 21,970,715","₩ 21,913,425","₩ 15,104,615","₩ 37,018,040",40.80%,0.00%
,,,,,,,,,,25.09.12(금),"₩ 29,180",1.9%,-9.04%,,"-₩ 245,565",-8,-8,"-₩ 233,440",757,"₩ 22,322,700","₩ 22,089,260","₩ 15,338,055","₩ 37,427,315",40.98%,0.00%
,,,,,,,,,,25.09.19(금),"₩ 30,485",4.5%,-10.62%,,"-₩ 592,731",-19,-19,"-₩ 579,215",738,"₩ 23,077,145","₩ 22,497,930","₩ 15,917,270","₩ 38,415,200",41.43%,0.00%
,,,,,,,,,,25.09.26(금),"₩ 31,265",2.6%,-11.28%,,"-₩ 345,384",-11,-11,"-₩ 343,915",727,"₩ 23,073,570","₩ 22,729,655","₩ 16,261,185","₩ 38,990,840",41.71%,0.00%
,,,,,,,,,,25.10.02(목),"₩ 31,780",1.6%,-11.62%,,"-₩ 224,643",-7,-7,"-₩ 222,460",720,"₩ 23,104,060","₩ 22,881,600","₩ 16,483,645","₩ 39,365,245",41.87%,0.00%
,,,,,,,,,,25.10.10(금),"₩ 33,395",5.1%,-13.39%,,"-₩ 697,680",-20,-20,"-₩ 667,900",700,"₩ 24,044,400","₩ 23,376,500","₩ 17,151,545","₩ 40,528,045",42.32%,0.00%
,,,,,,,,,,25.10.17(금),"₩ 31,650",-5.2%,-10.57%,,"₩ 1,465,800",46,46,"₩ 1,455,900",746,"₩ 22,155,000","₩ 23,610,900","₩ 15,695,645","₩ 39,306,545",39.93%,3.01%
,,,,,,,,,,25.10.24(금),"₩ 34,340",8.5%,-13.73%,,"-₩ 1,204,044",-35,-35,"-₩ 1,201,900",711,"₩ 25,617,640","₩ 24,415,740","₩ 16,897,545","₩ 41,313,285",40.90%,0.00%
,,,,,,,,,,25.10.31(금),"₩ 36,005",4.8%,-15.12%,,"-₩ 710,289",-19,-19,"-₩ 684,095",692,"₩ 25,599,555","₩ 24,915,460","₩ 17,581,640","₩ 42,497,100",41.37%,0.00%
,,,,,,,,,,25.11.07(금),"₩ 35,250",-2.1%,-13.81%,,"₩ 626,952",17,17,"₩ 599,250",709,"₩ 24,393,000","₩ 24,992,250","₩ 16,982,390","₩ 41,974,640",40.46%,1.23%
,,,,,,,,,,25.11.14(금),"₩ 34,465",-2.2%,-12.51%,,"₩ 667,878",19,19,"₩ 654,835",728,"₩ 24,435,685","₩ 25,090,520","₩ 16,327,555","₩ 41,418,075",39.42%,2.54%
,,,,,,,,,,25.11.21(금),"₩ 32,755",-5.0%,-9.90%,,"₩ 1,493,856",45,45,"₩ 1,473,975",773,"₩ 23,845,640","₩ 25,319,615","₩ 14,853,580","₩ 40,173,195",36.97%,5.47%
,,,,,,,,,,25.11.28(금),"₩ 35,995",9.9%,-13.54%,,"-₩ 1,502,712",-41,-41,"-₩ 1,475,795",732,"₩ 27,824,135","₩ 26,348,340","₩ 16,329,375","₩ 42,677,715",38.26%,0.00%
,,,,,,,,,,25.12.05(금),"₩ 36,910",2.5%,-14.23%,,"-₩ 401,868",-10,-10,"-₩ 369,100",722,"₩ 27,018,120","₩ 26,649,020","₩ 16,698,475","₩ 43,347,495",38.52%,0.00%
,,,,,,,,,,25.12.12(금),"₩ 37,115",0.6%,0.00%,,"-₩ 98,723",-2,-2,"-₩ 74,230",720,"₩ 26,797,030","₩ 26,722,800","₩ 16,772,705","₩ 43,495,505",38.56%,0.00%
,,,,,,,,,,25.12.19(금),"₩ 35,350",-4.8%,0.00%,,"₩ 847,624",23,23,"₩ 813,050",743,"₩ 25,452,000","₩ 26,265,050","₩ 15,959,655","₩ 42,224,705",37.80%,2.92%
,,,,,,,,,,25.12.26(금),"₩ 35,355",0.0%,0.00%,,"-₩ 2,478",0,0,₩ 0,743,"₩ 26,268,765","₩ 26,268,765","₩ 15,959,655","₩ 42,228,420",37.79%,2.91%
,,,,,,,,,,26.01.02(금),"₩ 34,415",-2.7%,0.00%,,"₩ 465,846",13,13,"₩ 447,395",756,"₩ 25,570,345","₩ 26,017,740","₩ 15,512,260","₩ 41,530,000",37.35%,4.52%
,,,,,,,,,,26.01.09(금),"₩ 35,310",2.6%,0.00%,,"-₩ 451,306",-12,-12,"-₩ 423,720",744,"₩ 26,694,360","₩ 26,270,640","₩ 15,935,980","₩ 42,206,620",37.76%,2.96%
,,,,,,,,,,26.01.16(금),"₩ 36,365",3.0%,0.00%,,"-₩ 523,542",-14,-14,"-₩ 509,110",730,"₩ 27,055,560","₩ 26,546,450","₩ 16,445,090","₩ 42,991,540",38.25%,1.16%
,,,,,,,,,,26.01.23(금),"₩ 35,690",-1.9%,0.00%,,"₩ 328,664",9,9,"₩ 321,210",739,"₩ 26,053,700","₩ 26,374,910","₩ 16,123,880","₩ 42,498,790",37.94%,2.29%
,,,,,,,,,,26.01.30(금),"₩ 34,755",-2.6%,0.00%,,"₩ 460,874",13,13,"₩ 451,815",752,"₩ 25,683,945","₩ 26,135,760","₩ 15,672,065","₩ 41,807,825",37.49%,3.88%
,,,,,,,,,,26.02.06(금),"₩ 32,820",-5.6%,0.00%,,"₩ 970,565",29,29,"₩ 951,780",781,"₩ 24,680,640","₩ 25,632,420","₩ 14,720,285","₩ 40,352,705",36.48%,7.23%
,,,,,,,,,,26.02.13(금),"₩ 32,075",-2.3%,0.00%,,"₩ 388,091",12,12,"₩ 384,900",793,"₩ 25,050,575","₩ 25,435,475","₩ 14,335,385","₩ 39,770,860",36.04%,8.56%
,,,,,,,,,,26.02.20(금),"₩ 32,790",2.2%,0.00%,,"-₩ 378,186",-11,-11,"-₩ 360,690",782,"₩ 26,002,470","₩ 25,641,780","₩ 14,696,075","₩ 40,337,855",36.43%,7.26%
,,,,,,,,,,26.02.27(금),,,,,,,,,,,,,,,
