,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIGER나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,시작일,22.03.08(화),,,,,,,22.08.12(금),"₩ 10,330",0.4%,11.63%,,"-₩ 55,080",-5,-5,"-₩ 51,650",1372,"₩ 14,224,410","₩ 14,172,760","₩ 7,606,030","₩ 21,778,790",34.92%,8.59%
,,투자 종목,TIGER나스닥레버리지,,,,,,,22.08.19(금),"₩ 10,875",5.3%,9.12%,,"-₩ 747,740",-68,-68,"-₩ 739,500",1304,"₩ 14,920,500","₩ 14,181,000","₩ 8,345,530","₩ 22,526,530",37.05%,5.45%
,,장기추세선,TIGER미국나스닥100,,,,,,,22.08.26(금),"₩ 10,405",-4.3%,11.79%,,"₩ 408,791",39,39,"₩ 405,795",1343,"₩ 13,568,120","₩ 13,973,915","₩ 7,939,735","₩ 21,913,650",36.23%,8.02%
,,추세선기간(주),260,,,,,,,22.09.02(금),"₩ 9,515",-8.6%,16.88%,,"₩ 797,245",83,83,"₩ 789,745",1426,"₩ 12,778,645","₩ 13,568,390","₩ 7,149,990","₩ 20,718,380",34.51%,13.04%
,,,,,,,,,,22.09.08(목),"₩ 9,835",3.4%,15.29%,,"-₩ 456,320",-46,-46,"-₩ 452,410",1380,"₩ 14,024,710","₩ 13,572,300","₩ 7,602,400","₩ 21,174,700",35.90%,11.12%
,,,,,,,,,,22.09.16(금),"₩ 9,140",-7.1%,18.78%,,"₩ 639,720",69,69,"₩ 630,660",1449,"₩ 12,613,200","₩ 13,243,860","₩ 6,971,740","₩ 20,215,600",34.49%,15.15%
,,,,,,,,,,22.09.23(금),"₩ 8,840",-3.3%,21.61%,,"₩ 289,945",32,32,"₩ 282,880",1481,"₩ 12,809,160","₩ 13,092,040","₩ 6,688,860","₩ 19,780,900",33.81%,16.97%
,,,,,,,,,,22.09.30(금),"₩ 8,675",-1.9%,22.85%,,"₩ 162,991",18,18,"₩ 156,150",1499,"₩ 12,847,675","₩ 13,003,825","₩ 6,532,710","₩ 19,536,535",33.44%,18.00%
,,,,,,,,,,22.10.07(금),"₩ 8,750",0.9%,22.40%,,"-₩ 112,425",-12,-12,"-₩ 105,000",1487,"₩ 13,116,250","₩ 13,011,250","₩ 6,637,710","₩ 19,648,960",33.78%,17.53%
,,,,,,,,,,22.10.14(금),"₩ 8,450",-3.4%,24.70%,,"₩ 297,549",35,35,"₩ 295,750",1522,"₩ 12,565,150","₩ 12,860,900","₩ 6,341,960","₩ 19,202,860",33.03%,19.40%
,,,,,,,,,,22.10.21(금),"₩ 8,360",-1.1%,25.27%,,"₩ 91,366",10,10,"₩ 83,600",1532,"₩ 12,723,920","₩ 12,807,520","₩ 6,258,360","₩ 19,065,880",32.82%,19.97%
,,,,,,,,,,22.10.28(금),"₩ 8,265",-1.1%,25.98%,,"₩ 97,075",11,11,"₩ 90,915",1543,"₩ 12,661,980","₩ 12,752,895","₩ 6,167,445","₩ 18,920,340",32.60%,20.59%
,,,,,,,,,,22.11.04(금),"₩ 7,745",-6.3%,29.51%,,"₩ 535,174",69,69,"₩ 534,405",1612,"₩ 11,950,535","₩ 12,484,940","₩ 5,633,040","₩ 18,117,980",31.09%,23.95%
,,,,,,,,,,22.11.11(금),"₩ 7,835",1.2%,28.70%,,"-₩ 145,080",-18,-18,"-₩ 141,030",1594,"₩ 12,630,020","₩ 12,488,990","₩ 5,774,070","₩ 18,263,060",31.62%,23.34%
,,,,,,,,,,22.11.18(금),"₩ 8,030",2.5%,26.91%,,"-₩ 310,830",-38,-38,"-₩ 305,140",1556,"₩ 12,799,820","₩ 12,494,680","₩ 6,079,210","₩ 18,573,890",32.73%,22.04%
,,,,,,,,,,22.11.25(금),"₩ 8,095",0.8%,26.25%,,"-₩ 101,140",-12,-12,"-₩ 97,140",1544,"₩ 12,595,820","₩ 12,498,680","₩ 6,176,350","₩ 18,675,030",33.07%,21.61%
,,,,,,,,,,22.12.02(금),"₩ 7,945",-1.9%,27.27%,,"₩ 154,477",19,19,"₩ 150,955",1563,"₩ 12,267,080","₩ 12,418,035","₩ 6,025,395","₩ 18,443,430",32.67%,22.59%
,,,,,,,,,,22.12.09(금),"₩ 7,515",-5.4%,30.91%,,"₩ 448,284",59,59,"₩ 443,385",1622,"₩ 11,745,945","₩ 12,189,330","₩ 5,582,010","₩ 17,771,340",31.41%,25.41%
,,,,,,,,,,22.12.16(금),"₩ 7,115",-5.3%,34.03%,,"₩ 432,750",60,60,"₩ 426,900",1682,"₩ 11,540,530","₩ 11,967,430","₩ 5,155,110","₩ 17,122,540",30.11%,28.13%
