,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIMEFOLIO나스닥액티브,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,24.07.05(금),"₩ 21,555",2.1%,-14.16%,,"-₩ 216,804",-10,-10,"-₩ 215,550",802,"₩ 17,502,660","₩ 17,287,110","₩ 15,032,410","₩ 32,319,520",46.51%,0.00%
,,,,,,,,,,24.07.12(금),"₩ 21,520",-0.2%,-13.68%,,"₩ 33,684",1,1,"₩ 21,520",803,"₩ 17,259,040","₩ 17,280,560","₩ 15,010,890","₩ 32,291,450",46.49%,0.09%
,,,,,,,,,,24.07.19(금),"₩ 21,075",-2.1%,-11.89%,,"₩ 428,802",20,20,"₩ 421,500",823,"₩ 16,923,225","₩ 17,344,725","₩ 14,589,390","₩ 31,934,115",45.69%,1.19%
,,,,,,,,,,24.07.26(금),"₩ 20,030",-5.0%,-7.45%,,"₩ 1,032,042",51,51,"₩ 1,021,530",874,"₩ 16,484,690","₩ 17,506,220","₩ 13,567,860","₩ 31,074,080",43.66%,3.85%
,,,,,,,,,,24.08.02(금),"₩ 19,230",-4.0%,-4.28%,,"₩ 466,366",24,24,"₩ 461,520",898,"₩ 16,807,020","₩ 17,268,540","₩ 13,106,340","₩ 30,374,880",43.15%,6.02%
,,,,,,,,,,24.08.09(금),"₩ 18,755",-2.5%,-2.73%,,"₩ 284,509",15,15,"₩ 281,325",913,"₩ 16,841,990","₩ 17,123,315","₩ 12,825,015","₩ 29,948,330",42.82%,7.34%
,,,,,,,,,,24.08.16(금),"₩ 20,035",6.8%,-7.72%,,"-₩ 701,184",-34,-34,"-₩ 681,190",879,"₩ 18,291,955","₩ 17,610,765","₩ 13,506,205","₩ 31,116,970",43.40%,3.72%
,,,,,,,,,,24.08.23(금),"₩ 19,735",-1.5%,-6.21%,,"₩ 316,440",16,16,"₩ 315,760",895,"₩ 17,347,065","₩ 17,662,825","₩ 13,190,445","₩ 30,853,270",42.75%,4.54%
,,,,,,,,,,24.08.30(금),"₩ 19,345",-2.0%,-4.85%,,"₩ 232,816",12,12,"₩ 232,140",907,"₩ 17,313,775","₩ 17,545,915","₩ 12,958,305","₩ 30,504,220",42.48%,5.62%
,,,,,,,,,,24.09.06(금),"₩ 18,460",-4.6%,-0.91%,,"₩ 535,398",29,29,"₩ 535,340",936,"₩ 16,743,220","₩ 17,278,560","₩ 12,422,965","₩ 29,701,525",41.83%,8.10%
,,,,,,,,,,24.09.13(금),"₩ 19,435",5.3%,-3.92%,,"-₩ 608,704",-31,-31,"-₩ 602,485",905,"₩ 18,191,160","₩ 17,588,675","₩ 13,025,450","₩ 30,614,125",42.55%,5.28%
,,,,,,,,,,24.09.20(금),"₩ 19,900",2.4%,-5.50%,,"-₩ 280,690",-14,-14,"-₩ 278,600",891,"₩ 18,009,500","₩ 17,730,900","₩ 13,304,050","₩ 31,034,950",42.87%,3.97%
,,,,,,,,,,24.09.27(금),"₩ 20,245",1.7%,-5.61%,,"-₩ 205,032",-10,-10,"-₩ 202,450",881,"₩ 18,038,295","₩ 17,835,845","₩ 13,506,500","₩ 31,342,345",43.09%,3.02%
,,,,,,,,,,24.10.04(금),"₩ 20,125",-0.6%,-5.31%,,"₩ 70,515",3,3,"₩ 60,375",884,"₩ 17,730,125","₩ 17,790,500","₩ 13,446,125","₩ 31,236,625",43.05%,3.35%
,,,,,,,,,,24.10.11(금),"₩ 20,850",3.6%,-8.05%,,"-₩ 384,540",-18,-18,"-₩ 375,300",866,"₩ 18,431,400","₩ 18,056,100","₩ 13,821,425","₩ 31,877,525",43.36%,1.37%
,,,,,,,,,,24.10.18(금),"₩ 21,500",3.1%,-9.13%,,"-₩ 337,740",-15,-15,"-₩ 322,500",851,"₩ 18,619,000","₩ 18,296,500","₩ 14,143,925","₩ 32,440,425",43.60%,0.00%
,,,,,,,,,,24.10.25(금),"₩ 22,370",4.0%,-10.10%,,"-₩ 444,222",-19,-19,"-₩ 425,030",832,"₩ 19,036,870","₩ 18,611,840","₩ 14,568,955","₩ 33,180,795",43.91%,0.00%
,,,,,,,,,,24.11.01(금),"₩ 21,795",-2.6%,-7.73%,,"₩ 574,080",26,26,"₩ 566,670",858,"₩ 18,133,440","₩ 18,700,110","₩ 14,002,285","₩ 32,702,395",42.82%,1.44%
,,,,,,,,,,24.11.08(금),"₩ 23,720",8.8%,-12.80%,,"-₩ 990,990",-41,-41,"-₩ 972,520",817,"₩ 20,351,760","₩ 19,379,240","₩ 14,974,805","₩ 34,354,045",43.59%,0.00%
,,,,,,,,,,24.11.15(금),"₩ 24,170",1.9%,-11.61%,,"-₩ 220,590",-9,-9,"-₩ 217,530",808,"₩ 19,746,890","₩ 19,529,360","₩ 15,192,335","₩ 34,721,695",43.75%,0.00%
,,,,,,,,,,24.11.22(금),"₩ 25,390",5.0%,-11.43%,,"-₩ 591,456",-23,-23,"-₩ 583,970",785,"₩ 20,515,120","₩ 19,931,150","₩ 15,776,305","₩ 35,707,455",44.18%,0.00%
,,,,,,,,,,24.11.29(금),"₩ 25,115",-1.1%,-11.13%,,"₩ 259,050",10,10,"₩ 251,150",795,"₩ 19,715,275","₩ 19,966,425","₩ 15,525,155","₩ 35,491,580",43.74%,0.60%
,,,,,,,,,,24.12.06(금),"₩ 26,780",6.6%,-14.66%,,"-₩ 794,205",-29,-29,"-₩ 776,620",766,"₩ 21,290,100","₩ 20,513,480","₩ 16,301,775","₩ 36,815,255",44.28%,0.00%
,,,,,,,,,,24.12.13(금),"₩ 27,460",2.5%,-16.15%,,"-₩ 312,528",-11,-11,"-₩ 302,060",755,"₩ 21,034,360","₩ 20,732,300","₩ 16,603,835","₩ 37,336,135",44.47%,0.00%
,,,,,,,,,,24.12.20(금),"₩ 26,525",-3.4%,-14.05%,,"₩ 847,110",31,31,"₩ 822,275",786,"₩ 20,026,375","₩ 20,848,650","₩ 15,781,560","₩ 36,630,210",43.08%,1.89%
,,,,,,,,,,24.12.27(금),"₩ 27,960",5.4%,-17.30%,,"-₩ 676,746",-24,-24,"-₩ 671,040",762,"₩ 21,976,560","₩ 21,305,520","₩ 16,452,600","₩ 37,758,120",43.57%,0.00%
,,,,,,,,,,25.01.03(금),"₩ 26,495",-5.2%,-14.29%,,"₩ 1,339,596",50,50,"₩ 1,324,750",812,"₩ 20,189,190","₩ 21,513,940","₩ 15,127,850","₩ 36,641,790",41.29%,2.96%
,,,,,,,,,,25.01.10(금),"₩ 26,730",0.9%,-13.88%,,"-₩ 114,492",-4,-4,"-₩ 106,920",808,"₩ 21,704,760","₩ 21,597,840","₩ 15,234,770","₩ 36,832,610",41.36%,2.45%
,,,,,,,,,,25.01.17(금),"₩ 27,125",1.5%,-13.25%,,"-₩ 191,496",-7,-7,"-₩ 189,875",801,"₩ 21,917,000","₩ 21,727,125","₩ 15,424,645","₩ 37,151,770",41.52%,1.61%
,,,,,,,,,,25.01.24(금),"₩ 27,935",3.0%,-14.06%,,"-₩ 389,286",-13,-13,"-₩ 363,155",788,"₩ 22,375,935","₩ 22,012,780","₩ 15,787,800","₩ 37,800,580",41.77%,0.00%
,,,,,,,,,,25.01.31(금),"₩ 27,775",-0.6%,-13.97%,,"₩ 151,296",5,5,"₩ 138,875",793,"₩ 21,886,700","₩ 22,025,575","₩ 15,648,925","₩ 37,674,500",41.54%,0.33%
,,,,,,,,,,25.02.07(금),"₩ 27,715",-0.2%,-13.61%,,"₩ 57,096",2,2,"₩ 55,430",795,"₩ 21,977,995","₩ 22,033,425","₩ 15,593,495","₩ 37,626,920",41.44%,0.46%
,,,,,,,,,,25.02.14(금),"₩ 27,890",0.6%,-14.07%,,"-₩ 83,475",-2,-2,"-₩ 55,780",793,"₩ 22,172,550","₩ 22,116,770","₩ 15,649,275","₩ 37,766,045",41.44%,0.09%
,,,,,,,,,,25.02.21(금),"₩ 26,950",-3.4%,-13.24%,,"₩ 894,504",33,33,"₩ 889,350",826,"₩ 21,371,350","₩ 22,260,700","₩ 14,759,925","₩ 37,020,625",39.87%,2.06%
,,,,,,,,,,25.02.28(금),"₩ 24,380",-9.5%,-8.54%,,"₩ 2,547,384",104,104,"₩ 2,535,520",930,"₩ 20,137,880","₩ 22,673,400","₩ 12,224,405","₩ 34,897,805",35.03%,7.68%
,,,,,,,,,,25.03.07(금),"₩ 23,540",-3.4%,-5.18%,,"₩ 521,060",22,22,"₩ 517,880",952,"₩ 21,892,200","₩ 22,410,080","₩ 11,706,525","₩ 34,116,605",34.31%,9.75%
,,,,,,,,,,25.03.14(금),"₩ 22,425",-4.7%,-1.93%,,"₩ 708,007",31,31,"₩ 695,175",983,"₩ 21,348,600","₩ 22,043,775","₩ 11,011,350","₩ 33,055,125",33.31%,12.55%
,,,,,,,,,,25.03.21(금),"₩ 22,940",2.3%,-3.76%,,"-₩ 337,665",-14,-14,"-₩ 321,160",969,"₩ 22,550,020","₩ 22,228,860","₩ 11,332,510","₩ 33,561,370",33.77%,11.21%
,,,,,,,,,,25.03.28(금),"₩ 22,990",0.2%,-4.52%,,"-₩ 32,316",-1,-1,"-₩ 22,990",968,"₩ 22,277,310","₩ 22,254,320","₩ 11,355,500","₩ 33,609,820",33.79%,11.09%
,,,,,,,,,,25.04.04(금),"₩ 20,825",-9.4%,4.67%,,"₩ 1,397,845",67,67,"₩ 1,395,275",1035,"₩ 20,158,600","₩ 21,553,875","₩ 9,960,225","₩ 31,514,100",31.61%,16.63%
,,,,,,,,,,25.04.11(금),"₩ 20,905",0.4%,2.96%,,"-₩ 55,228",-2,-2,"-₩ 41,810",1033,"₩ 21,636,675","₩ 21,594,865","₩ 10,002,035","₩ 31,596,900",31.66%,16.41%
,,,,,,,,,,25.04.18(금),"₩ 20,360",-2.6%,6.59%,,"₩ 375,511",18,18,"₩ 366,480",1051,"₩ 21,031,880","₩ 21,398,360","₩ 9,635,555","₩ 31,033,915",31.05%,17.90%
,,,,,,,,,,25.04.25(금),"₩ 22,195",9.0%,0.54%,,"-₩ 1,286,366",-57,-57,"-₩ 1,265,115",994,"₩ 23,326,945","₩ 22,061,830","₩ 10,900,670","₩ 32,962,500",33.07%,12.80%
,,,,,,,,,,25.05.02(금),"₩ 22,410",1.0%,0.63%,,"-₩ 142,545",-6,-6,"-₩ 134,460",988,"₩ 22,275,540","₩ 22,141,080","₩ 11,035,130","₩ 33,176,210",33.26%,12.23%
,,,,,,,,,,25.05.09(금),"₩ 23,020",2.7%,-0.06%,,"-₩ 401,988",-17,-17,"-₩ 391,340",971,"₩ 22,743,760","₩ 22,352,420","₩ 11,426,470","₩ 33,778,890",33.83%,10.64%
,,,,,,,,,,25.05.16(금),"₩ 24,585",6.8%,-4.72%,,"-₩ 1,013,583",-41,-41,"-₩ 1,007,985",930,"₩ 23,872,035","₩ 22,864,050","₩ 12,434,455","₩ 35,298,505",35.23%,6.62%
,,,,,,,,,,25.05.23(금),"₩ 24,630",0.2%,-2.28%,,"-₩ 27,914",-1,-1,"-₩ 24,630",929,"₩ 22,905,900","₩ 22,881,270","₩ 12,459,085","₩ 35,340,355",35.25%,6.51%
,,,,,,,,,,25.05.30(금),"₩ 24,930",1.2%,-3.53%,,"-₩ 185,893",-7,-7,"-₩ 174,510",922,"₩ 23,159,970","₩ 22,985,460","₩ 12,633,595","₩ 35,619,055",35.47%,5.77%
,,,,,,,,,,25.06.05(목),"₩ 25,690",3.0%,-3.48%,,"-₩ 467,380",-18,-18,"-₩ 462,420",904,"₩ 23,686,180","₩ 23,223,760","₩ 13,096,015","₩ 36,319,775",36.06%,3.92%
,,,,,,,,,,25.06.13(금),"₩ 25,395",-1.1%,-3.17%,,"₩ 177,876",7,7,"₩ 177,765",911,"₩ 22,957,080","₩ 23,134,845","₩ 12,918,250","₩ 36,053,095",35.83%,4.62%
,,,,,,,,,,25.06.20(금),"₩ 27,905",9.9%,-3.43%,,"-₩ 1,525,169",-54,-54,"-₩ 1,506,870",857,"₩ 25,421,455","₩ 23,914,585","₩ 14,425,120","₩ 38,339,705",37.62%,0.00%
,,,,,,,,,,25.06.27(금),"₩ 29,635",6.2%,-5.85%,,"-₩ 988,901",-33,-33,"-₩ 977,955",824,"₩ 25,397,195","₩ 24,419,240","₩ 15,403,075","₩ 39,822,315",38.68%,0.00%
,,,,,,,,,,25.07.04(금),"₩ 29,405",-0.8%,-6.97%,,"₩ 227,424",7,7,"₩ 205,835",831,"₩ 24,229,720","₩ 24,435,555","₩ 15,197,240","₩ 39,632,795",38.35%,0.48%
,,,,,,,,,,25.07.11(금),"₩ 30,050",2.2%,-7.50%,,"-₩ 321,597",-10,-10,"-₩ 300,500",821,"₩ 24,971,550","₩ 24,671,050","₩ 15,497,740","₩ 40,168,790",38.58%,0.00%
,,,,,,,,,,25.07.18(금),"₩ 31,945",6.3%,-9.59%,,"-₩ 933,477",-29,-29,"-₩ 926,405",792,"₩ 26,226,845","₩ 25,300,440","₩ 16,424,145","₩ 41,724,585",39.36%,0.00%
,,,,,,,,,,25.07.25(금),"₩ 31,150",-2.5%,-8.72%,,"₩ 755,568",24,24,"₩ 747,600",816,"₩ 24,670,800","₩ 25,418,400","₩ 15,676,545","₩ 41,094,945",38.15%,1.51%
,,,,,,,,,,25.08.01(금),"₩ 31,660",1.6%,-9.16%,,"-₩ 249,696",-7,-7,"-₩ 221,620",809,"₩ 25,834,560","₩ 25,612,940","₩ 15,898,165","₩ 41,511,105",38.30%,0.51%
,,,,,,,,,,25.08.08(금),"₩ 32,000",1.1%,-9.13%,,"-₩ 165,036",-5,-5,"-₩ 160,000",804,"₩ 25,888,000","₩ 25,728,000","₩ 16,058,165","₩ 41,786,165",38.43%,0.00%
,,,,,,,,,,25.08.14(목),"₩ 32,340",1.1%,-9.67%,,"-₩ 164,016",-5,-5,"-₩ 161,700",799,"₩ 26,001,360","₩ 25,839,660","₩ 16,219,865","₩ 42,059,525",38.56%,0.00%
,,,,,,,,,,25.08.22(금),"₩ 30,680",-5.1%,-7.13%,,"₩ 1,591,608",51,51,"₩ 1,564,680",850,"₩ 24,513,320","₩ 26,078,000","₩ 14,655,185","₩ 40,733,185",35.98%,3.15%
,,,,,,,,,,25.08.29(금),"₩ 31,865",3.9%,-8.74%,,"-₩ 604,350",-18,-18,"-₩ 573,570",832,"₩ 27,085,250","₩ 26,511,680","₩ 15,228,755","₩ 41,740,435",36.48%,0.76%
,,,,,,,,,,25.09.05(금),"₩ 31,865",0.0%,-8.62%,,₩ 0,0,0,₩ 0,832,"₩ 26,511,680","₩ 26,511,680","₩ 15,228,755","₩ 41,740,435",36.48%,0.76%
,,,,,,,,,,25.09.12(금),"₩ 33,540",5.3%,-9.04%,,"-₩ 836,160",-24,-24,"-₩ 804,960",808,"₩ 27,905,280","₩ 27,100,320","₩ 16,033,715","₩ 43,134,035",37.17%,0.00%
,,,,,,,,,,25.09.19(금),"₩ 35,075",4.6%,-10.62%,,"-₩ 744,168",-21,-21,"-₩ 736,575",787,"₩ 28,340,600","₩ 27,604,025","₩ 16,770,290","₩ 44,374,315",37.79%,0.00%
,,,,,,,,,,25.09.26(금),"₩ 34,840",-0.7%,-11.28%,,"₩ 221,934",6,6,"₩ 209,040",793,"₩ 27,419,080","₩ 27,628,120","₩ 16,561,250","₩ 44,189,370",37.48%,0.42%
,,,,,,,,,,25.10.02(목),"₩ 36,060",3.5%,-11.62%,,"-₩ 580,476",-16,-16,"-₩ 576,960",777,"₩ 28,595,580","₩ 28,018,620","₩ 17,138,210","₩ 45,156,830",37.95%,0.00%
,,,,,,,,,,25.10.10(금),"₩ 37,335",3.5%,-13.39%,,"-₩ 594,405",-15,-15,"-₩ 560,025",762,"₩ 29,009,295","₩ 28,449,270","₩ 17,698,235","₩ 46,147,505",38.35%,0.00%
,,,,,,,,,,25.10.17(금),"₩ 35,885",-3.9%,-10.57%,,"₩ 1,325,880",36,36,"₩ 1,291,860",798,"₩ 27,344,370","₩ 28,636,230","₩ 16,406,375","₩ 45,042,605",36.42%,2.39%
,,,,,,,,,,25.10.24(금),"₩ 36,250",1.0%,-13.73%,,"-₩ 174,762",-4,-4,"-₩ 145,000",794,"₩ 28,927,500","₩ 28,782,500","₩ 16,551,375","₩ 45,333,875",36.51%,1.76%
,,,,,,,,,,25.10.31(금),"₩ 37,300",2.9%,-15.12%,,"-₩ 500,220",-13,-13,"-₩ 484,900",781,"₩ 29,616,200","₩ 29,131,300","₩ 17,036,275","₩ 46,167,575",36.90%,0.00%
,,,,,,,,,,25.11.07(금),"₩ 36,015",-3.4%,-13.81%,,"₩ 1,204,302",33,33,"₩ 1,188,495",814,"₩ 28,127,715","₩ 29,316,210","₩ 15,847,780","₩ 45,163,990",35.09%,2.17%
,,,,,,,,,,25.11.14(금),"₩ 34,280",-4.8%,-12.51%,,"₩ 1,694,748",49,49,"₩ 1,679,720",863,"₩ 27,903,920","₩ 29,583,640","₩ 14,168,060","₩ 43,751,700",32.38%,5.23%
,,,,,,,,,,25.11.21(금),"₩ 32,765",-4.4%,-9.90%,,"₩ 1,568,934",47,47,"₩ 1,539,955",910,"₩ 28,276,195","₩ 29,816,150","₩ 12,628,105","₩ 42,444,255",29.75%,8.06%
,,,,,,,,,,25.11.28(금),"₩ 35,310",7.8%,-13.54%,,"-₩ 1,389,570",-39,-39,"-₩ 1,377,090",871,"₩ 32,132,100","₩ 30,755,010","₩ 14,005,195","₩ 44,760,205",31.29%,3.05%
,,,,,,,,,,25.12.05(금),"₩ 35,940",1.8%,-14.23%,,"-₩ 329,238",-9,-9,"-₩ 323,460",862,"₩ 31,303,740","₩ 30,980,280","₩ 14,328,655","₩ 45,308,935",31.62%,1.86%
,,,,,,,,,,25.12.12(금),"₩ 36,260",0.9%,0.00%,,"-₩ 183,985",-5,-5,"-₩ 181,300",857,"₩ 31,256,120","₩ 31,074,820","₩ 14,509,955","₩ 45,584,775",31.83%,1.26%
,,,,,,,,,,25.12.19(금),"₩ 34,440",-5.0%,0.00%,,"₩ 1,040,347",30,30,"₩ 1,033,200",887,"₩ 29,515,080","₩ 30,548,280","₩ 13,476,755","₩ 44,025,035",30.61%,4.64%
,,,,,,,,,,25.12.26(금),"₩ 35,060",1.8%,0.00%,,"-₩ 366,810",-10,-10,"-₩ 350,600",877,"₩ 31,098,220","₩ 30,747,620","₩ 13,827,355","₩ 44,574,975",31.02%,3.45%
,,,,,,,,,,26.01.02(금),"₩ 34,255",-2.3%,0.00%,,"₩ 470,892",13,13,"₩ 445,315",890,"₩ 30,041,635","₩ 30,486,950","₩ 13,382,040","₩ 43,868,990",30.50%,4.98%
,,,,,,,,,,26.01.09(금),"₩ 35,855",4.7%,0.00%,,"-₩ 949,808",-26,-26,"-₩ 932,230",864,"₩ 31,910,950","₩ 30,978,720","₩ 14,314,270","₩ 45,292,990",31.60%,1.89%
,,,,,,,,,,26.01.16(금),"₩ 37,995",6.0%,0.00%,,"-₩ 1,233,256",-32,-32,"-₩ 1,215,840",832,"₩ 32,827,680","₩ 31,611,840","₩ 15,530,110","₩ 47,141,950",32.94%,0.00%
,,,,,,,,,,26.01.23(금),"₩ 37,635",-0.9%,0.00%,,"₩ 199,780",5,5,"₩ 188,175",837,"₩ 31,312,320","₩ 31,500,495","₩ 15,341,935","₩ 46,842,430",32.75%,0.64%
,,,,,,,,,,26.01.30(금),"₩ 37,920",0.8%,0.00%,,"-₩ 159,110",-4,-4,"-₩ 151,680",833,"₩ 31,739,040","₩ 31,587,360","₩ 15,493,615","₩ 47,080,975",32.91%,0.13%
,,,,,,,,,,26.02.06(금),"₩ 35,785",-5.6%,0.00%,,"₩ 1,186,229",33,33,"₩ 1,180,905",866,"₩ 29,808,905","₩ 30,989,810","₩ 14,312,710","₩ 45,302,520",31.59%,3.90%
,,,,,,,,,,26.02.13(금),"₩ 36,525",2.1%,0.00%,,"-₩ 427,440",-11,-11,"-₩ 401,775",855,"₩ 31,630,650","₩ 31,228,875","₩ 14,714,485","₩ 45,943,360",32.03%,2.54%
,,,,,,,,,,26.02.20(금),"₩ 37,225",1.9%,0.00%,,"-₩ 399,200",-10,-10,"-₩ 372,250",845,"₩ 31,827,375","₩ 31,455,125","₩ 15,086,735","₩ 46,541,860",32.42%,1.27%
,,,,,,,,,,26.02.27(금),,,,,,,,,,,,,,,
