,open,high,low,close,volume,value,SMA_20,SMA_20_Slope,SMA_5,SMA_5_Slope,SMA_40,SMA_40_Slope,SMA_60,SMA_60_Slope,SMA_120,SMA_120_Slope,SMA_5_20_Cross,SMA_20_60_Cross,RSI_14,Disparity_20,Disparity_60,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Upper,BB_Lower,BB_Width,Volatility,signal,equity,peak,drawdown,daily_return,year
2020-02-14 09:00:00,11793000.0,11899000.0,11717000.0,11845000.0,4420.81384236,52247414483.7466,11091750.0,105000.0,11754000.0,4800.0,10326050.0,84775.0,,,,,1,0,75.47892720306513,6.7910834629341625,,556465.7379217576,533984.2116301996,22481.526291558053,1,12266074.598719575,9917425.401280425,0.21174739760985858,31.673719343697815,BUY,1001529.2699433212,1001529.2699433212,0.0,0.0044093954040531624,2020
2020-02-15 09:00:00,11857000.0,11889000.0,11400000.0,11503000.0,4844.00618252,56761104058.12535,11168600.0,76850.0,11750600.0,-3400.0,10391975.0,65925.0,,,,,1,0,64.2827268925136,2.9941084827104563,,518356.60278329067,530858.6898608177,-12502.087077527074,0,12228304.7056411,10108895.2943589,0.18976500289044287,35.15413170390062,BUY,972612.1732509941,1001529.2699433212,-2.8872942169691815,-0.02887294216969183,2020
2020-02-16 09:00:00,11513000.0,11766000.0,11320000.0,11659000.0,5377.24392055,61959756344.30487,11244950.0,76350.0,11718600.0,-32000.0,10448500.0,56525.0,,,,,1,0,67.93739967897271,3.6820972970088794,,495036.2649650257,523694.20488165936,-28657.93991663365,0,12205595.93948688,10284304.06051312,0.170858196699297,35.021460242159236,BUY,985802.427882582,1001529.2699433212,-1.5702828197551637,0.01356167956185339,2020
2020-02-17 09:00:00,11659000.0,11691000.0,11136000.0,11438000.0,5888.97179664,67010421516.05557,11288350.0,43400.0,11647600.0,-71000.0,10507325.0,58825.0,,,,,1,0,62.750185322461085,1.3257030478324998,,453494.27647532895,509654.2192003933,-56159.94272506435,0,12197662.35441664,10379037.64558336,0.16110633607509342,32.73310283115679,BUY,967116.2338211657,1001529.2699433212,-3.436048965808358,-0.01895531349172319,2020
2020-02-18 09:00:00,11438000.0,11900000.0,11308000.0,11838000.0,5450.8758839,62996029296.63419,11346750.0,58400.0,11656600.0,9000.0,10579750.0,72425.0,,,,,1,0,70.1642641635937,4.329433538237821,,447687.94046231546,497260.96345277777,-49573.02299046231,0,12238711.735077297,10454788.264922703,0.15721889264807937,35.25387038413436,BUY,1000937.399543186,1001529.2699433212,-0.05909666525959688,0.03497114880223817,2020
2020-02-19 09:00:00,11837000.0,11973000.0,11350000.0,11415000.0,5713.59402305,67070310930.24622,11378550.0,31800.0,11570600.0,-86000.0,10634300.0,54550.0,,,,,1,0,56.04285236022765,0.32033958632690457,,404293.37019043975,478667.4448003102,-74374.07460987044,0,12229700.670068404,10527399.329931596,0.14960617478824695,39.275471480918696,BUY,965171.5167921496,1001529.2699433212,-3.630223723089908,-0.035732387227572215,2020
2020-02-20 09:00:00,11419000.0,11580000.0,11350000.0,11520000.0,6303.71044042,72234337182.59335,11415500.0,36950.0,11574000.0,3400.0,10695800.0,61500.0,,,,,1,0,54.441360166551,0.9154220139284306,,374063.5117701329,457746.65819427476,-83683.14642414183,0,12220328.716658328,10610671.283341672,0.14100630137240203,39.33694722584685,BUY,974049.5727941799,1001529.2699433212,-2.7437737441958614,0.009198423127463773,2020
2020-02-21 09:00:00,11532000.0,11620000.0,11454000.0,11498000.0,4249.29863364,49077437552.63174,11449400.0,33900.0,11541800.0,-32200.0,10752925.0,57125.0,,,,,1,0,50.14936519790889,0.4244763917759882,,344361.3319619708,435069.592947814,-90708.2609858432,0,12204175.784064727,10694624.215935273,0.13184547383526243,39.405169609054816,BUY,972189.4086794688,1001529.2699433212,-2.9295061207260433,-0.0019097222222221877,2020
2020-02-22 09:00:00,11498000.0,11529000.0,11395000.0,11496000.0,1836.08707185,21067376074.52816,11485950.0,36550.0,11553400.0,11600.0,10811025.0,58100.0,,,,,1,0,48.61644888547271,0.08749820432789625,,317006.5035429038,411456.975066832,-94450.47152392816,0,12168524.221913667,10803375.778086333,0.11885376863274999,39.261388903730705,BUY,972020.3028508587,1001529.2699433212,-2.94639088222879,-0.0001739432944860564,2020
2020-02-23 09:00:00,11495000.0,11831000.0,11482000.0,11753000.0,3288.45979643,38424742191.869,11536100.0,50150.0,11536400.0,-17000.0,10861950.0,50925.0,,,,,1,0,48.69531849577897,1.880184811158017,,312463.4726898689,391658.2745914394,-79194.80190157052,0,12133013.782013694,10939186.217986306,0.1034862357319534,39.9977863328856,BUY,993750.4018272567,1001529.2699433212,-0.7766990291262085,0.022355601948503834,2020
2020-02-24 09:00:00,11753000.0,11840000.0,11555000.0,11633000.0,3115.02855796,36343856049.82913,11586000.0,49900.0,11580000.0,43600.0,10909400.0,47450.0,,,,,0,0,52.3298969072165,0.4056620058691524,,295770.6311646737,372480.7459060863,-76710.11474141257,0,12006541.505555319,11165458.494444681,0.07259477050842718,39.9623102949089,BUY,983604.0521106506,1001529.2699433212,-1.7897847192908392,-0.0102101591083128,2020
2020-02-25 09:00:00,11635000.0,11639000.0,11280000.0,11330000.0,3895.25756826,44619424372.32915,11599800.0,13800.0,11542000.0,-38000.0,10948025.0,38625.0,,,,,0,0,39.93412927130507,-2.3259021707270815,,255150.64841798507,349014.72640846606,-93864.07799048099,0,11960724.310478989,11238875.689521011,0.06222940231365869,38.81020334095979,BUY,957984.5190762203,1001529.2699433212,-4.34782608695652,-0.02604659159288225,2020
2020-02-26 09:00:00,11330000.0,11408000.0,10628000.0,10741000.0,7477.71264507,82455216388.6713,11573650.0,-26150.0,11390600.0,-151400.0,10966750.0,18725.0,,,,,0,0,32.419786096256686,-7.194359601335792,,173432.42092792504,313898.26531235786,-140465.84438443283,0,12082490.694747949,11064809.305252051,0.0879308938403959,44.121223940826916,SELL,908182.8525505457,1001529.2699433212,-9.320388349514559,-0.051985878199470426,2020
2020-02-27 09:00:00,10742000.0,10888000.0,10313000.0,10699000.0,6437.73425905,68530906781.28176,11534100.0,-39550.0,11231200.0,-159400.0,10982100.0,15350.0,,,,,0,0,31.970995385629536,-7.2402701554520945,,104081.30342513695,271934.87293491367,-167853.56950977672,0,12175905.971663676,10892294.028336324,0.11128843545030409,42.97962880665816,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,-0.000406945349595067,2020
2020-02-28 09:00:00,10696000.0,10840000.0,10306000.0,10575000.0,5181.61535688,54606619565.01113,11484450.0,-49650.0,10995600.0,-235600.0,10999300.0,17200.0,,,,,0,0,29.555698647778485,-7.918968692449356,,38668.53269303776,225281.6048865385,-186613.07219350073,0,12255780.6274498,10713119.3725502,0.13432608918142347,42.86642482849968,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-02-29 09:00:00,10575000.0,10631000.0,10371000.0,10374000.0,2145.36310753,22523893822.66752,11412100.0,-72350.0,10743800.0,-251800.0,11012375.0,13075.0,10404350.0,,,,0,1,30.96121416526138,-9.096485309452248,-0.2917049118878161,-29055.644179040566,174414.1550734227,-203469.79925246327,0,12311358.15039544,10512841.84960456,0.1575973134472078,41.6227952082819,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-01 09:00:00,10380000.0,10559000.0,10287000.0,10374000.0,3275.71519136,34073229456.85715,11354800.0,-57300.0,10552600.0,-191200.0,11022775.0,10400.0,10438916.666666666,34566.666666666046,,,0,1,27.127091491634033,-8.63775671962518,-0.6218716820870561,-81784.77826196142,123174.36840634588,-204959.1466683073,0,12364385.970375452,10345214.029624548,0.1778254078232029,40.78130785316657,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
