date,open,high,low,close,volume
2013-11-08,10055.0,10060.0,10015.0,10060.0,5932
2013-11-11,9851.0,9880.0,9836.0,9866.0,46021
2013-11-12,9846.0,9846.0,9796.0,9811.0,50676
2013-11-13,9726.0,9751.0,9711.0,9741.0,42228
2013-11-14,9836.0,9875.0,9816.0,9875.0,33086
2013-11-15,9880.0,9900.0,9851.0,9895.0,21210
2013-11-18,9856.0,9890.0,9851.0,9890.0,9789
2013-11-19,9781.0,9786.0,9746.0,9771.0,55589
2013-11-20,9771.0,9781.0,9766.0,9781.0,5135
2013-11-21,9572.0,9587.0,9567.0,9577.0,105185
2013-11-22,9542.0,9562.0,9502.0,9547.0,32534
2013-11-25,9512.0,9547.0,9482.0,9522.0,31157
2013-11-26,9592.0,9597.0,9562.0,9577.0,45084
2013-11-27,9572.0,9572.0,9522.0,9527.0,36804
2013-11-28,9517.0,9522.0,9472.0,9517.0,19998
2013-11-29,9552.0,9552.0,9512.0,9542.0,22069
2013-12-02,9547.0,9582.0,9542.0,9577.0,14116
2013-12-03,9403.0,9413.0,9378.0,9378.0,65275
2013-12-04,9393.0,9403.0,9343.0,9393.0,23093
2013-12-05,9512.0,9522.0,9477.0,9497.0,34465
2013-12-06,9363.0,9443.0,9353.0,9423.0,24224
2013-12-09,9398.0,9443.0,9393.0,9443.0,16470
2013-12-10,9472.0,9502.0,9472.0,9502.0,15319
2013-12-11,9642.0,9652.0,9607.0,9647.0,57144
2013-12-12,9622.0,9652.0,9612.0,9627.0,29957
2013-12-13,9453.0,9458.0,9393.0,9433.0,50371
2013-12-16,9463.0,9507.0,9463.0,9497.0,8981
2013-12-17,9547.0,9547.0,9497.0,9542.0,11885
2013-12-18,9443.0,9492.0,9443.0,9492.0,17851
2013-12-19,9388.0,9438.0,9373.0,9398.0,27332
2013-12-20,9164.0,9194.0,9154.0,9189.0,71030
2013-12-23,9249.0,9259.0,9219.0,9234.0,23272
2013-12-24,9214.0,9239.0,9154.0,9169.0,52394
2013-12-26,9224.0,9254.0,9204.0,9214.0,19226
2013-12-27,9269.0,9308.0,9259.0,9283.0,18328
2013-12-30,9308.0,9313.0,9259.0,9293.0,13379
2014-01-02,9293.0,9403.0,9249.0,9383.0,31974
2014-01-03,9378.0,9492.0,9378.0,9443.0,20218
2014-01-06,9453.0,9517.0,9453.0,9487.0,20856
2014-01-07,9502.0,9527.0,9482.0,9522.0,12180
2014-01-08,9472.0,9472.0,9408.0,9443.0,6614
2014-01-09,9443.0,9443.0,9383.0,9403.0,7595
2014-01-10,9413.0,9502.0,9408.0,9502.0,22459
2014-01-13,9557.0,9607.0,9557.0,9572.0,17063
2014-01-14,9597.0,9607.0,9577.0,9592.0,59500
2014-01-15,9527.0,9562.0,9507.0,9542.0,21987
2014-01-16,9507.0,9537.0,9502.0,9527.0,9063
2014-01-17,9552.0,9562.0,9507.0,9527.0,16576
2014-01-20,9627.0,9627.0,9602.0,9607.0,18142
2014-01-21,9607.0,9622.0,9577.0,9602.0,7357
2014-01-22,9562.0,9562.0,9502.0,9522.0,5410
2014-01-23,9517.0,9517.0,9453.0,9468.0,4698
2014-01-24,9657.0,9662.0,9632.0,9642.0,25856
2014-01-27,9771.0,9791.0,9741.0,9746.0,30880
2014-01-28,9691.0,9696.0,9632.0,9696.0,35486
2014-01-29,9647.0,9647.0,9622.0,9637.0,5843
2014-02-03,9592.0,9602.0,9537.0,9537.0,11127
2014-02-04,9652.0,9667.0,9612.0,9632.0,14883
2014-02-05,9652.0,9667.0,9612.0,9657.0,36496
2014-02-06,9662.0,9691.0,9637.0,9657.0,7336
2014-02-07,9681.0,9686.0,9652.0,9667.0,10227
2014-02-10,9706.0,9741.0,9706.0,9731.0,11523
2014-02-11,9766.0,9871.0,9761.0,9846.0,27188
2014-02-12,9925.0,9925.0,9851.0,9871.0,13424
2014-02-13,9895.0,9945.0,9895.0,9915.0,19996
2014-02-14,9960.0,10020.0,9960.0,10000.0,36449
2014-02-17,10139.0,10204.0,10124.0,10204.0,47763
2014-02-18,10209.0,10229.0,10094.0,10094.0,30286
2014-02-19,10149.0,10174.0,10114.0,10119.0,19996
2014-02-20,10099.0,10099.0,10040.0,10060.0,31095
2014-02-21,10109.0,10129.0,10079.0,10089.0,16162
2014-02-24,10149.0,10184.0,10119.0,10169.0,21723
2014-02-25,10234.0,10274.0,10234.0,10259.0,34655
