date,open,high,low,close,volume
2013-11-08,84300.0,84300.0,84246.0,84246.0,2357
2013-11-11,84277.0,84277.0,84089.0,84144.0,244
2013-11-12,83932.0,84089.0,83932.0,84046.0,595
2013-11-13,84112.0,84167.0,84073.0,84167.0,31
2013-11-14,84712.0,84712.0,84167.0,84210.0,189
2013-11-15,84210.0,84210.0,84140.0,84179.0,3946
2013-11-18,84151.0,84195.0,84057.0,84195.0,2633
2013-11-19,84230.0,84230.0,84183.0,84183.0,53
2013-11-20,84077.0,84167.0,84077.0,84144.0,399
2013-11-21,84093.0,84238.0,84057.0,84077.0,1044
2013-11-22,84049.0,84163.0,84049.0,84163.0,353
2013-11-25,84218.0,84218.0,84148.0,84167.0,323
2013-11-26,84199.0,84257.0,84089.0,84159.0,896
2013-11-27,84159.0,84167.0,84128.0,84159.0,131
2013-11-28,84073.0,84148.0,84069.0,84148.0,3577
2013-11-29,84163.0,84163.0,84014.0,84144.0,4632
2013-12-02,84093.0,84093.0,83971.0,84034.0,1271
2013-12-03,84057.0,84057.0,83995.0,84042.0,205
2013-12-04,84042.0,84085.0,84042.0,84073.0,4446
2013-12-05,84093.0,84104.0,84002.0,84104.0,244
2013-12-06,84081.0,84124.0,84073.0,84124.0,930
2013-12-09,84172.0,84575.0,84108.0,84144.0,4727
2013-12-10,84243.0,84243.0,84144.0,84243.0,711
2013-12-11,84207.0,84207.0,84168.0,84191.0,140
2013-12-12,84160.0,84191.0,84160.0,84191.0,140
2013-12-13,84164.0,84314.0,84164.0,84314.0,6298
2013-12-16,84326.0,84417.0,84326.0,84413.0,3058
2013-12-17,84496.0,84520.0,84449.0,84520.0,159
2013-12-18,84516.0,84567.0,84516.0,84516.0,130
2013-12-19,84484.0,84484.0,84484.0,84484.0,1
2013-12-20,84425.0,84484.0,84425.0,84484.0,630
2013-12-23,84559.0,84575.0,84484.0,84563.0,1640
2013-12-24,84544.0,84544.0,84544.0,84544.0,126
2013-12-26,84551.0,84583.0,84544.0,84583.0,319
2013-12-27,84694.0,84765.0,84559.0,84765.0,1456
2013-12-30,84765.0,84765.0,84654.0,84666.0,4201
2014-01-02,84551.0,84551.0,84445.0,84445.0,658
2014-01-03,84445.0,84480.0,84401.0,84480.0,480
2014-01-06,84480.0,84631.0,84480.0,84631.0,848
2014-01-07,84631.0,84686.0,84563.0,84686.0,7949
2014-01-08,84595.0,84729.0,84595.0,84729.0,10205
2014-01-09,84575.0,84611.0,84567.0,84567.0,377
2014-01-10,84627.0,84666.0,84547.0,84559.0,2127
2014-01-13,84654.0,84698.0,84603.0,84678.0,1495
2014-01-14,84682.0,84694.0,84666.0,84694.0,777
2014-01-15,84658.0,84662.0,84634.0,84658.0,3046
2014-01-16,84666.0,84702.0,84638.0,84702.0,3704
2014-01-17,84702.0,84729.0,84702.0,84710.0,1141
2014-01-20,84694.0,84694.0,84694.0,84694.0,126
2014-01-21,84694.0,84694.0,84674.0,84674.0,927
2014-01-22,84658.0,84666.0,84654.0,84654.0,609
2014-01-23,90984.0,90984.0,84607.0,84729.0,361
2014-01-24,84722.0,84812.0,84722.0,84812.0,680
2014-01-27,84757.0,84801.0,84753.0,84789.0,1705
2014-01-28,84789.0,84832.0,84789.0,84832.0,152
2014-01-29,84812.0,84812.0,84801.0,84801.0,1980
2014-02-03,84733.0,84848.0,84733.0,84848.0,1664
2014-02-04,84888.0,84915.0,84836.0,84915.0,1624
2014-02-05,84931.0,84947.0,84888.0,84931.0,59824
2014-02-06,84927.0,84931.0,84856.0,84923.0,85145
2014-02-07,84900.0,84959.0,84892.0,84955.0,932
2014-02-10,84935.0,84998.0,84911.0,84998.0,126582
2014-02-11,84998.0,85030.0,84994.0,85030.0,34002
2014-02-12,84987.0,85014.0,84951.0,84971.0,42353
2014-02-13,85018.0,85070.0,84963.0,85070.0,393
2014-02-14,85070.0,85093.0,85034.0,85081.0,62583
2014-02-17,85038.0,85074.0,85002.0,85074.0,1903
2014-02-18,85058.0,85058.0,84979.0,85042.0,2599
2014-02-19,85034.0,85078.0,85026.0,85078.0,3841
2014-02-20,85050.0,85097.0,85018.0,85097.0,2055
2014-02-21,85070.0,85070.0,84987.0,85054.0,4422
2014-02-24,85058.0,85081.0,85014.0,85081.0,1740
2014-02-25,85081.0,85101.0,85050.0,85097.0,1408
2014-02-26,85145.0,85145.0,85078.0,85113.0,3722
2014-02-27,85125.0,85169.0,85109.0,85169.0,3599
2014-02-28,85145.0,85172.0,85109.0,85172.0,1525
2014-03-03,85153.0,85192.0,85078.0,85078.0,4911
2014-03-04,85046.0,85046.0,84991.0,85026.0,1006
2014-03-05,85002.0,85054.0,84975.0,85054.0,1842
2014-03-06,85400.0,85400.0,85046.0,85102.0,2424
2014-03-07,85074.0,85074.0,85034.0,85074.0,1511
2014-03-10,85058.0,85129.0,85038.0,85129.0,1341
2014-03-11,85129.0,85157.0,85094.0,85157.0,49256
2014-03-12,85157.0,85177.0,85133.0,85145.0,1447
2014-03-13,85213.0,85213.0,85157.0,85169.0,718
2014-03-14,85241.0,85304.0,85189.0,85268.0,787
2014-03-17,85352.0,85352.0,85241.0,85296.0,2727
2014-03-18,85225.0,85292.0,85225.0,85292.0,2076
2014-03-19,85272.0,85312.0,85249.0,85268.0,4196
2014-03-20,85257.0,85292.0,85201.0,85292.0,1084
2014-03-21,98003.0,98003.0,85177.0,85177.0,38910
2014-03-24,85201.0,85237.0,85193.0,85237.0,6568
2014-03-25,85082.0,85241.0,85082.0,85233.0,16194
2014-03-26,85197.0,85245.0,85189.0,85245.0,4153
2014-03-27,85265.0,85304.0,85265.0,85280.0,651
2014-03-28,85257.0,85308.0,85257.0,85265.0,1154
2014-03-31,85284.0,85320.0,85265.0,85320.0,7555
2014-04-01,85328.0,85328.0,85257.0,85257.0,1231
2014-04-02,85257.0,85296.0,85245.0,85245.0,2902
2014-04-03,85249.0,85280.0,85241.0,85253.0,2912
2014-04-04,85268.0,85312.0,85261.0,85312.0,6129
2014-04-07,85300.0,85360.0,85300.0,85360.0,1111
2014-04-08,85241.0,85384.0,85241.0,85360.0,2361
2014-04-09,85340.0,85400.0,85332.0,85400.0,1247
2014-04-10,85320.0,85439.0,85320.0,85435.0,2531
2014-04-11,85479.0,85479.0,85396.0,85439.0,2374
2014-04-14,85400.0,85428.0,85368.0,85392.0,897
2014-04-15,85408.0,85408.0,85356.0,85396.0,1021
2014-04-16,85376.0,85392.0,85356.0,85392.0,1433
2014-04-17,85384.0,85443.0,85384.0,85443.0,1577
2014-04-18,85431.0,85431.0,85380.0,85380.0,427
2014-04-21,85475.0,85475.0,85364.0,85431.0,1280
2014-04-22,85344.0,85451.0,85344.0,85451.0,1643
2014-04-23,85328.0,85455.0,85328.0,85455.0,953
2014-04-24,85320.0,85467.0,85320.0,85467.0,2292
2014-04-25,85396.0,85483.0,85396.0,85479.0,2064
2014-04-28,85451.0,85499.0,85451.0,85459.0,3379
