date,open,high,low,close,volume
2022-04-19,10449.0,10449.0,10275.0,10434.0,412273
2022-04-20,10523.0,10627.0,10458.0,10503.0,492350
2022-04-21,10771.0,10830.0,10711.0,10776.0,386182
2022-04-22,10191.0,10191.0,9997.0,10111.0,171740
2022-04-25,9715.0,9760.0,9616.0,9690.0,443478
2022-04-26,10097.0,10226.0,10077.0,10171.0,265801
2022-04-27,9492.0,9616.0,9358.0,9616.0,218320
2022-04-28,9695.0,9854.0,9621.0,9854.0,491423
2022-04-29,10206.0,10404.0,10201.0,10320.0,541730
2022-05-02,9675.0,9794.0,9576.0,9745.0,607780
2022-05-03,10176.0,10384.0,10176.0,10250.0,396703
2022-05-04,10409.0,10468.0,10344.0,10468.0,576105
2022-05-06,10191.0,10305.0,10121.0,10265.0,749866
2022-05-09,9928.0,9928.0,9814.0,9898.0,96813
2022-05-10,9219.0,9457.0,8981.0,9457.0,742981
2022-05-11,9527.0,9765.0,9527.0,9750.0,579965
2022-05-12,9160.0,9254.0,9046.0,9120.0,339593
2022-05-13,9313.0,9507.0,9313.0,9472.0,472518
2022-05-16,10156.0,10156.0,9814.0,9864.0,377917
2022-05-17,9819.0,9824.0,9695.0,9804.0,438048
2022-05-18,10399.0,10434.0,10315.0,10315.0,459217
2022-05-19,9422.0,9536.0,9333.0,9532.0,822326
2022-05-20,9472.0,9586.0,9403.0,9541.0,792050
2022-05-23,9541.0,9561.0,9422.0,9561.0,269041
2022-05-24,9090.0,9125.0,8927.0,8957.0,237574
2022-05-25,8952.0,9011.0,8803.0,8917.0,150508
2022-05-26,9001.0,9219.0,9001.0,9061.0,128917
2022-05-27,9705.0,9834.0,9621.0,9646.0,207898
2022-05-30,10340.0,10558.0,10275.0,10538.0,159326
2022-05-31,10434.0,10478.0,10206.0,10300.0,57211
2022-06-02,9765.0,10037.0,9765.0,10002.0,72558
2022-06-03,10637.0,10637.0,10454.0,10498.0,108859
2022-06-07,10171.0,10171.0,9953.0,10062.0,177471
2022-06-08,10196.0,10305.0,10196.0,10206.0,173748
2022-06-09,9923.0,9948.0,9769.0,9829.0,328243
2022-06-10,9477.0,9680.0,9457.0,9670.0,304641
2022-06-13,8798.0,9398.0,8629.0,8629.0,347531
2022-06-14,8188.0,8486.0,8094.0,8456.0,487708
2022-06-15,8391.0,8406.0,8272.0,8352.0,230621
2022-06-16,8560.0,8624.0,8312.0,8312.0,291677
2022-06-17,7579.0,7653.0,7484.0,7613.0,257374
2022-06-20,7643.0,7688.0,7499.0,7633.0,90857
