date,open,high,low,close,volume
2011-11-24,10935.0,10935.0,10632.0,10642.0,872
2011-11-25,10642.0,10642.0,10642.0,10642.0,0
2011-11-28,10709.0,10738.0,10690.0,10690.0,228
2011-11-29,10858.0,10878.0,10849.0,10858.0,436
2011-11-30,10709.0,10709.0,10647.0,10666.0,313
2011-12-01,11065.0,11065.0,10907.0,10993.0,315
2011-12-02,11008.0,11075.0,11008.0,11032.0,118
2011-12-05,11065.0,11070.0,11051.0,11051.0,796
2011-12-06,11094.0,11118.0,11094.0,11113.0,17
2011-12-07,11123.0,11137.0,11123.0,11137.0,4
2011-12-08,11128.0,11128.0,11128.0,11128.0,60
2011-12-09,10998.0,11051.0,10998.0,11051.0,32
2011-12-12,11210.0,11219.0,11210.0,11219.0,29
2011-12-13,11253.0,11253.0,11210.0,11238.0,228
2011-12-14,11181.0,11181.0,11181.0,11181.0,4
2011-12-15,10945.0,10945.0,10945.0,10945.0,176
2011-12-16,10950.0,10950.0,10950.0,10950.0,0
2011-12-19,10834.0,11094.0,10834.0,11094.0,203
2011-12-20,11022.0,11065.0,11022.0,11022.0,117
2011-12-21,11210.0,11219.0,11109.0,11109.0,590
2011-12-22,10969.0,10988.0,10969.0,10988.0,301
2011-12-23,11113.0,11113.0,11113.0,11113.0,4
2011-12-26,10969.0,11181.0,10969.0,11181.0,58
2011-12-27,11210.0,11210.0,11210.0,11210.0,1
2011-12-28,11219.0,11258.0,11219.0,11258.0,35
2011-12-29,11099.0,11152.0,11099.0,11104.0,235
2012-01-02,10801.0,11133.0,10801.0,11133.0,87
2012-01-03,11190.0,11190.0,11152.0,11152.0,2579
2012-01-04,11258.0,11306.0,11258.0,11306.0,2577
2012-01-05,11325.0,11364.0,11311.0,11315.0,194
2012-01-06,11489.0,11542.0,11489.0,11542.0,167
2012-01-09,11325.0,11614.0,11325.0,11551.0,1019
2012-01-10,11373.0,11580.0,11373.0,11580.0,1303
2012-01-11,11503.0,11595.0,11503.0,11551.0,74
2012-01-12,11311.0,11662.0,11311.0,11643.0,270
2012-01-13,12133.0,12133.0,11619.0,11619.0,156
2012-01-16,11311.0,11527.0,11311.0,11498.0,9
2012-01-17,11556.0,11590.0,11556.0,11566.0,361
2012-01-18,11503.0,11628.0,11503.0,11585.0,242
2012-01-19,11671.0,11671.0,11643.0,11643.0,49
2012-01-20,11681.0,11758.0,11681.0,11753.0,341
2012-01-25,11575.0,11739.0,11575.0,11710.0,271
2012-01-26,11700.0,11705.0,11657.0,11657.0,134
2012-01-27,11657.0,11686.0,11643.0,11662.0,43
2012-01-30,11638.0,11691.0,11633.0,11643.0,657
2012-01-31,11758.0,11777.0,11739.0,11773.0,1654
2012-02-01,11556.0,11753.0,11556.0,11734.0,5873
2012-02-02,13322.0,13322.0,11763.0,11806.0,590
2012-02-03,11821.0,11830.0,11806.0,11806.0,170
2012-02-06,11893.0,11946.0,11893.0,11931.0,2345
2012-02-07,11955.0,12003.0,11955.0,11989.0,206
2012-02-08,11960.0,11970.0,11960.0,11970.0,45
2012-02-09,11931.0,11984.0,11931.0,11979.0,388
2012-02-10,12071.0,12133.0,12071.0,12124.0,306
2012-02-13,12124.0,12124.0,12124.0,12124.0,2
2012-02-14,12201.0,12201.0,12138.0,12201.0,251
2012-02-15,12201.0,12283.0,12201.0,12283.0,3009
2012-02-16,12133.0,12133.0,12119.0,12119.0,677
2012-02-17,12297.0,12335.0,12297.0,12335.0,212
2012-02-20,12042.0,12340.0,12042.0,12340.0,252
2012-02-21,12133.0,12316.0,12133.0,12307.0,31
2012-02-22,12133.0,12316.0,12133.0,12316.0,4
2012-02-23,12172.0,12311.0,12172.0,12311.0,1117
2012-02-24,12316.0,12374.0,12316.0,12369.0,155
2012-02-27,12273.0,12417.0,12273.0,12412.0,143
2012-02-28,12427.0,12427.0,12417.0,12417.0,592
2012-02-29,12499.0,12499.0,12465.0,12465.0,44
2012-03-02,12465.0,12465.0,12465.0,12465.0,2695
2012-03-05,12446.0,12470.0,12388.0,12388.0,1725
2012-03-06,12292.0,12326.0,12278.0,12321.0,2723
2012-03-07,12316.0,12316.0,12287.0,12316.0,2308
2012-03-08,12321.0,12321.0,12321.0,12321.0,31
2012-03-09,12412.0,12412.0,12350.0,12388.0,540
2012-03-12,12513.0,12513.0,12470.0,12470.0,214
2012-03-13,12557.0,12595.0,12509.0,12595.0,4763
2012-03-14,12778.0,12778.0,12730.0,12754.0,1570
