date,open,high,low,close,volume
2020-08-07,9407.0,9421.0,9351.0,9388.0,131083
2020-08-10,9388.0,9426.0,9384.0,9412.0,220712
2020-08-11,9421.0,9430.0,9407.0,9421.0,86473
2020-08-12,9365.0,9388.0,9327.0,9384.0,70733
2020-08-13,9463.0,9463.0,9421.0,9430.0,169684
2020-08-14,9482.0,9482.0,9444.0,9468.0,231071
2020-08-18,9496.0,9501.0,9463.0,9463.0,83759
2020-08-19,9477.0,9505.0,9463.0,9482.0,89973
2020-08-20,9430.0,9435.0,9388.0,9426.0,84797
2020-08-21,9477.0,9520.0,9477.0,9505.0,72464
2020-08-24,9557.0,9595.0,9557.0,9590.0,166876
2020-08-25,9679.0,9679.0,9632.0,9660.0,417535
2020-08-26,9674.0,9684.0,9656.0,9670.0,102460
2020-08-27,9726.0,10317.0,9726.0,9731.0,117793
2020-08-28,9782.0,9824.0,9773.0,9820.0,107137
2020-08-31,9824.0,9867.0,9806.0,9867.0,192422
2020-09-01,9824.0,9824.0,9787.0,9796.0,88550
2020-09-02,9904.0,9928.0,9895.0,9918.0,116386
2020-09-03,10031.0,10054.0,10017.0,10035.0,117660
2020-09-04,9646.0,9721.0,9641.0,9688.0,129374
2020-09-07,9571.0,9595.0,9534.0,9534.0,63523
2020-09-08,9623.0,9660.0,9613.0,9651.0,86316
2020-09-09,9229.0,9515.0,9229.0,9355.0,112637
2020-09-10,9557.0,9557.0,9482.0,9538.0,81203
2020-09-11,9379.0,9449.0,9379.0,9444.0,101215
2020-09-14,9459.0,9459.0,9407.0,9449.0,33725
2020-09-15,9454.0,9477.0,9435.0,9468.0,38550
2020-09-16,9468.0,9501.0,9459.0,9477.0,38897
2020-09-17,9430.0,9430.0,9238.0,9238.0,81475
2020-09-18,9271.0,9285.0,9201.0,9233.0,49637
2020-09-21,9172.0,9172.0,9041.0,9055.0,472597
2020-09-22,9055.0,9074.0,9004.0,9013.0,353654
2020-09-23,9116.0,9140.0,9083.0,9121.0,288957
2020-09-24,8929.0,8971.0,8900.0,8947.0,365454
2020-09-25,9022.0,9046.0,9004.0,9022.0,274024
2020-09-28,9172.0,9219.0,9149.0,9219.0,262061
2020-09-29,9337.0,9337.0,9280.0,9299.0,262042
2020-10-05,9276.0,9294.0,9248.0,9257.0,260387
2020-10-06,9308.0,9351.0,9294.0,9332.0,239283
2020-10-07,9210.0,9248.0,9210.0,9238.0,249998
2020-10-08,9365.0,9379.0,9327.0,9360.0,277882
2020-10-12,9384.0,9473.0,9384.0,9463.0,280612
2020-10-13,9477.0,9604.0,9477.0,9585.0,242929
2020-10-14,9562.0,9562.0,9505.0,9548.0,235905
2020-10-15,9468.0,9468.0,9388.0,9393.0,230037
2020-10-16,9435.0,9463.0,9426.0,9435.0,217652
2020-10-19,9426.0,9444.0,9412.0,9435.0,289957
2020-10-20,9304.0,9308.0,9257.0,9266.0,261688
2020-10-21,9285.0,9294.0,9252.0,9271.0,212098
2020-10-22,9191.0,9196.0,9154.0,9168.0,241993
2020-10-23,9172.0,9285.0,9172.0,9233.0,225168
2020-10-26,9210.0,9210.0,9158.0,9163.0,213810
2020-10-27,9074.0,9112.0,9051.0,9083.0,476307
2020-10-28,9013.0,9027.0,8976.0,9018.0,506467
2020-10-29,8825.0,8872.0,8806.0,8872.0,243407
2020-10-30,8774.0,8797.0,8666.0,8694.0,264424
2020-11-02,8699.0,8811.0,8699.0,8788.0,428497
2020-11-03,8868.0,8938.0,8868.0,8929.0,326561
2020-11-04,9022.0,9229.0,8980.0,9102.0,1322848
2020-11-05,9201.0,9295.0,9163.0,9234.0,230405
2020-11-06,9328.0,9328.0,9238.0,9238.0,174479
2020-11-09,9365.0,9407.0,9365.0,9365.0,209597
2020-11-10,9407.0,9407.0,9252.0,9299.0,250879
2020-11-11,9342.0,9351.0,9299.0,9323.0,110910
2020-11-12,9356.0,9393.0,9328.0,9337.0,105891
2020-11-13,9337.0,9337.0,9285.0,9323.0,98582
2020-11-16,9464.0,9482.0,9426.0,9478.0,421469
2020-11-17,9501.0,9506.0,9417.0,9445.0,368434
2020-11-18,9445.0,9445.0,9365.0,9365.0,326811
2020-11-19,9342.0,9421.0,9328.0,9412.0,194374
2020-11-20,9384.0,9407.0,9360.0,9389.0,429157
2020-11-23,9384.0,9389.0,9351.0,9360.0,636906
2020-11-24,9468.0,9468.0,9417.0,9459.0,522989
2020-11-25,9562.0,9572.0,9506.0,9534.0,494298
2020-11-26,9515.0,9520.0,9482.0,9497.0,372714
2020-11-27,9478.0,9482.0,9440.0,9482.0,269611
2020-11-30,9492.0,9511.0,9431.0,9431.0,292934
2020-12-01,9520.0,9572.0,9520.0,9558.0,183272
2020-12-02,9572.0,9572.0,9501.0,9506.0,587793
2020-12-03,9515.0,9548.0,9501.0,9515.0,213783
2020-12-04,9492.0,9506.0,9398.0,9403.0,385434
2020-12-07,9478.0,9482.0,9426.0,9440.0,462550
2020-12-08,9440.0,9454.0,9417.0,9450.0,132516
2020-12-09,9501.0,9525.0,9482.0,9515.0,317475
2020-12-10,9473.0,9473.0,9412.0,9436.0,585565
2020-12-11,9445.0,9473.0,9417.0,9445.0,534172
2020-12-14,9520.0,9520.0,9487.0,9501.0,347775
2020-12-15,9492.0,9506.0,9436.0,9445.0,652615
2020-12-16,9506.0,9572.0,9501.0,9562.0,348373
2020-12-17,9586.0,9605.0,9572.0,9605.0,496194
2020-12-18,9633.0,9661.0,9628.0,9651.0,1624932
2020-12-21,9689.0,9708.0,9642.0,9694.0,602478
2020-12-22,9689.0,9698.0,9642.0,9647.0,571405
2020-12-23,9680.0,9689.0,9614.0,9656.0,444757
2020-12-24,9680.0,9680.0,9633.0,9647.0,495305
2020-12-28,9694.0,9694.0,9628.0,9670.0,558580
2020-12-29,9713.0,9736.0,9694.0,9717.0,518619
2020-12-30,9666.0,9666.0,9609.0,9633.0,627257
2021-01-04,9670.0,9675.0,9619.0,9637.0,480201
2021-01-05,9529.0,9553.0,9501.0,9548.0,523507
2021-01-06,9548.0,9623.0,9520.0,9558.0,302893
2021-01-07,9572.0,9736.0,9562.0,9717.0,338041
2021-01-08,9933.0,9957.0,9736.0,9877.0,421413
2021-01-11,9886.0,9919.0,9877.0,9882.0,341706
2021-01-12,9882.0,9928.0,9877.0,9914.0,198518
2021-01-13,9872.0,9896.0,9849.0,9882.0,226329
2021-01-14,9943.0,9985.0,9910.0,9938.0,184947
2021-01-15,9886.0,9886.0,9806.0,9844.0,302546
2021-01-18,9830.0,9858.0,9825.0,9844.0,182101
2021-01-19,9877.0,9928.0,9872.0,9924.0,243232
2021-01-20,9938.0,9952.0,9896.0,9928.0,248964
2021-01-21,10051.0,10083.0,9891.0,10055.0,416597
2021-01-22,10051.0,10074.0,10027.0,10046.0,257527
2021-01-25,10065.0,10097.0,10060.0,10065.0,360056
2021-01-26,10065.0,10065.0,10018.0,10046.0,257604
2021-01-27,10083.0,10083.0,10055.0,10065.0,196676
2021-01-28,9585.0,9905.0,9444.0,9905.0,365461
2021-01-29,9985.0,9994.0,9900.0,9928.0,412309
2021-02-01,9782.0,9891.0,9764.0,9867.0,341575
2021-02-02,9980.0,10036.0,9980.0,10027.0,147850
2021-02-03,10121.0,10163.0,10107.0,10145.0,209020
2021-02-04,10140.0,10149.0,10121.0,10130.0,249787
2021-02-05,10225.0,10361.0,10168.0,10352.0,319608
2021-02-08,10337.0,10370.0,10323.0,10366.0,228943
2021-02-09,10380.0,10384.0,10337.0,10370.0,251054
2021-02-10,10323.0,10361.0,10309.0,10309.0,374699
2021-02-15,10328.0,10352.0,10309.0,10328.0,353436
2021-02-16,10342.0,10356.0,10309.0,10337.0,236771
2021-02-17,10257.0,10347.0,10257.0,10342.0,227679
2021-02-18,10333.0,10337.0,10281.0,10314.0,274309
2021-02-19,10276.0,10281.0,10234.0,10262.0,244631
2021-02-22,10248.0,10262.0,10229.0,10248.0,218767
2021-02-23,10239.0,10276.0,10210.0,10262.0,148894
2021-02-24,10206.0,10234.0,10177.0,10182.0,237746
2021-02-25,10337.0,10356.0,10314.0,10337.0,187570
2021-02-26,10130.0,10215.0,10126.0,10196.0,324697
2021-03-02,10356.0,10366.0,10333.0,10361.0,404009
2021-03-03,10342.0,10356.0,10323.0,10337.0,232071
2021-03-04,10168.0,10192.0,10116.0,10159.0,237906
2021-03-05,10069.0,10093.0,10036.0,10065.0,217431
2021-03-08,10497.0,10502.0,10267.0,10290.0,225507
2021-03-09,10375.0,10431.0,10366.0,10403.0,247359
2021-03-10,10469.0,10497.0,10446.0,10474.0,205858
2021-03-11,10521.0,10573.0,10521.0,10554.0,242122
2021-03-12,10596.0,10605.0,10558.0,10591.0,294069
2021-03-15,10634.0,10671.0,10629.0,10634.0,309750
2021-03-16,10667.0,10700.0,10653.0,10653.0,303440
2021-03-17,10657.0,10667.0,10634.0,10648.0,180797
2021-03-18,10634.0,10648.0,10605.0,10620.0,357703
2021-03-19,10526.0,10573.0,10493.0,10521.0,275131
2021-03-22,10511.0,10521.0,10479.0,10483.0,228268
2021-03-23,10554.0,10568.0,10526.0,10554.0,147228
2021-03-24,10535.0,10540.0,10507.0,10526.0,189696
2021-03-25,10526.0,10535.0,10488.0,10497.0,174496
2021-03-26,10502.0,10568.0,10502.0,10549.0,181768
2021-03-29,10653.0,10653.0,10605.0,10624.0,278310
2021-03-30,10676.0,10714.0,10671.0,10700.0,223333
2021-03-31,10723.0,10732.0,10634.0,10648.0,331172
2021-04-01,10756.0,10756.0,10653.0,10704.0,279564
2021-04-02,10817.0,10817.0,10770.0,10798.0,385200
2021-04-05,10803.0,10841.0,10794.0,10808.0,614866
2021-04-06,10911.0,10911.0,10817.0,10822.0,514524
2021-04-07,10822.0,10841.0,10780.0,10803.0,464686
2021-04-08,10859.0,10888.0,10855.0,10869.0,346636
2021-04-09,10888.0,10902.0,10864.0,10902.0,364066
2021-04-12,10949.0,11010.0,10949.0,10996.0,560833
2021-04-13,11024.0,11057.0,11024.0,11043.0,451662
2021-04-14,11043.0,11052.0,10986.0,10991.0,653317
2021-04-15,10963.0,10986.0,10949.0,10982.0,415469
2021-04-16,11081.0,11085.0,11024.0,11034.0,570726
2021-04-19,11052.0,11123.0,11052.0,11095.0,674813
